日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,981.27,981.27,981.27,981.27,-1.87,-18.73,5488174,7246520741.0,0.0,0.22
2010-01-05,985.11,985.11,985.11,985.11,0.39,3.84,6844395,10267183655.0,0.0,0.27
2010-01-06,963.62,963.62,963.62,963.62,-2.18,-21.49,5575745,8612010830.0,0.0,0.22
2010-01-07,944.94,944.94,944.94,944.94,-1.94,-18.68,5573066,8173952530.0,0.0,0.22
2010-01-08,949.74,949.74,949.74,949.74,0.51,4.8,3920570,5773956260.0,0.0,0.15
2010-01-11,948.6,948.6,948.6,948.6,-0.12,-1.14,7688298,11203606416.0,0.0,0.3
2010-01-12,953.06,953.06,953.06,953.06,0.47,4.46,6423647,9675280961.0,0.0,0.25
2010-01-13,899.53,899.53,899.53,899.53,-5.62,-53.53,10007587,15049778123.0,0.0,0.39
2010-01-14,902.39,902.39,902.39,902.39,0.32,2.86,5554185,8161121039.0,0.0,0.22
2010-01-15,908.04,908.04,908.04,908.04,0.63,5.65,4736690,6952524333.0,0.0,0.19
2010-01-18,907.2,907.2,907.2,907.2,-0.09,-0.84,4223482,6409393697.0,0.0,0.17
2010-01-19,918.95,918.95,918.95,918.95,1.3,11.75,5268738,8076584975.0,0.0,0.21
2010-01-20,888.43,888.43,888.43,888.43,-3.32,-30.52,5001346,7465070995.0,0.0,0.2
2010-01-21,913.55,913.55,913.55,913.55,2.83,25.12,4854905,7642366707.0,0.0,0.19
2010-01-22,936.75,936.75,936.75,936.75,2.54,23.2,9543729,14024564368.0,0.0,0.38
2010-01-25,913.88,913.88,913.88,913.88,-2.44,-22.87,4445495,6618548753.0,0.0,0.17
2010-01-26,910.26,910.26,910.26,910.26,-0.4,-3.62,5026140,7211534549.0,0.0,0.2
2010-01-27,882.27,882.27,882.27,882.27,-3.07,-27.99,5196270,7557117906.0,0.0,0.2
2010-01-28,869.01,869.01,869.01,869.01,-1.5,-13.26,4123170,5570005039.0,0.0,0.16
2010-01-29,865.16,865.16,865.16,865.16,-0.44,-3.85,3667104,5110691651.0,0.0,0.14
2010-02-01,850.51,850.51,850.51,850.51,-1.69,-14.65,3578222,4932578363.0,0.0,0.14
