日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,994.79,994.79,994.79,994.79,-0.52,-5.21,258858,349026926.0,0.0,0.58
2010-01-05,1007.21,1007.21,1007.21,1007.21,1.25,12.42,391889,521941324.0,0.0,0.88
2010-01-06,1013.2,1013.2,1013.2,1013.2,0.59,5.99,405486,588713198.0,0.0,0.91
2010-01-07,1002.1,1002.1,1002.1,1002.1,-1.1,-11.1,584891,789782311.0,0.0,1.31
2010-01-08,1010.76,1010.76,1010.76,1010.76,0.86,8.66,402930,531480825.0,0.0,0.9
2010-01-11,1035.11,1035.11,1035.11,1035.11,2.41,24.35,607307,796910006.0,0.0,1.36
2010-01-12,1061.57,1061.57,1061.57,1061.57,2.56,26.46,785191,1062963896.0,0.0,1.75
2010-01-13,1066.33,1066.33,1066.33,1066.33,0.45,4.76,660446,951888106.0,0.0,1.47
2010-01-14,1083.33,1083.33,1083.33,1083.33,1.59,17.0,536348,738083336.0,0.0,1.2
2010-01-15,1097.03,1097.03,1097.03,1097.03,1.26,13.7,484141,723069370.0,0.0,1.08
2010-01-18,1139.22,1139.22,1139.22,1139.22,3.85,42.19,594554,854705521.0,0.0,1.33
2010-01-19,1139.53,1139.53,1139.53,1139.53,0.03,0.31,412943,645077495.0,0.0,0.92
2010-01-20,1095.24,1095.24,1095.24,1095.24,-3.89,-44.29,464017,688708948.0,0.0,1.04
2010-01-21,1113.0,1113.0,1113.0,1113.0,1.62,17.76,327955,482473567.0,0.0,0.73
2010-01-22,1072.89,1072.89,1072.89,1072.89,-3.6,-40.11,402091,570736744.0,0.0,0.9
2010-01-25,1053.27,1053.27,1053.27,1053.27,-1.83,-19.62,298466,412467837.0,0.0,0.67
2010-01-26,1011.34,1011.34,1011.34,1011.34,-3.98,-41.93,298539,399748620.0,0.0,0.67
2010-01-27,1014.21,1014.21,1014.21,1014.21,0.28,2.87,279591,358369885.0,0.0,0.62
2010-01-28,1049.32,1049.32,1049.32,1049.32,3.46,35.11,292439,430192329.0,0.0,0.65
2010-01-29,1060.94,1060.94,1060.94,1060.94,1.11,11.62,316359,453110033.0,0.0,0.71
2010-02-01,1069.51,1069.51,1069.51,1069.51,0.81,8.57,314607,448801118.0,0.0,0.7
2010-02-02,1054.9,1054.9,1054.9,1054.9,-1.37,-14.61,238109,342892130.0,0.0,0.53
2010-02-03,1076.34,1076.34,1076.34,1076.34,2.03,21.44,522871,707124725.0,0.0,1.17
2010-02-04,1110.43,1110.43,1110.43,1110.43,3.17,34.09,587284,837808403.0,0.0,1.31
2010-02-05,1094.93,1094.93,1094.93,1094.93,-1.4,-15.5,946046,1365814757.0,0.0,2.11
2010-02-08,1086.21,1086.21,1086.21,1086.21,-0.8,-8.72,432957,578609969.0,0.0,0.97
2010-02-09,1059.63,1059.63,1059.63,1059.63,-2.45,-26.58,362466,491329389.0,0.0,0.81
2010-02-10,1078.03,1078.03,1078.03,1078.03,1.74,18.4,325685,447527720.0,0.0,0.73
2010-02-11,1065.47,1065.47,1065.47,1065.47,-1.17,-12.56,252889,343378619.0,0.0,0.56
2010-02-12,1086.71,1086.71,1086.71,1086.71,1.99,21.24,240138,334822886.0,0.0,0.54
2010-02-22,1093.16,1093.16,1093.16,1093.16,0.59,6.45,413200,564359702.0,0.0,0.92
2010-02-23,1102.7,1102.7,1102.7,1102.7,0.87,9.54,433628,582854227.0,0.0,0.97
2010-02-24,1119.6,1119.6,1119.6,1119.6,1.53,16.9,368062,537392170.0,0.0,0.82
2010-02-25,1142.95,1142.95,1142.95,1142.95,2.09,23.35,547672,810531534.0,0.0,1.22
2010-02-26,1135.73,1135.73,1135.73,1135.73,-0.63,-7.22,372357,555872988.0,0.0,0.83
2010-03-01,1151.42,1151.42,1151.42,1151.42,1.38,15.69,436533,665870031.0,0.0,0.97
2010-03-02,1136.66,1136.66,1136.66,1136.66,-1.28,-14.76,346820,518002481.0,0.0,0.77
2010-03-03,1134.19,1134.19,1134.19,1134.19,-0.22,-2.47,320033,467642488.0,0.0,0.71
2010-03-04,1105.98,1105.98,1105.98,1105.98,-2.49,-28.21,365811,532505540.0,0.0,0.82
2010-03-05,1112.63,1112.63,1112.63,1112.63,0.6,6.65,263059,383458396.0,0.0,0.59
2010-03-08,1123.94,1123.94,1123.94,1123.94,1.02,11.31,255142,375048191.0,0.0,0.57
2010-03-09,1120.63,1120.63,1120.63,1120.63,-0.29,-3.31,205958,300052844.0,0.0,0.46
2010-03-10,1105.01,1105.01,1105.01,1105.01,-1.39,-15.62,185549,254996644.0,0.0,0.41
2010-03-11,1085.9,1085.9,1085.9,1085.9,-1.73,-19.11,184319,261412496.0,0.0,0.41
2010-03-12,1075.12,1075.12,1075.12,1075.12,-0.99,-10.78,206527,291645949.0,0.0,0.46
2010-03-15,1066.85,1066.85,1066.85,1066.85,-0.77,-8.27,164910,232682750.0,0.0,0.37
2010-03-16,1077.34,1077.34,1077.34,1077.34,0.98,10.49,133014,178321285.0,0.0,0.3
2010-03-17,1099.85,1099.85,1099.85,1099.85,2.09,22.51,229279,306109124.0,0.0,0.51
