日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1007.37,1007.37,1007.37,1007.37,0.74,7.37,787905,1342242866.0,0.0,0.22
2010-01-05,1027.67,1027.67,1027.67,1027.67,2.02,20.3,971739,1864544264.0,0.0,0.28
2010-01-06,1042.46,1042.46,1042.46,1042.46,1.44,14.79,1384315,2665213629.0,0.0,0.39
2010-01-07,1025.06,1025.06,1025.06,1025.06,-1.67,-17.4,950692,1788140189.0,0.0,0.27
2010-01-08,1024.34,1024.34,1024.34,1024.34,-0.07,-0.72,868788,1594432761.0,0.0,0.25
2010-01-11,1035.62,1035.62,1035.62,1035.62,1.1,11.28,905362,1783603382.0,0.0,0.26
2010-01-12,1058.44,1058.44,1058.44,1058.44,2.2,22.82,858194,1696363444.0,0.0,0.24
2010-01-13,1049.17,1049.17,1049.17,1049.17,-0.88,-9.27,912315,1772980486.0,0.0,0.26
2010-01-14,1067.79,1067.79,1067.79,1067.79,1.77,18.62,865554,1707820144.0,0.0,0.25
2010-01-15,1076.52,1076.52,1076.52,1076.52,0.82,8.73,963056,1762737028.0,0.0,0.27
2010-01-18,1088.21,1088.21,1088.21,1088.21,1.09,11.69,992919,1798940878.0,0.0,0.28
2010-01-19,1073.32,1073.32,1073.32,1073.32,-1.37,-14.89,764930,1380704813.0,0.0,0.22
2010-01-20,1029.41,1029.41,1029.41,1029.41,-4.09,-43.91,1149941,1990737125.0,0.0,0.33
2010-01-21,1029.13,1029.13,1029.13,1029.13,-0.03,-0.28,581907,1002593061.0,0.0,0.17
2010-01-22,997.35,997.35,997.35,997.35,-3.09,-31.78,775434,1330383070.0,0.0,0.22
2010-01-25,994.89,994.89,994.89,994.89,-0.25,-2.46,494620,884671421.0,0.0,0.14
2010-01-26,960.76,960.76,960.76,960.76,-3.43,-34.13,593653,964061342.0,0.0,0.17
2010-01-27,950.91,950.91,950.91,950.91,-1.03,-9.85,551186,878357158.0,0.0,0.16
2010-01-28,960.19,960.19,960.19,960.19,0.98,9.28,615580,990086737.0,0.0,0.18
2010-01-29,970.62,970.62,970.62,970.62,1.09,10.43,587179,934156784.0,0.0,0.17
2010-02-01,965.81,965.81,965.81,965.81,-0.5,-4.81,632501,1025602043.0,0.0,0.18
2010-02-02,954.58,954.58,954.58,954.58,-1.16,-11.23,513059,833489737.0,0.0,0.15
2010-02-03,958.89,958.89,958.89,958.89,0.45,4.31,561005,918875100.0,0.0,0.16
2010-02-04,962.23,962.23,962.23,962.23,0.35,3.34,557340,884200422.0,0.0,0.16
2010-02-05,936.21,936.21,936.21,936.21,-2.7,-26.02,487702,747515193.0,0.0,0.14
2010-02-08,935.21,935.21,935.21,935.21,-0.11,-1.0,316701,516310519.0,0.0,0.09
2010-02-09,934.48,934.48,934.48,934.48,-0.08,-0.73,254578,412053065.0,0.0,0.07
2010-02-10,959.96,959.96,959.96,959.96,2.73,25.48,408783,710299708.0,0.0,0.12
2010-02-11,957.09,957.09,957.09,957.09,-0.3,-2.87,326526,530073792.0,0.0,0.09
2010-02-12,971.52,971.52,971.52,971.52,1.51,14.43,365146,566434555.0,0.0,0.1
2010-02-22,989.07,989.07,989.07,989.07,1.81,17.55,542618,928822559.0,0.0,0.15
2010-02-23,996.3,996.3,996.3,996.3,0.73,7.23,505944,855244088.0,0.0,0.14
2010-02-24,1027.55,1027.55,1027.55,1027.55,3.14,31.25,644052,1092089653.0,0.0,0.18
2010-02-25,1049.31,1049.31,1049.31,1049.31,2.12,21.76,763990,1380281801.0,0.0,0.22
2010-02-26,1061.35,1061.35,1061.35,1061.35,1.15,12.04,1172129,2069190404.0,0.0,0.33
2010-03-01,1064.28,1064.28,1064.28,1064.28,0.28,2.93,952797,1712069679.0,0.0,0.27
2010-03-02,1074.02,1074.02,1074.02,1074.02,0.92,9.74,1027348,1762599625.0,0.0,0.29
2010-03-03,1077.38,1077.38,1077.38,1077.38,0.31,3.36,874931,1499400738.0,0.0,0.25
2010-03-04,1035.79,1035.79,1035.79,1035.79,-3.86,-41.59,1036656,1760040384.0,0.0,0.3
2010-03-05,1033.46,1033.46,1033.46,1033.46,-0.22,-2.33,595617,971982482.0,0.0,0.17
2010-03-08,1042.8,1042.8,1042.8,1042.8,0.9,9.34,450505,785588445.0,0.0,0.13
2010-03-09,1040.9,1040.9,1040.9,1040.9,-0.18,-1.9,496207,873256804.0,0.0,0.14
2010-03-10,1034.62,1034.62,1034.62,1034.62,-0.6,-6.28,484778,833418654.0,0.0,0.14
2010-03-11,1031.99,1031.99,1031.99,1031.99,-0.25,-2.63,522372,877776801.0,0.0,0.15
2010-03-12,1026.32,1026.32,1026.32,1026.32,-0.55,-5.67,462127,820977692.0,0.0,0.13
2010-03-15,1004.49,1004.49,1004.49,1004.49,-2.13,-21.83,363990,599366254.0,0.0,0.1
2010-03-16,1009.75,1009.75,1009.75,1009.75,0.52,5.26,317014,548554283.0,0.0,0.09
2010-03-17,1037.21,1037.21,1037.21,1037.21,2.72,27.46,492505,884287938.0,0.0,0.14
2010-03-18,1038.73,1038.73,1038.73,1038.73,0.15,1.52,482312,848462289.0,0.0,0.14
2010-03-19,1043.65,1043.65,1043.65,1043.65,0.47,4.92,471000,879271047.0,0.0,0.13
2010-03-22,1045.45,1045.45,1045.45,1045.45,0.17,1.8,761753,1146424242.0,0.0,0.22
2010-03-23,1048.31,1048.31,1048.31,1048.31,0.27,2.86,631047,1033476492.0,0.0,0.18
2010-03-24,1047.21,1047.21,1047.21,1047.21,-0.1,-1.1,595781,1014412172.0,0.0,0.17
2010-03-25,1039.35,1039.35,1039.35,1039.35,-0.75,-7.86,572357,1098635013.0,0.0,0.16
2010-03-26,1045.57,1045.57,1045.57,1045.57,0.6,6.22,863047,1625432766.0,0.0,0.25
2010-03-29,1054.49,1054.49,1054.49,1054.49,0.85,8.92,863074,1596698287.0,0.0,0.25
2010-03-30,1064.31,1064.31,1064.31,1064.31,0.93,9.82,882585,1659474665.0,0.0,0.25
2010-03-31,1069.7,1069.7,1069.7,1069.7,0.51,5.39,767470,1358486539.0,0.0,0.22
2010-04-01,1098.71,1098.71,1098.71,1098.71,2.71,29.01,1014307,1946365827.0,0.0,0.29
2010-04-02,1101.29,1101.29,1101.29,1101.29,0.23,2.58,1030757,1933996028.0,0.0,0.29
2010-04-06,1112.7,1112.7,1112.7,1112.7,1.04,11.41,879027,1684430068.0,0.0,0.25
2010-04-07,1127.05,1127.05,1127.05,1127.05,1.29,14.35,792824,1641080248.0,0.0,0.23
2010-04-08,1118.17,1118.17,1118.17,1118.17,-0.79,-8.88,817277,1509176305.0,0.0,0.23
2010-04-09,1135.62,1135.62,1135.62,1135.62,1.56,17.45,886311,1524624786.0,0.0,0.25
2010-04-12,1159.82,1159.82,1159.82,1159.82,2.13,24.2,1318908,2258226162.0,0.0,0.38
2010-04-13,1135.3,1135.3,1135.3,1135.3,-2.11,-24.52,1168210,2104576826.0,0.0,0.33
2010-04-14,1141.28,1141.28,1141.28,1141.28,0.53,5.98,1183102,2259763126.0,0.0,0.34
2010-04-15,1119.92,1119.92,1119.92,1119.92,-1.87,-21.36,941666,1950057021.0,0.0,0.27
2010-04-16,1112.84,1112.84,1112.84,1112.84,-0.63,-7.08,647717,1373775210.0,0.0,0.18
2010-04-19,1064.45,1064.45,1064.45,1064.45,-4.35,-48.39,935839,1767697403.0,0.0,0.27
2010-04-20,1072.42,1072.42,1072.42,1072.42,0.75,7.97,589570,1159968188.0,0.0,0.17
2010-04-21,1112.05,1112.05,1112.05,1112.05,3.7,39.63,562499,1435540878.0,0.0,0.16
2010-04-22,1120.36,1120.36,1120.36,1120.36,0.75,8.31,667905,1445734272.0,0.0,0.19
2010-04-23,1108.53,1108.53,1108.53,1108.53,-1.06,-11.83,881639,1636236345.0,0.0,0.25
2010-04-26,1109.32,1109.32,1109.32,1109.32,0.07,0.79,575533,1071682048.0,0.0,0.16
2010-04-27,1066.05,1066.05,1066.05,1066.05,-3.9,-43.27,746912,1344970034.0,0.0,0.21
2010-04-28,1042.26,1042.26,1042.26,1042.26,-2.23,-23.79,623477,1112943410.0,0.0,0.18
2010-04-29,1006.75,1006.75,1006.75,1006.75,-3.41,-35.51,712179,1294778013.0,0.0,0.2
2010-04-30,974.95,974.95,974.95,974.95,-3.16,-31.8,681744,1266059443.0,0.0,0.19
