日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,997.36,997.36,997.36,997.36,-0.26,-2.64,1449126,1056073765.0,0.0,0.16
2010-01-05,1021.01,1021.01,1021.01,1021.01,2.37,23.65,1738399,1258806374.0,0.0,0.19
2010-01-06,1010.49,1010.49,1010.49,1010.49,-1.03,-10.52,1960339,1556565476.0,0.0,0.22
2010-01-07,1015.93,1015.93,1015.93,1015.93,0.54,5.44,2064945,1486997285.0,0.0,0.23
2010-01-08,1032.22,1032.22,1032.22,1032.22,1.6,16.29,1657485,1198349229.0,0.0,0.18
2010-01-11,1029.29,1029.29,1029.29,1029.29,-0.28,-2.93,1230330,892177178.0,0.0,0.14
2010-01-12,1056.23,1056.23,1056.23,1056.23,2.62,26.94,1792680,1350325992.0,0.0,0.2
2010-01-13,1041.24,1041.24,1041.24,1041.24,-1.42,-14.99,1400936,1102355153.0,0.0,0.15
2010-01-14,1079.73,1079.73,1079.73,1079.73,3.7,38.49,2415107,1938444916.0,0.0,0.27
2010-01-15,1076.0,1076.0,1076.0,1076.0,-0.35,-3.73,1966641,1565957285.0,0.0,0.22
2010-01-18,1121.95,1121.95,1121.95,1121.95,4.27,45.95,2648277,2095054932.0,0.0,0.29
2010-01-19,1131.89,1131.89,1131.89,1131.89,0.89,9.94,1812709,1414254115.0,0.0,0.2
2010-01-20,1105.76,1105.76,1105.76,1105.76,-2.31,-26.13,2157621,1722819147.0,0.0,0.24
2010-01-21,1112.8,1112.8,1112.8,1112.8,0.64,7.04,1786685,1404486136.0,0.0,0.2
2010-01-22,1089.32,1089.32,1089.32,1089.32,-2.11,-23.48,2402530,1899512070.0,0.0,0.27
2010-01-25,1071.8,1071.8,1071.8,1071.8,-1.61,-17.52,1095487,843789481.0,0.0,0.12
2010-01-26,1028.48,1028.48,1028.48,1028.48,-4.04,-43.32,1308695,995689622.0,0.0,0.14
2010-01-27,1037.39,1037.39,1037.39,1037.39,0.87,8.91,1168731,888749613.0,0.0,0.13
2010-01-28,1093.09,1093.09,1093.09,1093.09,5.37,55.7,1717417,1305730440.0,0.0,0.19
2010-01-29,1085.61,1085.61,1085.61,1085.61,-0.68,-7.48,1744595,1318218779.0,0.0,0.19
2010-02-01,1077.66,1077.66,1077.66,1077.66,-0.73,-7.95,1722192,1254632995.0,0.0,0.19
2010-02-02,1052.07,1052.07,1052.07,1052.07,-2.37,-25.59,1855836,1299661142.0,0.0,0.2
2010-02-03,1077.02,1077.02,1077.02,1077.02,2.37,24.95,2593159,1815047155.0,0.0,0.29
2010-02-04,1113.87,1113.87,1113.87,1113.87,3.42,36.85,2850715,2169822938.0,0.0,0.31
2010-02-05,1087.78,1087.78,1087.78,1087.78,-2.34,-26.09,3431666,2640334429.0,0.0,0.38
2010-02-08,1116.17,1116.17,1116.17,1116.17,2.61,28.39,2591053,1922970186.0,0.0,0.29
2010-02-09,1093.83,1093.83,1093.83,1093.83,-2.0,-22.34,1302695,947899441.0,0.0,0.14
2010-02-10,1096.71,1096.71,1096.71,1096.71,0.26,2.88,1373672,1041312120.0,0.0,0.15
2010-02-11,1076.06,1076.06,1076.06,1076.06,-1.88,-20.65,1063671,792338344.0,0.0,0.12
2010-02-12,1098.11,1098.11,1098.11,1098.11,2.05,22.05,1192459,884895429.0,0.0,0.13
2010-02-22,1105.81,1105.81,1105.81,1105.81,0.7,7.7,2291610,1647140117.0,0.0,0.25
2010-02-23,1102.23,1102.23,1102.23,1102.23,-0.32,-3.58,818180,641481602.0,0.0,0.09
2010-02-24,1134.95,1134.95,1134.95,1134.95,2.97,32.72,1460070,1239835456.0,0.0,0.16
2010-02-25,1173.59,1173.59,1173.59,1173.59,3.4,38.64,1991924,1550145629.0,0.0,0.22
2010-02-26,1170.59,1170.59,1170.59,1170.59,-0.26,-3.0,1177889,857176202.0,0.0,0.13
2010-03-01,1194.38,1194.38,1194.38,1194.38,2.03,23.79,1012881,762498937.0,0.0,0.11
2010-03-02,1178.24,1178.24,1178.24,1178.24,-1.35,-16.14,832984,613592475.0,0.0,0.09
2010-03-03,1188.79,1188.79,1188.79,1188.79,0.9,10.55,849395,618837581.0,0.0,0.09
2010-03-04,1165.71,1165.71,1165.71,1165.71,-1.94,-23.08,1114602,810579266.0,0.0,0.12
2010-03-05,1161.76,1161.76,1161.76,1161.76,-0.34,-3.95,541916,386812043.0,0.0,0.06
2010-03-08,1185.51,1185.51,1185.51,1185.51,2.04,23.75,821571,604030494.0,0.0,0.09
2010-03-09,1184.13,1184.13,1184.13,1184.13,-0.12,-1.38,2292471,1608760665.0,0.0,0.25
2010-03-10,1171.2,1171.2,1171.2,1171.2,-1.09,-12.93,1260386,888743067.0,0.0,0.14
2010-03-11,1184.48,1184.48,1184.48,1184.48,1.13,13.28,1589480,1138967776.0,0.0,0.18
2010-03-12,1149.94,1149.94,1149.94,1149.94,-2.92,-34.54,1801034,1578142143.0,0.0,0.2
2010-03-15,1127.29,1127.29,1127.29,1127.29,-1.97,-22.65,1124677,848246764.0,0.0,0.12
2010-03-16,1157.15,1157.15,1157.15,1157.15,2.65,29.86,1453841,1098012292.0,0.0,0.16
2010-03-17,1179.71,1179.71,1179.71,1179.71,1.95,22.56,1447965,1141784890.0,0.0,0.16
2010-03-18,1186.98,1186.98,1186.98,1186.98,0.62,7.27,1697722,1389257526.0,0.0,0.19
2010-03-19,1230.09,1230.09,1230.09,1230.09,3.63,43.11,2007221,1702044115.0,0.0,0.22
2010-03-22,1246.72,1246.72,1246.72,1246.72,1.35,16.63,2213823,1891944247.0,0.0,0.24
2010-03-23,1225.35,1225.35,1225.35,1225.35,-1.71,-21.37,1328886,1104696870.0,0.0,0.15
2010-03-24,1217.38,1217.38,1217.38,1217.38,-0.65,-7.97,1129951,921272479.0,0.0,0.12
2010-03-25,1201.84,1201.84,1201.84,1201.84,-1.28,-15.54,1038461,840466071.0,0.0,0.11
2010-03-26,1227.91,1227.91,1227.91,1227.91,2.17,26.07,1310428,1055760124.0,0.0,0.14
2010-03-29,1245.77,1245.77,1245.77,1245.77,1.45,17.86,1597318,1354274901.0,0.0,0.18
2010-03-30,1240.33,1240.33,1240.33,1240.33,-0.44,-5.44,995142,841557091.0,0.0,0.11
2010-03-31,1245.88,1245.88,1245.88,1245.88,0.45,5.55,952605,815834764.0,0.0,0.11
2010-04-01,1258.33,1258.33,1258.33,1258.33,1.0,12.45,1311349,1116165375.0,0.0,0.14
2010-04-02,1253.0,1253.0,1253.0,1253.0,-0.42,-5.33,1305502,1195080647.0,0.0,0.14
2010-04-06,1275.47,1275.47,1275.47,1275.47,1.79,22.47,1385944,1201829831.0,0.0,0.15
2010-04-07,1281.9,1281.9,1281.9,1281.9,0.5,6.43,1450273,1255246926.0,0.0,0.16
2010-04-08,1330.41,1330.41,1330.41,1330.41,3.78,48.51,2939991,2654731038.0,0.0,0.32
2010-04-09,1352.52,1352.52,1352.52,1352.52,1.66,22.11,2258770,2100680736.0,0.0,0.25
2010-04-12,1430.36,1430.36,1430.36,1430.36,5.76,77.84,3056894,2954772021.0,0.0,0.34
2010-04-13,1392.59,1392.59,1392.59,1392.59,-2.64,-37.77,3233916,3047739928.0,0.0,0.36
2010-04-14,1401.39,1401.39,1401.39,1401.39,0.63,8.8,1960439,1860310114.0,0.0,0.22
2010-04-15,1381.74,1381.74,1381.74,1381.74,-1.4,-19.65,1528928,1441830486.0,0.0,0.17
2010-04-16,1406.18,1406.18,1406.18,1406.18,1.77,24.44,1595335,1539403613.0,0.0,0.18
2010-04-19,1324.4,1324.4,1324.4,1324.4,-5.82,-81.78,2348277,2247477067.0,0.0,0.26
2010-04-20,1369.19,1369.19,1369.19,1369.19,3.38,44.79,2064054,1930723663.0,0.0,0.23
2010-04-21,1416.28,1416.28,1416.28,1416.28,3.44,47.09,2095188,2075658089.0,0.0,0.23
2010-04-22,1431.64,1431.64,1431.64,1431.64,1.08,15.36,1983810,1986409810.0,0.0,0.22
2010-04-23,1403.35,1403.35,1403.35,1403.35,-1.98,-28.29,1968215,1982137730.0,0.0,0.22
2010-04-26,1389.21,1389.21,1389.21,1389.21,-1.01,-14.14,1679010,1656200851.0,0.0,0.19
2010-04-27,1351.86,1351.86,1351.86,1351.86,-2.69,-37.35,2077884,2066865750.0,0.0,0.23
2010-04-28,1329.42,1329.42,1329.42,1329.42,-1.66,-22.44,1860416,1671680176.0,0.0,0.21
2010-04-29,1275.63,1275.63,1275.63,1275.63,-4.05,-53.79,1070516,896369847.0,0.0,0.12
2010-04-30,1238.71,1238.71,1238.71,1238.71,-2.89,-36.92,996948,972404626.0,0.0,0.11
2010-05-04,1249.47,1249.47,1249.47,1249.47,0.87,10.76,1287951,1160521799.0,0.0,0.14
2010-05-05,1303.5,1303.5,1303.5,1303.5,4.32,54.03,2985677,2842896937.0,0.0,0.33
2010-05-06,1239.05,1239.05,1239.05,1239.05,-4.94,-64.45,2032664,1927990589.0,0.0,0.22
2010-05-07,1173.53,1173.53,1173.53,1173.53,-5.29,-65.52,1758893,1546971494.0,0.0,0.19
2010-05-10,1083.99,1083.99,1083.99,1083.99,-7.63,-89.54,2148159,1776125123.0,0.0,0.24
2010-05-11,1029.06,1029.06,1029.06,1029.06,-5.07,-54.93,3575301,2688886553.0,0.0,0.39
2010-05-12,1024.29,1024.29,1024.29,1024.29,-0.46,-4.77,2243752,1674966648.0,0.0,0.25
2010-05-13,1060.01,1060.01,1060.01,1060.01,3.49,35.72,2051905,1613574218.0,0.0,0.23
2010-05-14,1048.19,1048.19,1048.19,1048.19,-1.12,-11.82,1968115,1552983896.0,0.0,0.22
2010-05-17,965.12,965.12,965.12,965.12,-7.93,-83.07,1849063,1362636343.0,0.0,0.2
2010-05-18,978.68,978.68,978.68,978.68,1.41,13.56,1571324,1140226082.0,0.0,0.17
2010-05-19,987.94,987.94,987.94,987.94,0.95,9.26,1516275,1100774297.0,0.0,0.17
2010-05-20,956.55,956.55,956.55,956.55,-3.18,-31.39,1349645,955438624.0,0.0,0.15
2010-05-21,972.7,972.7,972.7,972.7,1.69,16.15,1584637,1145459212.0,0.0,0.17
2010-05-24,1045.25,1045.25,1045.25,1045.25,7.46,72.55,2155692,1600034352.0,0.0,0.24
2010-05-25,1024.56,1024.56,1024.56,1024.56,-1.98,-20.69,1549056,1144312293.0,0.0,0.17
2010-05-26,1040.6,1040.6,1040.6,1040.6,1.57,16.04,1338846,1005364549.0,0.0,0.15
2010-05-27,1062.7,1062.7,1062.7,1062.7,2.12,22.1,1574587,1209696755.0,0.0,0.17
