日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2000-01-04,1003.25,1028.63,1031.89,982.4,2.86,28.63,22183,22637000.0,4.95,0.01
2000-01-05,1052.2,1030.7,1071.94,1017.6,0.2,2.07,75611,75975000.0,5.28,0.04
2000-01-06,1031.32,1064.28,1067.4,1018.02,3.26,33.58,54632,55030000.0,4.79,0.03
2000-01-07,1073.88,1106.63,1115.24,1065.77,3.98,42.35,104219,110846000.0,4.65,0.05
2000-01-10,1117.74,1122.13,1135.48,1086.24,1.4,15.5,231373,223975000.0,4.45,0.11
2000-01-11,1129.61,1071.65,1131.91,1052.58,-4.5,-50.48,153519,137397000.0,7.07,0.07
2000-01-12,1059.28,1016.12,1075.77,1005.92,-5.18,-55.53,123866,111950000.0,6.52,0.06
2000-01-13,1017.55,1013.59,1034.76,1001.47,-0.25,-2.53,57081,50401000.0,3.28,0.03
2000-01-14,1017.38,1002.83,1027.04,989.01,-1.06,-10.76,59549,55452000.0,3.75,0.03
2000-01-17,994.66,1015.58,1023.44,980.45,1.27,12.75,62252,57828000.0,4.29,0.03
2000-01-18,1012.56,1030.43,1050.1,989.53,1.46,14.85,52953,48409000.0,5.96,0.03
2000-01-19,1030.59,1032.95,1049.89,1016.88,0.24,2.52,54879,51208000.0,3.2,0.03
2000-01-20,1038.81,1065.47,1070.0,1023.3,3.15,32.52,73457,68244000.0,4.52,0.03
2000-01-21,1066.17,1040.84,1077.56,1027.06,-2.31,-24.63,109142,98858000.0,4.74,0.05
2000-01-24,1040.09,1041.05,1058.22,1007.97,0.02,0.21,100969,94061000.0,4.83,0.05
2000-01-25,1043.49,1036.02,1062.0,1008.45,-0.48,-5.03,79307,70104000.0,5.14,0.04
2000-01-26,1033.27,1047.96,1072.48,1018.25,1.15,11.94,79175,68867000.0,5.23,0.04
2000-01-27,1050.26,1038.78,1065.46,1019.17,-0.88,-9.18,180023,170528000.0,4.42,0.09
2000-01-28,1042.57,1042.94,1059.54,1009.16,0.4,4.16,212237,214444000.0,4.85,0.1
2000-02-14,1075.55,1138.05,1139.51,1058.8,9.12,95.11,164802,202247000.0,7.74,0.08
2000-02-15,1179.1,1122.67,1209.86,1108.02,-1.35,-15.38,188880,231974000.0,8.95,0.09
2000-02-16,1122.06,1193.23,1198.3,1104.34,6.29,70.56,203337,228054000.0,8.37,0.1
2000-02-17,1234.25,1229.6,1283.5,1154.78,3.05,36.37,617393,775141000.0,10.79,0.29
2000-02-18,1274.42,1226.56,1286.96,1166.14,-0.25,-3.04,309484,393097000.0,9.83,0.15
2000-02-21,1225.32,1247.62,1277.63,1177.85,1.72,21.06,298832,356051000.0,8.13,0.14
2000-02-22,1251.6,1215.75,1272.65,1186.7,-2.55,-31.87,184000,225259000.0,6.89,0.09
2000-02-23,1199.96,1180.62,1217.06,1154.89,-2.89,-35.13,147812,167434000.0,5.11,0.07
2000-02-24,1168.23,1212.16,1222.41,1154.2,2.67,31.54,115602,136721000.0,5.78,0.05
2000-02-25,1204.61,1201.77,1231.18,1181.09,-0.86,-10.39,122432,135468000.0,4.13,0.06
2000-02-28,1198.03,1239.95,1252.94,1179.71,3.18,38.18,200709,242912000.0,6.09,0.1
2000-02-29,1241.81,1199.73,1249.78,1183.72,-3.24,-40.22,145523,168125000.0,5.33,0.07
2000-03-01,1201.32,1215.79,1245.02,1165.81,1.34,16.06,157392,181289000.0,6.6,0.07
2000-03-02,1210.15,1213.4,1247.1,1189.04,-0.2,-2.39,84311,90029000.0,4.78,0.04
2000-03-03,1216.6,1227.92,1260.84,1205.04,1.2,14.52,149252,166467000.0,4.6,0.07
2000-03-06,1237.68,1197.99,1279.5,1192.11,-2.44,-29.93,168111,173598000.0,7.12,0.08
2000-03-07,1185.4,1218.83,1230.17,1168.09,1.74,20.84,133126,126974000.0,5.18,0.06
2000-03-08,1214.26,1212.75,1238.82,1184.44,-0.5,-6.08,157198,157374000.0,4.46,0.07
2000-03-09,1211.73,1197.91,1235.57,1179.89,-1.22,-14.84,157826,179055000.0,4.59,0.07
2000-03-10,1194.18,1195.93,1214.26,1164.74,-0.17,-1.98,148798,141803000.0,4.13,0.07
2000-03-13,1193.49,1226.85,1233.31,1173.17,2.59,30.92,126100,129266000.0,5.03,0.06
2000-03-14,1209.45,1201.97,1221.35,1154.92,-2.03,-24.88,129666,133268000.0,5.41,0.06
2000-03-15,1201.06,1221.46,1255.63,1190.38,1.62,19.49,118082,122431000.0,5.43,0.06
2000-03-16,1214.18,1155.7,1220.12,1143.31,-5.38,-65.76,93546,91852000.0,6.29,0.04
2000-03-17,1146.38,1187.19,1198.5,1142.9,2.72,31.49,91440,91314000.0,4.81,0.04
2000-03-20,1178.0,1232.81,1244.33,1162.05,3.84,45.62,134280,148829000.0,6.93,0.06
2000-03-21,1236.86,1267.76,1285.31,1226.37,2.83,34.95,229287,284578000.0,4.78,0.11
2000-03-22,1280.4,1268.14,1302.06,1232.47,0.03,0.38,134822,147570000.0,5.49,0.06
2000-03-23,1271.42,1271.67,1294.56,1244.5,0.28,3.53,121050,133324000.0,3.95,0.06
2000-03-24,1275.57,1253.18,1299.21,1230.34,-1.45,-18.49,151100,172593000.0,5.42,0.07
2000-03-27,1258.89,1289.03,1303.82,1250.02,2.86,35.85,133367,141507000.0,4.29,0.06
2000-03-28,1301.74,1319.95,1339.99,1271.78,2.4,30.92,187411,199548000.0,5.29,0.09
2000-03-29,1325.81,1330.7,1356.19,1286.8,0.81,10.75,220064,267277000.0,5.26,0.1
2000-03-30,1331.08,1340.62,1364.05,1310.03,0.75,9.92,181728,199692000.0,4.06,0.09
2000-03-31,1337.71,1329.28,1385.8,1305.95,-0.85,-11.34,208417,233109000.0,5.96,0.1
2000-04-03,1325.91,1310.47,1357.52,1295.41,-1.42,-18.81,126263,141914000.0,4.67,0.06
2000-04-04,1309.98,1301.9,1333.4,1274.13,-0.65,-8.57,225703,264559000.0,4.52,0.11
2000-04-05,1298.11,1324.96,1346.88,1273.36,1.77,23.06,149575,169312000.0,5.65,0.07
2000-04-06,1336.79,1343.85,1360.83,1316.94,1.43,18.89,161891,168751000.0,3.31,0.08
2000-04-07,1350.4,1327.79,1359.61,1318.07,-1.2,-16.06,123574,136336000.0,3.09,0.06
2000-04-10,1324.61,1334.8,1355.83,1304.64,0.53,7.01,90872,99198000.0,3.86,0.04
2000-04-11,1330.62,1352.26,1371.74,1301.14,1.31,17.46,149109,167610000.0,5.29,0.07
2000-04-12,1351.53,1324.09,1358.34,1300.29,-2.08,-28.17,90068,102359000.0,4.29,0.04
2000-04-13,1322.49,1334.11,1359.62,1302.26,0.76,10.02,132580,157305000.0,4.33,0.06
2000-04-14,1340.97,1340.85,1373.03,1301.34,0.51,6.74,235064,303716000.0,5.37,0.11
2000-04-17,1319.83,1300.9,1335.89,1274.42,-2.98,-39.95,114072,130602000.0,4.58,0.05
2000-04-18,1302.23,1331.89,1346.92,1293.76,2.38,30.99,141521,183500000.0,4.09,0.07
2000-04-19,1334.19,1333.72,1359.74,1320.82,0.14,1.83,102479,135696000.0,2.92,0.05
2000-04-20,1334.05,1323.29,1356.2,1311.96,-0.78,-10.43,77442,92863000.0,3.32,0.04
2000-04-21,1325.67,1318.95,1344.69,1295.75,-0.33,-4.34,83182,94068000.0,3.7,0.04
2000-04-24,1323.69,1335.99,1358.55,1306.58,1.29,17.04,121099,142819000.0,3.94,0.06
2000-04-25,1333.69,1323.21,1346.44,1306.93,-0.96,-12.78,60748,68653000.0,2.96,0.03
2000-04-26,1323.47,1312.38,1340.99,1301.64,-0.82,-10.83,64856,66489000.0,2.97,0.03
2000-04-27,1314.69,1285.52,1327.73,1278.52,-2.05,-26.86,65270,69873000.0,3.75,0.03
2000-04-28,1285.29,1295.09,1305.49,1262.24,0.74,9.57,68247,73454000.0,3.36,0.03
2000-05-08,1299.96,1271.9,1313.15,1265.07,-1.79,-23.19,32189,39874000.0,3.71,0.02
2000-05-09,1274.59,1261.51,1297.82,1232.95,-0.82,-10.39,52737,54854000.0,5.1,0.02
2000-05-10,1256.93,1211.93,1274.46,1205.73,-3.93,-49.58,129499,113437000.0,5.45,0.06
2000-05-11,1203.98,1180.19,1227.24,1171.97,-2.62,-31.74,46041,44453000.0,4.56,0.02
2000-05-12,1184.3,1179.33,1206.26,1168.52,-0.07,-0.86,38602,39542000.0,3.2,0.02
2000-05-15,1181.1,1170.43,1195.08,1140.73,-0.75,-8.9,35890,35210000.0,4.61,0.02
2000-05-16,1168.48,1179.34,1192.8,1160.07,0.76,8.91,24571,24220000.0,2.8,0.01
2000-05-17,1179.65,1166.61,1198.08,1155.65,-1.08,-12.73,30148,30722000.0,3.6,0.01
2000-05-18,1167.96,1187.05,1191.6,1150.91,1.75,20.44,31758,29982000.0,3.49,0.02
2000-05-19,1213.09,1247.53,1250.63,1195.18,5.09,60.48,94339,87358000.0,4.67,0.04
2000-05-22,1266.96,1273.76,1294.19,1243.74,2.1,26.23,82385,88331000.0,4.04,0.04
2000-05-23,1278.74,1288.03,1308.24,1258.46,1.12,14.27,86401,99689000.0,3.91,0.04
2000-05-24,1289.91,1299.42,1313.79,1274.41,0.88,11.39,124846,129120000.0,3.06,0.06
2000-05-25,1303.31,1313.47,1323.33,1290.55,1.08,14.05,88241,94245000.0,2.52,0.04
