日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2015-12-09,993.8,991.01,1003.1,986.8,-0.9,-8.99,4749451,10601615616.0,1.63,0.96
2015-12-10,989.74,993.83,1004.05,988.86,0.28,2.82,4837958,10437091072.0,1.53,0.98
2015-12-11,991.98,986.79,996.83,983.66,-0.71,-7.04,4199260,9216634880.0,1.33,0.85
2015-12-14,976.54,1001.7,1001.7,973.57,1.51,14.91,4010204,8569552640.0,2.85,0.81
2015-12-15,1006.25,1022.32,1024.8,1006.2,2.06,20.62,5242268,10980159488.0,1.86,1.06
2015-12-16,1030.83,1037.32,1039.54,1029.35,1.47,15.0,6315323,12948218112.0,1.0,1.28
2015-12-17,1046.53,1068.68,1068.89,1045.52,3.02,31.36,8008968,17327339520.0,2.25,1.62
2015-12-18,1070.83,1061.36,1073.71,1057.82,-0.68,-7.32,6483206,14414071808.0,1.49,1.31
2015-12-21,1062.18,1075.93,1078.5,1059.69,1.37,14.57,5938520,12794413056.0,1.77,1.2
2015-12-22,1083.39,1092.23,1092.83,1075.67,1.51,16.3,5695021,12891882496.0,1.59,1.15
2015-12-23,1097.22,1077.04,1098.48,1075.79,-1.39,-15.19,6773227,15663112448.0,2.08,1.37
2015-12-24,1073.45,1078.26,1080.98,1058.86,0.11,1.22,6377068,14334464768.0,2.05,1.29
2015-12-25,1083.96,1093.48,1096.12,1080.85,1.41,15.22,5704091,12409467904.0,1.42,1.15
2015-12-28,1103.94,1080.03,1112.66,1079.73,-1.23,-13.45,7216033,16406254592.0,3.01,1.46
2015-12-29,1080.97,1090.16,1090.16,1071.36,0.94,10.13,6426560,16037613568.0,1.74,1.3
2015-12-30,1093.15,1109.7,1110.26,1090.5,1.79,19.54,6734512,17064284160.0,1.81,1.36
2015-12-31,1109.28,1086.75,1110.45,1086.59,-2.07,-22.95,5709188,14385170432.0,2.15,1.16
2016-01-04,1089.02,995.56,1089.43,994.71,-8.39,-91.19,4984486,12151875584.0,8.72,1.01
2016-01-05,944.7,971.71,994.91,941.41,-2.4,-23.85,7084459,16205373952.0,5.37,1.43
2016-01-06,977.01,987.32,987.81,961.84,1.61,15.61,5455153,12996274432.0,2.67,1.1
2016-01-07,962.99,898.31,963.31,897.88,-9.02,-89.01,1675930,3189663040.0,6.63,0.34
2016-01-08,918.83,889.23,925.01,848.63,-1.01,-9.08,7074894,13680275712.0,8.5,1.43
2016-01-11,867.08,819.69,873.69,818.4,-7.82,-69.54,6159431,11472641792.0,6.22,1.25
2016-01-12,819.62,817.13,830.14,796.36,-0.31,-2.56,6090901,10620078592.0,4.12,1.23
2016-01-13,823.26,778.27,830.08,778.24,-4.76,-38.86,5510247,9770763008.0,6.34,1.12
2016-01-14,750.38,815.4,817.97,748.16,4.77,37.13,6323050,10713602048.0,8.97,1.28
2016-01-15,807.94,783.98,817.54,776.73,-3.85,-31.42,5936572,10808349440.0,5.0,1.2
2016-01-18,765.54,806.66,816.92,764.69,2.89,22.68,5608665,10360460288.0,6.66,1.14
2016-01-19,801.66,835.53,836.87,794.57,3.58,28.87,6833921,13355402496.0,5.24,1.38
2016-01-20,826.95,826.77,843.82,817.47,-1.05,-8.76,6532386,11618791424.0,3.15,1.32
2016-01-21,810.19,785.35,834.33,785.35,-5.01,-41.42,5926247,10734191360.0,5.92,1.2
2016-01-22,798.91,805.16,807.72,775.17,2.52,19.81,5255960,9404572416.0,4.14,1.06
2016-01-25,813.72,821.5,829.05,811.56,2.03,16.34,5335067,9308806912.0,2.17,1.08
2016-01-26,810.02,752.99,813.0,752.58,-8.34,-68.51,6044552,10609320448.0,7.35,1.22
2016-01-27,754.73,755.46,760.39,709.29,0.33,2.47,7042180,12211799552.0,6.79,1.43
2016-01-28,742.1,714.29,750.89,712.52,-5.45,-41.17,5169413,8718452736.0,5.08,1.05
2016-01-29,713.13,753.31,761.6,713.13,5.46,39.02,5921409,9963660544.0,6.79,1.2
2016-02-01,750.53,749.47,762.26,736.79,-0.51,-3.84,5292105,9460393728.0,3.38,1.07
2016-02-02,751.58,787.95,791.23,751.51,5.13,38.48,6149200,11372508416.0,5.3,1.24
2016-02-03,778.99,800.24,803.13,775.23,1.56,12.29,6383362,11408998656.0,3.54,1.29
2016-02-04,803.54,819.41,823.6,803.54,2.4,19.17,6575260,11590138112.0,2.51,1.33
