日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,107751.77,105002.07,108481.88,104865.22,10400.21,104002.07,3943452,9431368725.0,361.67,0.15
2010-01-05,105725.03,109642.23,111055.13,103539.59,4.42,4640.16,7676776,18906904545.0,7.16,0.29
2010-01-06,109984.29,108692.88,111058.04,108396.49,-0.87,-949.35,5589787,14009100589.0,2.43,0.21
2010-01-07,108514.9,106399.31,110215.95,105562.92,-2.11,-2293.57,4985076,12176024420.0,4.28,0.19
2010-01-08,105729.7,108504.03,108990.33,105145.08,1.98,2104.72,3992602,9852707891.0,3.61,0.15
2010-01-11,118461.02,110795.51,118519.77,109861.61,2.11,2291.48,11952418,30621109674.0,7.98,0.45
2010-01-12,109475.2,111377.75,112282.79,107471.56,0.53,582.24,5498806,13417419418.0,4.34,0.21
2010-01-13,108208.83,105883.45,109987.31,105420.14,-4.93,-5494.3,6494239,15619951490.0,4.1,0.24
2010-01-14,106231.17,107385.63,108482.52,104586.52,1.42,1502.18,4124811,9971278726.0,3.68,0.15
2010-01-15,107511.63,106886.99,108341.59,105815.58,-0.46,-498.64,3119768,7730542973.0,2.35,0.12
2010-01-18,105561.91,103957.27,105684.41,102627.34,-2.74,-2929.72,5164991,12382494747.0,2.86,0.19
2010-01-19,104110.67,104975.23,106262.46,103634.13,0.98,1017.96,3800480,9046906237.0,2.53,0.14
2010-01-20,104717.15,101447.45,105130.81,100935.83,-3.36,-3527.78,4975595,12363322801.0,4.0,0.19
2010-01-21,101622.59,102546.62,103182.34,100333.2,1.08,1099.17,3286816,7722319179.0,2.81,0.12
2010-01-22,100700.09,100067.64,101623.38,97686.69,-2.42,-2478.98,3924893,8895179207.0,3.84,0.15
2010-01-25,99532.56,100070.26,101940.39,98807.68,0.0,2.62,2655568,6118998450.0,3.13,0.1
2010-01-26,100200.14,98036.0,101013.26,96828.99,-2.03,-2034.26,2768643,6327296491.0,4.18,0.1
2010-01-27,98312.12,96696.98,98966.17,96508.59,-1.37,-1339.02,2385964,5437756257.0,2.51,0.09
2010-01-28,96701.01,96519.21,97363.59,95062.28,-0.18,-177.77,2141347,4584218063.0,2.38,0.08
2010-01-29,95915.12,96439.36,98718.66,95416.46,-0.08,-79.85,2514837,5450124998.0,3.42,0.09
2010-02-01,95637.86,91995.64,96056.98,91059.85,-4.61,-4443.72,3480745,7647191306.0,5.18,0.13
2010-02-02,92654.52,91077.35,93747.36,90808.64,-1.0,-918.29,2417456,5212935091.0,3.19,0.09
2010-02-03,92179.76,94558.27,94672.77,90283.93,3.82,3480.92,3447374,7609190206.0,4.82,0.13
2010-02-04,93557.29,93927.76,94879.19,93052.02,-0.67,-630.51,2358914,5172014999.0,1.93,0.09
2010-02-05,91412.84,91875.67,92802.34,90745.42,-2.18,-2052.09,2206362,4689369291.0,2.19,0.08
2010-02-08,91856.63,93378.61,94639.68,91344.66,1.64,1502.94,1978274,4247494830.0,3.59,0.07
2010-02-09,93036.59,93768.41,94652.28,92631.16,0.42,389.8,1678613,3622831072.0,2.16,0.06
2010-02-10,94622.17,95701.61,95857.23,93777.17,2.06,1933.2,2244373,4831712888.0,2.22,0.08
2010-02-11,95739.7,95327.48,96133.27,94938.73,-0.39,-374.13,1624354,3551686807.0,1.25,0.06
2010-02-12,97399.25,97031.14,97712.74,96012.81,1.79,1703.66,1957954,5303105934.0,1.78,0.07
2010-02-22,97521.67,97543.52,98904.81,96539.32,0.53,512.38,2457623,6182254610.0,2.44,0.09
2010-02-23,97084.04,95179.63,97150.03,93655.01,-2.42,-2363.89,2299970,5337298237.0,3.58,0.09
2010-02-24,94382.45,96261.28,96377.91,93934.11,1.14,1081.65,1724171,3920960790.0,2.57,0.06
2010-02-25,96745.49,97832.45,98501.91,96334.2,1.63,1571.17,3005613,6895191240.0,2.25,0.11
2010-02-26,97628.53,96779.98,97935.35,96369.48,-1.08,-1052.47,1969972,4302914509.0,1.6,0.07
2010-03-01,96603.91,97918.77,98360.67,96301.22,1.18,1138.79,2107985,4585359456.0,2.13,0.08
2010-03-02,98014.79,96973.8,98374.84,96486.86,-0.97,-944.97,1913682,4352789797.0,1.93,0.07
2010-03-03,96816.63,97922.2,98358.78,95890.9,0.98,948.4,2565752,5788947256.0,2.54,0.1
2010-03-04,97927.81,94639.58,98109.06,94434.73,-3.35,-3282.62,2643665,5814481809.0,3.75,0.1
2010-03-05,95076.91,96363.2,97623.92,95005.4,1.82,1723.62,3157713,7192824249.0,2.77,0.12
2010-03-08,96629.8,96485.59,97037.47,95581.48,0.13,122.39,1794821,3995878319.0,1.51,0.07
2010-03-09,96427.71,96953.02,97631.41,95164.55,0.48,467.43,2156196,4787914298.0,2.56,0.08
2010-03-10,97104.49,96764.78,98514.83,96271.86,-0.19,-188.24,2264566,5147135951.0,2.31,0.08
2010-03-11,97225.48,98647.57,99281.05,96312.63,1.95,1882.79,3681087,8465753295.0,3.07,0.14
2010-03-12,98607.28,97553.16,99363.86,97327.04,-1.11,-1094.41,2724099,6354761766.0,2.06,0.1
2010-03-15,97828.35,97004.67,98335.66,96141.62,-0.56,-548.49,2085611,4761673611.0,2.25,0.08
2010-03-16,96811.44,97787.38,98250.15,96365.97,0.81,782.71,2028672,4900886850.0,1.94,0.08
2010-03-17,98149.02,99278.2,99381.99,97255.82,1.52,1490.82,2590401,5691827235.0,2.17,0.1
2010-03-18,99286.93,98606.54,99741.22,98111.66,-0.68,-671.66,2286882,5322577838.0,1.64,0.09
2010-03-19,98643.95,98834.75,99090.23,97457.11,0.23,228.21,1992953,4514550120.0,1.66,0.07
2010-03-22,99427.81,98416.84,99711.44,98079.15,-0.42,-417.91,2448423,5545152811.0,1.65,0.09
2010-03-23,98482.91,96948.65,98734.14,96772.63,-1.49,-1468.19,2332973,5161430780.0,1.99,0.09
2010-03-24,97264.54,96807.72,97888.77,96538.09,-0.15,-140.93,1651924,3758051558.0,1.39,0.06
2010-03-25,96652.13,94740.36,96744.44,94418.34,-2.14,-2067.36,2540115,5532687249.0,2.4,0.1
2010-03-26,94701.76,95711.35,96343.12,94173.03,1.02,970.99,1857527,4080028144.0,2.29,0.07
2010-03-29,96609.2,98420.0,98901.18,96498.37,2.83,2708.65,3371274,7700966439.0,2.51,0.13
2010-03-30,98491.04,98138.78,98774.2,97456.84,-0.29,-281.22,1851301,4210958075.0,1.34,0.07
2010-03-31,99269.98,97973.76,99826.88,97692.45,-0.17,-165.02,2126911,5110767540.0,2.17,0.08
2010-04-01,97976.74,98838.76,99146.05,97361.05,0.88,865.0,2955033,6678093796.0,1.82,0.11
2010-04-02,98949.91,98602.94,99230.83,97947.2,-0.24,-235.82,2665026,5713861976.0,1.3,0.1
2010-04-06,98812.71,99043.12,100037.45,98372.21,0.45,440.18,2542895,5738173961.0,1.69,0.1
2010-04-07,98898.73,97583.11,99000.66,97011.54,-1.47,-1460.01,2212687,4955220272.0,2.01,0.08
2010-04-08,97354.2,96408.56,97538.71,96118.08,-1.2,-1174.55,2344457,4926415903.0,1.46,0.09
2010-04-09,96534.95,97190.03,97492.81,96307.95,0.81,781.47,1895316,4042849381.0,1.23,0.07
2010-04-12,97269.51,95912.07,97824.76,95364.71,-1.31,-1277.96,2313353,5060979091.0,2.53,0.09
2010-04-13,95990.41,98667.6,98868.17,95831.34,2.87,2755.53,3693872,8135820486.0,3.17,0.14
2010-04-14,98828.85,98204.17,99011.23,97592.45,-0.47,-463.43,2118416,4697584660.0,1.44,0.08
2010-04-15,98546.79,98974.23,99714.94,97920.2,0.78,770.06,3088539,7044203568.0,1.83,0.12
2010-04-16,99108.72,96580.76,99181.21,96390.18,-2.42,-2393.47,1460472,2758934162.0,2.82,0.05
2010-04-19,95596.32,89150.39,95608.13,88901.0,-7.69,-7430.37,2656667,4899050694.0,6.94,0.1
2010-04-20,88735.98,86541.81,89872.73,84540.21,-2.93,-2608.58,2185328,3755916776.0,5.98,0.08
2010-04-21,86695.6,87624.52,87782.89,85331.51,1.25,1082.71,1770072,3043304017.0,2.83,0.07
2010-04-22,87292.52,85640.49,87423.7,85028.3,-2.26,-1984.03,1792997,3122808762.0,2.73,0.07
2010-04-23,85639.33,85470.04,86630.82,84661.7,-0.2,-170.45,1321171,2281961797.0,2.3,0.05
2010-04-26,85475.02,84088.34,86170.48,83886.0,-1.62,-1381.7,1476657,2633091569.0,2.67,0.06
2010-04-27,83720.58,81382.7,83857.31,80287.34,-3.22,-2705.64,1717585,2843852404.0,4.25,0.06
2010-04-28,80631.53,81636.06,82425.28,79945.01,0.31,253.36,1212167,1983216115.0,3.05,0.05
2010-04-29,81931.77,80459.66,82514.45,80384.61,-1.44,-1176.4,1014898,1665585091.0,2.61,0.04
2010-04-30,80642.54,82604.85,82743.28,79483.94,2.67,2145.19,1663104,2624804203.0,4.05,0.06
2010-05-04,77923.8,77470.98,78452.66,77176.08,-6.21,-5133.87,1441008,2474631525.0,1.55,0.05
2010-05-05,73485.79,75381.37,75826.72,73162.05,-2.7,-2089.61,3893905,7951664016.0,3.44,0.15
2010-05-06,74523.71,70479.52,74948.52,70167.64,-6.5,-4901.85,2838776,5363386654.0,6.34,0.11
2010-05-07,69389.23,69319.67,71396.71,67873.46,-1.65,-1159.85,2581014,4549919164.0,5.0,0.1
2010-05-10,69251.92,69440.56,70209.52,67532.48,0.17,120.89,2119243,3567043642.0,3.86,0.08
2010-05-11,71090.89,66702.03,71169.15,66460.91,-3.94,-2738.53,2494102,4279966574.0,6.78,0.09
2010-05-12,66119.34,67089.17,67687.06,64950.68,0.58,387.14,1998297,3311964214.0,4.1,0.07
2010-05-13,67135.75,68535.55,68657.6,66759.16,2.16,1446.38,2185546,3701773332.0,2.83,0.08
2010-05-14,67888.97,67498.23,68435.81,67086.09,-1.51,-1037.32,1727422,2858895446.0,1.97,0.06
2010-05-17,66439.63,62026.6,66502.74,61940.87,-8.11,-5471.63,2462100,4023771977.0,6.76,0.09
2010-05-18,62052.57,63684.93,64209.57,61601.41,2.67,1658.33,2123155,3263509122.0,4.2,0.08
2010-05-19,63067.88,62922.05,64132.87,62229.78,-1.2,-762.88,1325271,2282239548.0,2.99,0.05
2010-05-20,62175.56,62104.04,63807.54,61807.45,-1.3,-818.01,1619743,2498609928.0,3.18,0.06
2010-05-21,60116.93,62856.02,63309.11,59583.56,1.21,751.98,2124673,3126662803.0,6.0,0.08
2010-05-24,63366.49,66452.74,67178.82,63203.02,5.72,3596.72,3663479,6024026812.0,6.33,0.14
2010-05-25,65558.47,64942.32,66026.57,64088.96,-2.27,-1510.42,2565345,4291733248.0,2.92,0.1
2010-05-26,65292.78,65229.66,66051.23,64582.28,0.44,287.34,1624648,2690659629.0,2.26,0.06
2010-05-27,65252.81,65972.13,66321.76,63756.18,1.14,742.47,2097297,3402699825.0,3.93,0.08
2010-05-28,66601.51,65218.83,66954.55,64885.63,-1.14,-753.3,1781156,2917729054.0,3.14,0.07
2010-05-31,64654.45,62551.79,65126.73,62379.48,-4.09,-2667.04,1798089,2799963732.0,4.21,0.07
2010-06-01,61996.7,61469.43,62698.52,60769.88,-1.73,-1082.36,1561133,2352585122.0,3.08,0.06
2010-06-02,61107.49,62983.42,63239.23,60695.4,2.46,1513.99,1687025,2661239441.0,4.14,0.06
2010-06-03,62925.03,61805.61,63292.07,61696.81,-1.87,-1177.81,1597176,2474173738.0,2.53,0.06
2010-06-04,61454.68,63182.32,64235.99,61228.48,2.23,1376.71,2272687,3644083954.0,4.87,0.09
2010-06-07,61649.77,61745.16,62333.7,61105.52,-2.27,-1437.16,1655545,2613734080.0,1.94,0.06
2010-06-08,61674.52,62293.41,63089.66,61390.06,0.89,548.25,1384097,2208613953.0,2.75,0.05
2010-06-09,62761.56,64594.55,64985.47,61797.99,3.69,2301.14,2871887,4527034344.0,5.12,0.11
2010-06-10,63750.59,63463.06,64402.73,63298.72,-1.75,-1131.49,1688270,2710743548.0,1.71,0.06
2010-06-11,63941.91,63639.47,64365.91,63312.94,0.28,176.41,1312219,2090857285.0,1.66,0.05
2010-06-17,64193.59,63180.17,64468.37,63087.31,-0.72,-459.3,670328,939239614.0,2.17,0.03
2010-06-18,63036.13,62335.95,63718.84,61868.38,-1.34,-844.22,1372159,2181088602.0,2.93,0.05
2010-06-21,62452.45,64463.46,64708.22,62221.04,3.41,2127.51,1919997,3101547788.0,3.99,0.07
2010-06-22,64120.09,64457.57,64784.16,63888.56,-0.01,-5.89,1335418,2135284650.0,1.39,0.05
2010-06-23,64141.56,64475.13,65320.44,63827.71,0.03,17.56,1680926,2863499241.0,2.32,0.06
2010-06-24,64624.79,64718.52,65744.52,64250.63,0.38,243.39,1115274,1586254113.0,2.32,0.04
2010-06-25,64201.66,63151.02,64363.61,62812.19,-2.42,-1567.5,1310815,1777755664.0,2.4,0.05
2010-06-28,63100.82,62176.06,63404.1,62021.64,-1.54,-974.96,1067800,1440118686.0,2.19,0.04
2010-06-29,62364.61,58537.07,62742.0,58405.32,-5.85,-3638.99,2072227,2691551494.0,6.97,0.08
2010-06-30,58154.43,57208.95,58419.2,56477.54,-2.27,-1328.12,1580707,1947875558.0,3.32,0.06
2010-07-01,57113.0,56264.99,58095.1,56049.44,-1.65,-943.96,1597421,1895052868.0,3.58,0.06
2010-07-02,56236.71,56975.36,57311.62,55147.82,1.26,710.37,1720257,2080166227.0,3.85,0.06
2010-07-05,56283.56,56047.39,56701.13,55267.83,-1.63,-927.97,1102461,1338991519.0,2.52,0.04
2010-07-06,55953.07,56920.51,57131.15,55758.59,1.56,873.12,1249143,1492580590.0,2.45,0.05
2010-07-07,56857.88,57402.13,57770.89,56339.22,0.85,481.62,1464860,1809068124.0,2.52,0.05
2010-07-08,57716.69,56849.97,57964.56,56589.04,-0.96,-552.16,1223324,1478186857.0,2.4,0.05
2010-07-09,56782.77,58046.09,58393.42,55900.06,2.1,1196.12,2601791,3333455768.0,4.39,0.1
2010-07-12,58096.78,58887.04,59192.82,57642.61,1.45,840.95,2156439,2708555589.0,2.67,0.08
2010-07-13,58235.15,57441.93,58377.15,57295.73,-2.45,-1445.11,1450059,1790641741.0,1.84,0.05
2010-07-14,57619.86,57955.22,58778.83,57477.37,0.89,513.29,1587527,1964666388.0,2.27,0.06
2010-07-15,57883.73,56495.65,58644.12,56436.62,-2.52,-1459.57,1478321,1822470675.0,3.81,0.06
2010-07-16,56363.52,56315.66,56664.06,55582.05,-0.32,-179.99,1144403,1436911046.0,1.92,0.04
2010-07-19,55682.29,57840.9,58281.61,55508.91,2.71,1525.24,1958001,2384462540.0,4.92,0.07
