日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2015-12-09,997.9,1006.56,1019.42,996.21,0.66,6.56,2270069,2576874736.0,2.32,1.0
2015-12-10,998.84,994.3,1004.58,990.14,-1.22,-12.26,1972077,1925842656.0,1.43,0.87
2015-12-11,986.7,1004.2,1014.52,979.74,1.0,9.9,2938191,3067448112.0,3.5,1.3
2015-12-14,996.05,1065.51,1080.42,994.14,6.11,61.31,6720277,5889489664.0,8.59,2.97
2015-12-15,1045.98,1045.39,1054.89,1039.13,-1.89,-20.12,4237695,4730545152.0,1.48,1.87
2015-12-16,1048.18,1053.99,1069.88,1044.05,0.82,8.6,3709058,4150245280.0,2.47,1.64
2015-12-17,1060.95,1058.22,1064.99,1046.69,0.4,4.23,4286112,4829701632.0,1.74,1.89
2015-12-18,1047.34,1044.36,1050.26,1036.34,-1.31,-13.86,3511265,3807910240.0,1.32,1.55
2015-12-21,1045.91,1058.41,1060.35,1044.36,1.35,14.05,3455627,3362597920.0,1.53,1.53
2015-12-22,1061.26,1063.63,1070.54,1057.19,0.49,5.22,3266787,3375377648.0,1.26,1.44
2015-12-23,1062.5,1051.67,1062.63,1049.35,-1.12,-11.96,3336279,3614576816.0,1.25,1.47
2015-12-24,1050.61,1050.07,1055.33,1040.74,-0.15,-1.6,2343507,2616085840.0,1.39,1.04
2015-12-25,1054.4,1052.63,1056.69,1046.56,0.24,2.56,1968289,2357428464.0,0.96,0.87
2015-12-28,1053.83,1031.84,1054.82,1031.84,-1.98,-20.79,2785556,3018776128.0,2.18,1.23
2015-12-29,1028.17,1048.0,1048.19,1026.37,1.57,16.16,2288544,2513677984.0,2.11,1.01
2015-12-30,1047.23,1049.89,1050.69,1041.75,0.18,1.89,2102663,2419703328.0,0.85,0.93
2015-12-31,1045.74,1035.04,1048.4,1033.22,-1.41,-14.85,1805676,1984355712.0,1.45,0.8
2016-01-04,1033.87,970.28,1034.26,970.21,-6.26,-64.76,2172881,2296801248.0,6.19,0.96
2016-01-05,954.12,994.07,1010.39,954.12,2.45,23.79,3733179,3621261440.0,5.8,1.65
2016-01-06,993.58,1045.65,1051.51,988.69,5.19,51.58,5266373,5349300480.0,6.32,2.33
2016-01-07,1041.51,970.04,1048.59,968.58,-7.23,-75.61,1857352,1893420480.0,7.65,0.82
2016-01-08,1017.47,1035.41,1041.77,979.87,6.74,65.37,6731848,6919435520.0,6.38,2.97
2016-01-11,1017.76,1003.69,1054.38,1001.71,-3.06,-31.72,6473385,6940838144.0,5.09,2.86
2016-01-12,982.67,960.48,995.61,944.56,-4.31,-43.21,4960533,4882480128.0,5.09,2.19
2016-01-13,954.72,935.96,964.82,932.71,-2.55,-24.52,4023886,4065493120.0,3.34,1.78
2016-01-14,915.47,943.82,946.4,911.28,0.84,7.86,3554979,3279174000.0,3.75,1.57
2016-01-15,931.03,897.91,932.22,890.75,-4.86,-45.91,3559993,2998556848.0,4.39,1.57
2016-01-18,884.74,898.92,907.76,877.23,0.11,1.01,2327069,2047983616.0,3.4,1.03
2016-01-19,894.84,921.89,921.89,888.37,2.56,22.97,2608385,2298053856.0,3.73,1.15
2016-01-20,916.11,929.51,947.84,907.6,0.83,7.62,3324087,2931116240.0,4.36,1.47
2016-01-21,925.42,904.17,942.45,904.04,-2.73,-25.34,3177545,3074051952.0,4.13,1.4
2016-01-22,902.94,905.47,910.69,884.74,0.14,1.3,2255558,1996993952.0,2.87,1.0
2016-01-25,908.33,910.19,916.1,900.3,0.52,4.72,1817002,1664976592.0,1.74,0.8
2016-01-26,911.84,868.45,915.75,853.07,-4.59,-41.74,3265784,2976893968.0,6.89,1.44
2016-01-27,868.4,845.72,874.92,817.29,-2.62,-22.73,3032146,2501277552.0,6.64,1.34
2016-01-28,839.53,795.76,846.3,793.61,-5.91,-49.96,2288502,1989865072.0,6.23,1.01
2016-01-29,792.97,818.18,826.37,790.44,2.82,22.42,1965360,1565737968.0,4.52,0.87
2016-02-01,819.35,819.91,837.35,805.36,0.21,1.73,1966952,1613384400.0,3.91,0.87
2016-02-02,824.07,836.1,842.2,822.74,1.97,16.19,1696639,1407453872.0,2.37,0.75
2016-02-03,831.41,843.95,847.74,824.95,0.94,7.85,1746907,1395099328.0,2.73,0.77
2016-02-04,858.25,867.71,882.77,858.25,2.82,23.76,2731762,2231475888.0,2.91,1.21
2016-02-05,883.29,898.07,916.34,880.46,3.5,30.36,3993706,3743686880.0,4.14,1.76
2016-02-15,972.91,982.18,982.51,952.89,9.37,84.11,5897098,4377143552.0,3.3,2.6
2016-02-16,973.24,998.73,1013.83,955.36,1.69,16.55,8253979,7849252608.0,5.95,3.65
2016-02-17,972.52,988.49,990.5,967.84,-1.03,-10.24,5304034,5315286016.0,2.27,2.34
2016-02-18,983.2,968.23,985.92,965.36,-2.05,-20.26,4002498,4140620656.0,2.08,1.77
2016-02-19,981.85,951.73,985.93,944.88,-1.7,-16.5,4347470,4113542432.0,4.24,1.92
2016-02-22,952.98,963.55,969.5,950.9,1.24,11.82,3342534,3351348816.0,1.95,1.48
2016-02-23,956.89,982.21,983.43,949.22,1.94,18.66,5380593,5674268672.0,3.55,2.38
2016-02-24,974.99,1005.2,1034.83,964.04,2.34,22.99,7981973,7958948608.0,7.21,3.53
2016-02-25,1004.19,941.46,1021.43,933.08,-6.34,-63.74,6938765,7101172224.0,8.79,3.06
2016-02-26,946.8,958.82,960.42,924.78,1.84,17.36,3924545,4051391296.0,3.79,1.73
2016-02-29,941.21,940.94,957.69,910.41,-1.86,-17.88,4180531,4493053696.0,4.93,1.85
2016-03-01,947.9,993.32,1001.36,941.89,5.57,52.38,7121651,6919935488.0,6.32,3.15
2016-03-02,970.12,1016.51,1019.34,966.82,2.33,23.19,7189768,6681144576.0,5.29,3.18
2016-03-03,1014.95,1048.83,1049.18,998.69,3.18,32.32,9318399,8442140160.0,4.97,4.12
2016-03-04,1071.99,1054.79,1089.21,1042.65,0.57,5.96,11395790,10730367488.0,4.44,5.03
2016-03-07,1063.87,1095.87,1105.77,1044.18,3.89,41.08,9568751,9782515712.0,5.84,4.23
2016-03-08,1092.47,1071.81,1092.47,1049.92,-2.2,-24.06,9452644,10424615936.0,3.88,4.18
2016-03-09,1019.94,1019.59,1033.8,1006.89,-4.87,-52.22,6270184,6555037184.0,2.51,2.77
2016-03-10,1010.31,1005.92,1034.27,997.57,-1.34,-13.67,5210815,6152124160.0,3.6,2.3
2016-03-11,1035.24,1017.26,1039.0,1013.41,1.13,11.34,5362674,6275211520.0,2.54,2.37
2016-03-14,995.75,1038.05,1041.81,995.57,2.04,20.79,6136572,6501654528.0,4.55,2.71
2016-03-15,1016.5,1005.34,1023.71,992.22,-3.15,-32.71,5326695,6185081600.0,3.03,2.35
2016-03-16,999.94,1014.65,1021.54,994.61,0.93,9.31,4873289,5349750528.0,2.68,2.15
2016-03-17,1030.56,1022.59,1032.19,1011.4,0.78,7.94,5051197,6034089472.0,2.05,2.23
2016-03-18,1030.99,1034.75,1044.11,1025.41,1.19,12.16,6222918,7082962432.0,1.83,2.75
2016-03-21,1030.31,1041.77,1041.9,1023.62,0.68,7.02,6713230,7397216768.0,1.77,2.97
