日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1015.06,1015.06,1015.06,1015.06,1.51,15.06,170322,183703038.0,0.0,0.49
2010-01-05,1043.8,1043.8,1043.8,1043.8,2.83,28.74,340361,351090955.0,0.0,0.98
2010-01-06,1027.16,1027.16,1027.16,1027.16,-1.59,-16.64,269307,288853579.0,0.0,0.77
2010-01-07,1027.22,1027.22,1027.22,1027.22,0.01,0.06,478952,495764163.0,0.0,1.37
2010-01-08,1055.52,1055.52,1055.52,1055.52,2.76,28.3,560156,596970407.0,0.0,1.61
2010-01-11,1060.8,1060.8,1060.8,1060.8,0.5,5.28,459327,519798068.0,0.0,1.32
2010-01-12,1062.13,1062.13,1062.13,1062.13,0.13,1.33,328575,368666232.0,0.0,0.94
2010-01-13,1039.9,1039.9,1039.9,1039.9,-2.09,-22.23,345638,377284663.0,0.0,0.99
2010-01-14,1072.57,1072.57,1072.57,1072.57,3.14,32.67,440970,496558495.0,0.0,1.26
2010-01-15,1064.97,1064.97,1064.97,1064.97,-0.71,-7.6,182623,188450849.0,0.0,0.52
2010-01-18,1093.1,1093.1,1093.1,1093.1,2.64,28.13,422176,478819551.0,0.0,1.21
2010-01-19,1095.69,1095.69,1095.69,1095.69,0.24,2.59,488360,569454770.0,0.0,1.4
2010-01-20,1062.61,1062.61,1062.61,1062.61,-3.02,-33.08,437574,511311840.0,0.0,1.25
2010-01-21,1059.99,1059.99,1059.99,1059.99,-0.25,-2.62,250493,281006194.0,0.0,0.72
2010-01-22,1044.92,1044.92,1044.92,1044.92,-1.42,-15.07,234967,253989815.0,0.0,0.67
2010-01-25,1011.16,1011.16,1011.16,1011.16,-3.23,-33.76,190052,207682534.0,0.0,0.54
2010-01-26,957.74,957.74,957.74,957.74,-5.28,-53.42,184404,191141563.0,0.0,0.53
2010-01-27,929.57,929.57,929.57,929.57,-2.94,-28.17,162339,160145670.0,0.0,0.47
2010-01-28,953.69,953.69,953.69,953.69,2.59,24.12,216303,218333839.0,0.0,0.62
2010-01-29,966.0,966.0,966.0,966.0,1.29,12.31,303448,325114846.0,0.0,0.87
2010-02-01,987.4,987.4,987.4,987.4,2.22,21.4,393314,437829416.0,0.0,1.13
2010-02-02,992.74,992.74,992.74,992.74,0.54,5.34,370944,439166243.0,0.0,1.06
2010-02-03,1022.67,1022.67,1022.67,1022.67,3.01,29.93,422480,525209719.0,0.0,1.21
2010-02-04,1062.35,1062.35,1062.35,1062.35,3.88,39.68,419126,557192123.0,0.0,1.2
2010-02-05,1016.08,1016.08,1016.08,1016.08,-4.36,-46.27,362342,457486389.0,0.0,1.04
2010-02-08,1028.72,1028.72,1028.72,1028.72,1.24,12.64,401815,519944221.0,0.0,1.15
2010-02-09,999.99,999.99,999.99,999.99,-2.79,-28.73,309712,405225073.0,0.0,0.89
2010-02-10,1002.59,1002.59,1002.59,1002.59,0.26,2.6,190905,230233207.0,0.0,0.55
2010-02-11,998.53,998.53,998.53,998.53,-0.4,-4.06,199206,233213429.0,0.0,0.57
2010-02-12,1026.34,1026.34,1026.34,1026.34,2.79,27.81,348657,445664480.0,0.0,1.0
2010-02-22,1019.55,1019.55,1019.55,1019.55,-0.66,-6.79,331447,407993190.0,0.0,0.95
2010-02-23,1023.52,1023.52,1023.52,1023.52,0.39,3.97,251516,306865870.0,0.0,0.72
2010-02-24,1029.47,1029.47,1029.47,1029.47,0.58,5.95,303841,359773808.0,0.0,0.87
2010-02-25,1081.51,1081.51,1081.51,1081.51,5.06,52.04,470869,566776462.0,0.0,1.35
2010-02-26,1080.55,1080.55,1080.55,1080.55,-0.09,-0.96,349387,416225144.0,0.0,1.0
2010-03-01,1094.36,1094.36,1094.36,1094.36,1.28,13.81,376434,480015156.0,0.0,1.08
2010-03-02,1081.73,1081.73,1081.73,1081.73,-1.15,-12.63,313892,379908382.0,0.0,0.9
2010-03-03,1074.52,1074.52,1074.52,1074.52,-0.67,-7.21,313132,363735311.0,0.0,0.9
2010-03-04,1030.47,1030.47,1030.47,1030.47,-4.1,-44.05,267858,307945263.0,0.0,0.77
2010-03-05,1035.31,1035.31,1035.31,1035.31,0.47,4.84,167469,188606982.0,0.0,0.48
2010-03-08,1045.71,1045.71,1045.71,1045.71,1.0,10.4,142508,160647435.0,0.0,0.41
2010-03-09,1053.27,1053.27,1053.27,1053.27,0.72,7.56,182758,199227411.0,0.0,0.52
2010-03-10,1049.98,1049.98,1049.98,1049.98,-0.31,-3.29,256677,302000164.0,0.0,0.74
2010-03-11,1037.17,1037.17,1037.17,1037.17,-1.22,-12.81,135989,153001112.0,0.0,0.39
