日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,983.03,983.03,983.03,983.03,-1.7,-16.97,37429,58140912.0,0.0,0.22
2010-01-05,988.67,988.67,988.67,988.67,0.57,5.64,45313,60593598.0,0.0,0.26
2010-01-06,997.46,997.46,997.46,997.46,0.89,8.79,51862,77587802.0,0.0,0.3
2010-01-07,982.0,982.0,982.0,982.0,-1.55,-15.46,62500,86245712.0,0.0,0.36
2010-01-08,974.34,974.34,974.34,974.34,-0.78,-7.66,48192,68678841.0,0.0,0.28
2010-01-11,1001.67,1001.67,1001.67,1001.67,2.8,27.33,128710,177430577.0,0.0,0.75
2010-01-12,1057.04,1057.04,1057.04,1057.04,5.53,55.37,130996,223450665.0,0.0,0.76
2010-01-13,1046.03,1046.03,1046.03,1046.03,-1.04,-11.01,105173,191429054.0,0.0,0.61
2010-01-14,1074.26,1074.26,1074.26,1074.26,2.7,28.23,99399,192550976.0,0.0,0.58
2010-01-15,1110.93,1110.93,1110.93,1110.93,3.41,36.67,91178,183531358.0,0.0,0.53
2010-01-18,1125.25,1125.25,1125.25,1125.25,1.29,14.32,62748,109946847.0,0.0,0.36
2010-01-19,1110.86,1110.86,1110.86,1110.86,-1.28,-14.39,58341,102238577.0,0.0,0.34
2010-01-20,1048.78,1048.78,1048.78,1048.78,-5.59,-62.08,33120,37362436.0,0.0,0.19
2010-01-21,1037.6,1037.6,1037.6,1037.6,-1.07,-11.18,43898,81784417.0,0.0,0.26
2010-01-22,986.97,986.97,986.97,986.97,-4.88,-50.63,51759,88340313.0,0.0,0.3
2010-01-25,978.59,978.59,978.59,978.59,-0.85,-8.38,27633,46110633.0,0.0,0.16
2010-01-26,933.17,933.17,933.17,933.17,-4.64,-45.42,33964,52490112.0,0.0,0.2
2010-01-27,955.54,955.54,955.54,955.54,2.4,22.37,49432,98350944.0,0.0,0.29
2010-01-28,970.32,970.32,970.32,970.32,1.55,14.78,39622,78268790.0,0.0,0.23
2010-01-29,970.28,970.28,970.28,970.28,0.0,-0.04,38017,73088647.0,0.0,0.22
2010-02-01,956.64,956.64,956.64,956.64,-1.41,-13.64,25352,43923198.0,0.0,0.15
2010-02-02,945.3,945.3,945.3,945.3,-1.19,-11.34,29083,50508023.0,0.0,0.17
2010-02-03,953.01,953.01,953.01,953.01,0.82,7.71,34935,58531091.0,0.0,0.2
2010-02-04,964.88,964.88,964.88,964.88,1.25,11.87,41305,65469160.0,0.0,0.24
2010-02-05,951.21,951.21,951.21,951.21,-1.42,-13.67,36082,50969839.0,0.0,0.21
2010-02-08,951.69,951.69,951.69,951.69,0.05,0.48,16228,23465540.0,0.0,0.09
2010-02-09,950.34,950.34,950.34,950.34,-0.14,-1.35,14561,19678751.0,0.0,0.08
2010-02-10,973.74,973.74,973.74,973.74,2.46,23.4,23969,42552481.0,0.0,0.14
2010-02-11,980.16,980.16,980.16,980.16,0.66,6.42,27869,41056545.0,0.0,0.16
2010-02-12,984.35,984.35,984.35,984.35,0.43,4.19,19325,28234248.0,0.0,0.11
2010-02-22,985.49,985.49,985.49,985.49,0.12,1.14,23950,38833236.0,0.0,0.14
2010-02-23,980.0,980.0,980.0,980.0,-0.56,-5.49,24566,38023882.0,0.0,0.14
2010-02-24,1006.0,1006.0,1006.0,1006.0,2.65,26.0,27059,39854904.0,0.0,0.16
2010-02-25,1011.78,1011.78,1011.78,1011.78,0.57,5.78,43154,63267818.0,0.0,0.25
2010-02-26,1017.89,1017.89,1017.89,1017.89,0.6,6.11,39884,64978595.0,0.0,0.23
2010-03-01,1024.08,1024.08,1024.08,1024.08,0.61,6.19,31244,47546278.0,0.0,0.18
2010-03-02,1007.78,1007.78,1007.78,1007.78,-1.59,-16.3,34779,54822367.0,0.0,0.2
2010-03-03,1017.33,1017.33,1017.33,1017.33,0.95,9.55,37060,57516152.0,0.0,0.22
2010-03-04,993.74,993.74,993.74,993.74,-2.32,-23.59,36160,58350013.0,0.0,0.21
2010-03-05,979.14,979.14,979.14,979.14,-1.47,-14.6,36893,67791559.0,0.0,0.21
2010-03-08,984.27,984.27,984.27,984.27,0.52,5.13,34564,62937292.0,0.0,0.2
2010-03-09,976.62,976.62,976.62,976.62,-0.78,-7.65,22183,36887830.0,0.0,0.13
2010-03-10,961.56,961.56,961.56,961.56,-1.54,-15.06,45916,83833523.0,0.0,0.27
2010-03-11,954.81,954.81,954.81,954.81,-0.7,-6.75,21033,32737435.0,0.0,0.12
2010-03-12,929.4,929.4,929.4,929.4,-2.66,-25.41,40079,71596799.0,0.0,0.23
2010-03-15,929.77,929.77,929.77,929.77,0.04,0.37,25957,39918093.0,0.0,0.15
2010-03-16,939.4,939.4,939.4,939.4,1.04,9.63,18582,30597619.0,0.0,0.11
2010-03-17,961.35,961.35,961.35,961.35,2.34,21.95,23061,37880196.0,0.0,0.13
2010-03-18,967.56,967.56,967.56,967.56,0.65,6.21,85971,112873211.0,0.0,0.5
2010-03-19,955.92,955.92,955.92,955.92,-1.2,-11.64,67269,106385849.0,0.0,0.39
2010-03-22,969.72,969.72,969.72,969.72,1.44,13.8,42790,71734492.0,0.0,0.25
2010-03-23,958.83,958.83,958.83,958.83,-1.12,-10.89,32950,54013057.0,0.0,0.19
2010-03-24,956.31,956.31,956.31,956.31,-0.26,-2.52,31225,53820383.0,0.0,0.18
2010-03-25,944.47,944.47,944.47,944.47,-1.24,-11.84,32271,53224712.0,0.0,0.19
2010-03-26,958.35,958.35,958.35,958.35,1.47,13.88,26371,46728504.0,0.0,0.15
2010-03-29,964.39,964.39,964.39,964.39,0.63,6.04,34866,61861491.0,0.0,0.2
2010-03-30,972.01,972.01,972.01,972.01,0.79,7.62,46437,73590891.0,0.0,0.27
2010-03-31,982.58,982.58,982.58,982.58,1.09,10.57,51382,89922220.0,0.0,0.3
2010-04-01,1005.03,1005.03,1005.03,1005.03,2.28,22.45,82854,144384878.0,0.0,0.48
2010-04-02,1015.39,1015.39,1015.39,1015.39,1.03,10.36,83544,124762885.0,0.0,0.49
2010-04-06,1021.65,1021.65,1021.65,1021.65,0.62,6.26,70402,111819423.0,0.0,0.41
2010-04-07,1023.73,1023.73,1023.73,1023.73,0.2,2.08,59415,90669660.0,0.0,0.35
2010-04-08,1004.45,1004.45,1004.45,1004.45,-1.88,-19.28,54735,92909374.0,0.0,0.32
2010-04-09,1014.98,1014.98,1014.98,1014.98,1.05,10.53,47183,80869545.0,0.0,0.27
2010-04-12,1009.79,1009.79,1009.79,1009.79,-0.51,-5.19,77947,135847896.0,0.0,0.45
2010-04-13,1007.84,1007.84,1007.84,1007.84,-0.19,-1.95,70907,118354172.0,0.0,0.41
2010-04-14,1039.38,1039.38,1039.38,1039.38,3.13,31.54,69204,128494690.0,0.0,0.4
2010-04-15,1008.37,1008.37,1008.37,1008.37,-2.98,-31.01,64704,117333222.0,0.0,0.38
2010-04-16,1005.68,1005.68,1005.68,1005.68,-0.27,-2.69,29468,51246388.0,0.0,0.17
2010-04-19,982.12,982.12,982.12,982.12,-2.34,-23.56,41439,69980110.0,0.0,0.24
2010-04-20,1009.37,1009.37,1009.37,1009.37,2.77,27.25,35184,62378301.0,0.0,0.2
2010-04-21,1040.77,1040.77,1040.77,1040.77,3.11,31.4,71236,138291993.0,0.0,0.41
