日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,995.37,995.37,995.37,995.37,-0.46,-4.63,7170,30754440.0,0.0,0.04
2010-01-05,996.53,996.53,996.53,996.53,0.12,1.16,11232,47826157.0,0.0,0.06
2010-01-06,970.58,970.58,970.58,970.58,-2.6,-25.95,7258,30777562.0,0.0,0.04
2010-01-07,951.82,951.82,951.82,951.82,-1.93,-18.76,8302,34353476.0,0.0,0.04
2010-01-08,914.06,914.06,914.06,914.06,-3.97,-37.76,9127,36428174.0,0.0,0.05
2010-01-11,919.16,919.16,919.16,919.16,0.56,5.1,6596,26191700.0,0.0,0.03
2010-01-13,950.89,950.89,950.89,950.89,3.45,31.73,11826,48245212.0,0.0,0.06
2010-01-14,1046.1,1046.1,1046.1,1046.1,10.01,95.21,19960,89802448.0,0.0,0.1
2010-01-15,1051.66,1051.66,1051.66,1051.66,0.53,5.56,26585,123560040.0,0.0,0.14
2010-01-18,1033.13,1033.13,1033.13,1033.13,-1.76,-18.53,11069,49393541.0,0.0,0.06
2010-01-19,1025.25,1025.25,1025.25,1025.25,-0.76,-7.88,9030,39776359.0,0.0,0.05
2010-01-20,1026.41,1026.41,1026.41,1026.41,0.11,1.16,16000,71757971.0,0.0,0.08
2010-01-21,997.22,997.22,997.22,997.22,-2.84,-29.19,10676,46306650.0,0.0,0.06
2010-01-22,935.14,935.14,935.14,935.14,-6.23,-62.08,10670,43457992.0,0.0,0.06
2010-01-25,947.42,947.42,947.42,947.42,1.31,12.28,7427,30392727.0,0.0,0.04
2010-01-26,935.84,935.84,935.84,935.84,-1.22,-11.58,6132,25331046.0,0.0,0.03
2010-01-27,908.5,908.5,908.5,908.5,-2.92,-27.34,4451,17757217.0,0.0,0.02
2010-01-28,908.04,908.04,908.04,908.04,-0.05,-0.46,7171,27511887.0,0.0,0.04
2010-01-29,908.5,908.5,908.5,908.5,0.05,0.46,4558,18079061.0,0.0,0.02
2010-02-01,892.06,892.06,892.06,892.06,-1.81,-16.44,30611,115803449.0,0.0,0.16
2010-02-02,914.99,914.99,914.99,914.99,2.57,22.93,10467,41345811.0,0.0,0.05
2010-02-03,896.22,896.22,896.22,896.22,-2.05,-18.77,7929,30263221.0,0.0,0.04
2010-02-04,883.02,883.02,883.02,883.02,-1.47,-13.2,5470,20926746.0,0.0,0.03
2010-02-05,912.67,912.67,912.67,912.67,3.36,29.65,9547,36880152.0,0.0,0.05
2010-02-08,910.35,910.35,910.35,910.35,-0.25,-2.32,6334,24882748.0,0.0,0.03
2010-02-09,894.14,894.14,894.14,894.14,-1.78,-16.21,3202,12410466.0,0.0,0.02
2010-02-10,926.11,926.11,926.11,926.11,3.58,31.97,6121,24216420.0,0.0,0.03
2010-02-11,949.73,949.73,949.73,949.73,2.55,23.62,9892,40234124.0,0.0,0.05
2010-02-12,965.02,965.02,965.02,965.02,1.61,15.29,7104,29393455.0,0.0,0.04
2010-02-22,940.47,940.47,940.47,940.47,-2.54,-24.55,5505,22503003.0,0.0,0.03
2010-02-23,958.54,958.54,958.54,958.54,1.92,18.07,6249,25624568.0,0.0,0.03
2010-02-24,1005.1,1005.1,1005.1,1005.1,4.86,46.56,13707,59048132.0,0.0,0.07
2010-02-25,1018.76,1018.76,1018.76,1018.76,1.36,13.66,20715,92368186.0,0.0,0.11
2010-02-26,1013.44,1013.44,1013.44,1013.44,-0.52,-5.32,10525,45931095.0,0.0,0.05
2010-03-01,1023.4,1023.4,1023.4,1023.4,0.98,9.96,10533,45862780.0,0.0,0.05
2010-03-02,1016.68,1016.68,1016.68,1016.68,-0.66,-6.72,9085,40081323.0,0.0,0.05
2010-03-03,983.32,983.32,983.32,983.32,-3.28,-33.36,13799,59135176.0,0.0,0.07
2010-03-04,957.61,957.61,957.61,957.61,-2.61,-25.71,8758,37127850.0,0.0,0.05
2010-03-05,979.62,979.62,979.62,979.62,2.3,22.01,6468,27229246.0,0.0,0.03
2010-03-08,1012.05,1012.05,1012.05,1012.05,3.31,32.43,8000,34433170.0,0.0,0.04
2010-03-09,1026.87,1026.87,1026.87,1026.87,1.46,14.82,12943,57135423.0,0.0,0.07
2010-03-10,1014.59,1014.59,1014.59,1014.59,-1.2,-12.28,6968,30531576.0,0.0,0.04
2010-03-11,1040.54,1040.54,1040.54,1040.54,2.56,25.95,11323,50089600.0,0.0,0.06
2010-03-12,1028.49,1028.49,1028.49,1028.49,-1.16,-12.05,17536,79694846.0,0.0,0.09
2010-03-15,1074.82,1074.82,1074.82,1074.82,4.5,46.33,20503,93772262.0,0.0,0.11
2010-03-16,1060.92,1060.92,1060.92,1060.92,-1.29,-13.9,12044,55082663.0,0.0,0.06
2010-03-18,1090.8,1090.8,1090.8,1090.8,2.82,29.88,40647,193039413.0,0.0,0.21
2010-03-19,1097.06,1097.06,1097.06,1097.06,0.57,6.26,14672,69385198.0,0.0,0.08
2010-03-22,1104.93,1104.93,1104.93,1104.93,0.72,7.87,10806,51386330.0,0.0,0.06
2010-03-23,1126.25,1126.25,1126.25,1126.25,1.93,21.32,21368,102330036.0,0.0,0.11
2010-03-24,1145.47,1145.47,1145.47,1145.47,1.71,19.22,21365,106027366.0,0.0,0.11
2010-03-25,1210.33,1210.33,1210.33,1210.33,5.66,64.86,25270,129766847.0,0.0,0.13
2010-03-26,1167.01,1167.01,1167.01,1167.01,-3.58,-43.32,18916,95357774.0,0.0,0.1
2010-03-29,1136.9,1136.9,1136.9,1136.9,-2.58,-30.11,16403,80254112.0,0.0,0.09
2010-03-30,1143.16,1143.16,1143.16,1143.16,0.55,6.26,15020,74231297.0,0.0,0.08
2010-03-31,1183.92,1183.92,1183.92,1183.92,3.57,40.76,18943,96086838.0,0.0,0.1
2010-04-01,1175.35,1175.35,1175.35,1175.35,-0.72,-8.57,25363,132205174.0,0.0,0.13
2010-04-02,1161.46,1161.46,1161.46,1161.46,-1.18,-13.89,12981,64821294.0,0.0,0.07
2010-04-06,1202.22,1202.22,1202.22,1202.22,3.51,40.76,13570,69690688.0,0.0,0.07
2010-04-07,1255.97,1255.97,1255.97,1255.97,4.47,53.75,23688,126485488.0,0.0,0.12
2010-04-08,1220.29,1220.29,1220.29,1220.29,-2.84,-35.68,16764,90187816.0,0.0,0.09
2010-04-09,1306.69,1306.69,1306.69,1306.69,7.08,86.4,17939,98088533.0,0.0,0.09
2010-04-12,1321.52,1321.52,1321.52,1321.52,1.13,14.83,20353,116155530.0,0.0,0.11
2010-04-13,1196.9,1196.9,1196.9,1196.9,-9.43,-124.62,24384,130396855.0,0.0,0.13
2010-04-14,1221.22,1221.22,1221.22,1221.22,2.03,24.32,12028,62862617.0,0.0,0.06
2010-04-15,1132.27,1132.27,1132.27,1132.27,-7.28,-88.95,19648,97451682.0,0.0,0.1
2010-04-19,1130.88,1130.88,1130.88,1130.88,-0.12,-1.39,13727,68210337.0,0.0,0.07
