日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2015-12-09,999.28,1004.14,1009.5,997.86,0.41,4.14,1903661,4772097792.0,1.16,0.14
2015-12-10,1004.67,999.48,1014.97,994.43,-0.46,-4.66,2337616,5407242752.0,2.05,0.18
2015-12-11,997.77,995.16,999.18,987.98,-0.43,-4.32,1688375,3854428224.0,1.12,0.13
2015-12-14,987.8,1022.48,1025.03,983.82,2.75,27.32,1970739,3522923904.0,4.14,0.15
2015-12-15,1019.66,1017.57,1030.89,1012.46,-0.48,-4.91,2362619,4653618944.0,1.8,0.18
2015-12-16,1022.08,1030.63,1043.8,1017.73,1.28,13.06,2503020,4895478272.0,2.56,0.19
2015-12-17,1035.13,1042.48,1047.31,1030.99,1.15,11.85,2469080,4541669888.0,1.58,0.19
2015-12-18,1040.56,1036.15,1059.0,1032.98,-0.61,-6.33,2303020,4507702528.0,2.5,0.17
2015-12-21,1028.94,1055.21,1058.9,1026.21,1.84,19.06,3511761,6747657216.0,3.15,0.27
2015-12-22,1052.98,1052.77,1061.71,1046.31,-0.23,-2.44,2168603,4421333760.0,1.46,0.16
2015-12-23,1052.34,1038.97,1056.79,1037.54,-1.31,-13.8,2235339,4438825984.0,1.83,0.17
2015-12-24,1038.61,1031.88,1049.34,1017.96,-0.68,-7.09,1991678,3946638800.0,3.02,0.15
2015-12-25,1033.51,1037.54,1040.28,1031.58,0.55,5.66,1399322,3281839296.0,0.84,0.11
2015-12-28,1048.97,1037.75,1081.95,1033.64,0.02,0.21,4292681,6244549888.0,4.66,0.33
2015-12-29,1027.34,1032.43,1035.82,1012.27,-0.51,-5.32,2257609,4071309360.0,2.27,0.17
2015-12-30,1031.1,1049.54,1064.36,1021.85,1.66,17.11,2713176,4483360512.0,4.12,0.21
2015-12-31,1039.62,1024.1,1045.06,1022.91,-2.42,-25.44,1888037,3633391568.0,2.11,0.14
2016-01-04,1023.88,956.15,1026.28,951.79,-6.64,-67.95,1879488,3138065456.0,7.27,0.14
2016-01-05,929.67,943.72,961.74,908.27,-1.3,-12.43,3102111,5233395456.0,5.59,0.24
2016-01-06,945.51,952.0,965.22,943.25,0.88,8.28,2722378,4212669600.0,2.33,0.21
2016-01-07,945.1,875.07,945.1,870.04,-8.08,-76.93,532537,712056480.0,7.88,0.04
2016-01-08,895.21,896.44,917.48,846.18,2.44,21.37,2532952,3363274608.0,8.15,0.19
2016-01-11,884.0,825.11,889.27,823.63,-7.96,-71.33,2306373,2873989216.0,7.32,0.17
2016-01-12,833.85,826.57,839.83,813.7,0.18,1.46,2042883,3413283120.0,3.17,0.15
2016-01-13,835.28,817.9,860.32,815.3,-1.05,-8.67,2302383,2894485072.0,5.45,0.17
2016-01-14,786.15,825.05,832.4,780.6,0.87,7.15,2461819,3410018752.0,6.33,0.19
2016-01-15,819.6,778.8,819.6,771.01,-5.61,-46.25,2487428,3453532112.0,5.89,0.19
2016-01-18,762.15,782.91,798.61,759.31,0.53,4.11,1774287,2942101808.0,5.05,0.13
2016-01-19,783.09,808.47,813.39,774.83,3.26,25.56,2074666,3191033360.0,4.93,0.16
2016-01-20,798.96,789.78,808.4,781.96,-2.31,-18.69,1890183,2621388464.0,3.27,0.14
2016-01-21,777.91,762.67,805.81,761.28,-3.43,-27.11,1955471,2687170352.0,5.64,0.15
2016-01-22,772.81,773.06,775.98,745.27,1.36,10.39,1850032,2407899552.0,4.03,0.14
2016-01-25,774.48,768.03,779.43,761.0,-0.65,-5.03,1312888,1791697504.0,2.38,0.1
2016-01-26,762.3,694.05,762.3,692.95,-9.63,-73.98,2358154,2619336928.0,9.03,0.18
2016-01-27,697.46,680.23,702.39,643.29,-1.99,-13.82,2308701,2608241616.0,8.52,0.18
2016-01-28,665.54,646.1,679.41,643.35,-5.02,-34.13,1550668,1894545120.0,5.3,0.12
2016-01-29,650.43,674.98,681.66,648.64,4.47,28.88,2055620,2540440416.0,5.11,0.16
2016-02-01,671.94,661.78,673.32,649.64,-1.96,-13.2,1655506,2335915808.0,3.51,0.13
2016-02-02,660.64,681.48,687.4,659.57,2.98,19.7,1584311,2287351408.0,4.21,0.12
2016-02-03,672.83,682.7,691.29,664.16,0.18,1.22,1317783,1702534800.0,3.98,0.1
2016-02-04,687.33,692.21,700.53,683.75,1.39,9.51,1645611,2174792720.0,2.46,0.12
2016-02-05,692.67,679.25,695.9,679.24,-1.87,-12.96,1162660,1341538464.0,2.41,0.09
2016-02-15,660.14,674.75,679.91,656.96,-0.66,-4.5,991433,1366215200.0,3.38,0.08
2016-02-16,681.06,702.6,706.0,678.55,4.13,27.85,1924663,2458560000.0,4.07,0.15
2016-02-17,701.0,715.3,718.23,697.75,1.81,12.7,2090640,2476843616.0,2.91,0.16
2016-02-18,722.82,719.38,730.21,712.44,0.57,4.08,2107272,2348685216.0,2.48,0.16
2016-02-19,714.9,720.44,731.63,710.18,0.15,1.06,1915402,2774956080.0,2.98,0.15
2016-02-22,727.27,747.8,751.4,723.11,3.8,27.36,2413696,2906127360.0,3.93,0.18
2016-02-23,746.38,730.71,746.38,719.38,-2.29,-17.09,1966721,2487692560.0,3.61,0.15
2016-02-24,724.19,746.39,749.22,716.09,2.15,15.68,2006861,2364252000.0,4.53,0.15
2016-02-25,737.15,681.4,738.78,674.26,-8.71,-64.99,2369423,2766708800.0,8.64,0.18
2016-02-26,689.01,686.02,695.66,679.44,0.68,4.62,1619228,2093300096.0,2.38,0.12
2016-02-29,683.61,667.02,683.88,647.56,-2.77,-19.0,1966356,2199526880.0,5.29,0.15
2016-03-01,667.7,676.78,685.06,658.18,1.46,9.76,1620188,2385184128.0,4.03,0.12
2016-03-02,682.44,706.08,710.59,675.35,4.33,29.3,2152672,2539791504.0,5.21,0.16
2016-03-03,704.51,709.71,714.22,701.41,0.51,3.63,2104818,2567238400.0,1.81,0.16
2016-03-04,705.49,720.8,726.51,698.35,1.56,11.09,3122326,2803936640.0,3.97,0.24
2016-03-07,718.0,721.65,729.91,712.02,0.12,0.85,1576935,1654118992.0,2.48,0.12
2016-03-08,719.01,721.45,722.88,688.53,-0.03,-0.2,1903348,2060268144.0,4.76,0.14
2016-03-09,703.8,716.3,716.45,693.7,-0.71,-5.15,1607091,1542207920.0,3.15,0.12
2016-03-10,706.41,701.44,713.69,698.75,-2.07,-14.86,1196582,1487133744.0,2.09,0.09
2016-03-11,694.15,704.16,704.78,690.94,0.39,2.72,989286,1178023248.0,1.97,0.07
2016-03-14,711.18,716.97,727.87,706.2,1.82,12.81,1720247,2397114944.0,3.08,0.13
2016-03-15,715.1,715.33,721.2,702.92,-0.23,-1.64,1342857,1882260816.0,2.55,0.1
2016-03-16,714.56,723.2,727.37,713.15,1.1,7.87,2131222,2007270416.0,1.99,0.16
2016-03-17,723.5,735.89,745.0,720.72,1.75,12.69,2631248,3337109824.0,3.36,0.2
2016-03-18,736.26,737.67,751.04,730.81,0.24,1.78,3947218,4157186016.0,2.75,0.3
2016-03-21,745.27,759.59,771.32,740.1,2.97,21.92,3951561,4263986912.0,4.23,0.3
2016-03-22,753.92,753.76,760.53,745.02,-0.77,-5.83,2717792,3146942592.0,2.04,0.21
2016-03-23,749.78,759.89,761.3,748.58,0.81,6.13,2117552,2892373440.0,1.69,0.16
2016-03-24,755.91,741.13,755.91,739.7,-2.47,-18.76,1896368,2686167760.0,2.13,0.14
2016-03-25,737.25,735.54,743.3,722.88,-0.75,-5.59,2197749,2535236512.0,2.76,0.17
2016-03-28,736.92,729.13,744.11,724.45,-0.87,-6.41,1752399,2416098208.0,2.67,0.13
2016-03-29,730.73,714.84,730.87,708.71,-1.96,-14.29,1600111,2024024224.0,3.04,0.12
2016-03-30,719.31,736.91,740.15,718.25,3.09,22.07,1862871,2401177776.0,3.06,0.14
2016-03-31,743.69,744.66,757.71,734.26,1.05,7.75,2637290,3198435728.0,3.18,0.2
2016-04-01,745.05,765.6,769.5,742.69,2.81,20.94,3391719,2900916528.0,3.6,0.26
2016-04-05,758.87,767.8,771.94,748.85,0.29,2.2,2769884,3054833104.0,3.02,0.21
2016-04-06,761.25,760.22,766.47,753.09,-0.99,-7.58,1978486,2356727360.0,1.74,0.15
2016-04-07,762.25,747.45,764.0,745.61,-1.68,-12.77,2135693,2638623648.0,2.42,0.16
2016-04-08,740.07,736.08,743.41,728.74,-1.52,-11.37,1562828,1858127200.0,1.96,0.12
2016-04-11,740.31,748.59,753.33,740.31,1.7,12.51,1809624,2387786016.0,1.77,0.14
2016-04-12,746.81,745.67,749.42,738.53,-0.39,-2.92,1712920,2260790496.0,1.45,0.13
2016-04-13,748.98,755.13,765.57,748.91,1.27,9.46,2963523,3710453072.0,2.23,0.22
2016-04-14,761.04,760.53,763.17,753.33,0.72,5.4,1745063,2651058656.0,1.3,0.13
2016-04-15,760.76,754.78,762.28,750.35,-0.76,-5.75,1911555,2608173952.0,1.57,0.14
2016-04-18,749.01,740.75,750.47,737.26,-1.86,-14.03,1720474,2149833488.0,1.75,0.13
2016-04-19,744.33,738.13,745.05,734.27,-0.35,-2.62,1310977,1684303120.0,1.46,0.1
2016-04-20,739.9,712.85,740.24,687.51,-3.42,-25.28,2483946,2573808176.0,7.14,0.19
2016-04-21,706.37,704.77,712.2,701.72,-1.13,-8.08,1366197,1453030656.0,1.47,0.1
2016-04-22,697.77,702.05,705.08,688.42,-0.39,-2.72,1556204,1856539104.0,2.36,0.12
2016-04-25,697.46,692.04,697.91,683.36,-1.43,-10.01,1412558,1590997568.0,2.07,0.11
2016-04-26,691.79,696.28,697.79,686.32,0.61,4.24,1258879,1397976880.0,1.66,0.1
2016-04-27,697.61,695.18,702.65,692.58,-0.16,-1.1,1082505,1296551104.0,1.45,0.08
2016-04-28,695.16,691.01,697.24,683.34,-0.6,-4.17,1087592,1312115936.0,2.0,0.08
2016-04-29,689.09,687.59,691.92,684.78,-0.49,-3.42,969494,1252541440.0,1.03,0.07
2016-05-03,689.34,703.17,704.77,686.01,2.27,15.58,1514646,1774126960.0,2.73,0.11
2016-05-04,699.7,702.46,706.37,697.72,-0.1,-0.71,1219634,1398037184.0,1.23,0.09
2016-05-05,700.83,702.92,706.24,698.95,0.07,0.46,1032277,1297267120.0,1.04,0.08
2016-05-06,703.05,684.36,710.87,684.32,-2.64,-18.56,1633718,1762263376.0,3.78,0.12
2016-05-09,680.07,665.09,680.07,662.17,-2.82,-19.27,1455621,1418197472.0,2.62,0.11
2016-05-10,662.02,667.19,670.36,661.98,0.32,2.1,758552,789966096.0,1.26,0.06
2016-05-11,669.14,667.18,676.07,663.5,0.0,-0.01,987693,1013781536.0,1.88,0.07
2016-05-12,663.05,665.48,666.77,653.43,-0.25,-1.7,829043,830837664.0,2.0,0.06
2016-05-13,664.99,661.04,669.07,659.1,-0.67,-4.44,657601,756562560.0,1.5,0.05
2016-05-16,661.22,666.8,667.37,655.45,0.87,5.76,752116,831407776.0,1.8,0.06
2016-05-17,665.37,663.49,667.48,659.55,-0.5,-3.31,687836,656964864.0,1.19,0.05
2016-05-18,661.35,655.03,662.53,649.46,-1.28,-8.46,997709,794626368.0,1.97,0.08
2016-05-19,655.03,654.13,661.51,652.37,-0.14,-0.9,755980,631807648.0,1.4,0.06
2016-05-20,648.69,655.07,656.55,645.65,0.14,0.94,705397,529486672.0,1.67,0.05
2016-05-23,655.32,661.92,663.68,655.32,1.05,6.85,938939,876990464.0,1.28,0.07
2016-05-24,661.78,656.78,662.2,654.62,-0.78,-5.14,712574,959930256.0,1.15,0.05
2016-05-25,660.6,658.43,665.45,656.95,0.25,1.65,1255456,1606254944.0,1.29,0.1
2016-05-26,657.65,659.99,663.03,651.32,0.24,1.56,1105791,1318625552.0,1.78,0.08
