日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,996.95,996.95,996.95,996.95,-0.31,-3.05,329680,611032651.0,0.0,0.58
2010-01-05,1001.6,1001.6,1001.6,1001.6,0.47,4.65,313696,597939100.0,0.0,0.55
2010-01-06,993.24,993.24,993.24,993.24,-0.83,-8.36,303555,492149190.0,0.0,0.54
2010-01-07,978.59,978.59,978.59,978.59,-1.47,-14.65,389435,655657647.0,0.0,0.69
2010-01-08,991.29,991.29,991.29,991.29,1.3,12.7,293499,497271887.0,0.0,0.52
2010-01-11,999.8,999.8,999.8,999.8,0.86,8.51,375895,686570140.0,0.0,0.66
2010-01-12,1025.1,1025.1,1025.1,1025.1,2.53,25.3,410818,662781975.0,0.0,0.73
2010-01-13,1016.79,1016.79,1016.79,1016.79,-0.81,-8.31,414442,678440609.0,0.0,0.73
2010-01-14,1042.65,1042.65,1042.65,1042.65,2.54,25.86,412023,659667040.0,0.0,0.73
2010-01-15,1045.6,1045.6,1045.6,1045.6,0.28,2.95,368607,593056818.0,0.0,0.65
2010-01-18,1079.86,1079.86,1079.86,1079.86,3.28,34.26,496021,909874550.0,0.0,0.88
2010-01-19,1070.21,1070.21,1070.21,1070.21,-0.89,-9.65,443252,909851946.0,0.0,0.78
2010-01-20,1024.95,1024.95,1024.95,1024.95,-4.23,-45.26,485302,911484671.0,0.0,0.86
2010-01-21,1034.52,1034.52,1034.52,1034.52,0.93,9.57,347034,666242837.0,0.0,0.61
2010-01-22,1013.22,1013.22,1013.22,1013.22,-2.06,-21.3,368087,656422309.0,0.0,0.65
2010-01-25,1008.15,1008.15,1008.15,1008.15,-0.5,-5.07,272295,445806153.0,0.0,0.48
2010-01-26,973.42,973.42,973.42,973.42,-3.44,-34.73,338666,512393581.0,0.0,0.6
2010-01-27,972.46,972.46,972.46,972.46,-0.1,-0.96,162667,219387003.0,0.0,0.29
2010-01-28,986.27,986.27,986.27,986.27,1.42,13.81,127761,177945016.0,0.0,0.23
2010-01-29,980.67,980.67,980.67,980.67,-0.57,-5.6,141449,198979787.0,0.0,0.25
2010-02-01,978.49,978.49,978.49,978.49,-0.22,-2.18,312016,523471458.0,0.0,0.55
2010-02-02,962.8,962.8,962.8,962.8,-1.6,-15.69,256537,464874079.0,0.0,0.45
2010-02-03,981.33,981.33,981.33,981.33,1.92,18.53,335533,591958470.0,0.0,0.59
2010-02-04,1014.16,1014.16,1014.16,1014.16,3.35,32.83,931296,1211677426.0,0.0,1.65
