日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-03-19,1034.71,1034.71,1034.71,1034.71,3.47,34.71,64634,242083860.0,0.0,0.09
2010-03-22,1008.68,1008.68,1008.68,1008.68,-2.52,-26.03,38206,135407810.0,0.0,0.05
2010-03-23,985.17,985.17,985.17,985.17,-2.33,-23.51,19550,68862790.0,0.0,0.03
2010-03-24,1013.43,1013.43,1013.43,1013.43,2.87,28.26,28665,103089716.0,0.0,0.04
2010-03-25,1048.14,1048.14,1048.14,1048.14,3.43,34.71,35223,130700782.0,0.0,0.05
2010-03-26,1019.31,1019.31,1019.31,1019.31,-2.75,-28.83,16519,60057345.0,0.0,0.02
2010-03-29,1036.38,1036.38,1036.38,1036.38,1.67,17.07,15376,56310627.0,0.0,0.02
2010-03-30,1059.61,1059.61,1059.61,1059.61,2.24,23.23,24857,93738942.0,0.0,0.03
2010-03-31,1068.57,1068.57,1068.57,1068.57,0.85,8.96,19616,74653283.0,0.0,0.03
2010-04-01,1068.57,1068.57,1068.57,1068.57,0.0,0.0,24167,93242165.0,0.0,0.03
2010-04-02,1052.06,1052.06,1052.06,1052.06,-1.55,-16.51,14568,54990502.0,0.0,0.02
2010-04-06,1083.68,1083.68,1083.68,1083.68,3.01,31.62,16531,63020690.0,0.0,0.02
2010-04-07,1120.63,1120.63,1120.63,1120.63,3.41,36.95,24206,96219149.0,0.0,0.03
2010-04-08,1079.77,1079.77,1079.77,1079.77,-3.65,-40.86,17324,67910660.0,0.0,0.02
2010-04-09,1085.08,1085.08,1085.08,1085.08,0.49,5.31,10867,42003732.0,0.0,0.01
2010-04-12,1104.11,1104.11,1104.11,1104.11,1.75,19.03,11877,46221125.0,0.0,0.02
2010-04-13,1040.86,1040.86,1040.86,1040.86,-5.73,-63.25,17861,67628539.0,0.0,0.02
2010-04-14,1052.62,1052.62,1052.62,1052.62,1.13,11.76,9944,37284303.0,0.0,0.01
2010-04-16,1017.91,1017.91,1017.91,1017.91,-3.3,-34.71,8821,31914735.0,0.0,0.01
2010-04-19,996.36,996.36,996.36,996.36,-2.12,-21.55,7803,28243112.0,0.0,0.01
2010-04-20,1010.92,1010.92,1010.92,1010.92,1.46,14.56,4561,16277654.0,0.0,0.01
2010-04-21,1034.15,1034.15,1034.15,1034.15,2.3,23.23,7130,26183367.0,0.0,0.01
2010-04-22,1036.94,1036.94,1036.94,1036.94,0.27,2.79,8070,30043324.0,0.0,0.01
2010-04-23,1029.39,1029.39,1029.39,1029.39,-0.73,-7.55,6389,23594240.0,0.0,0.01
2010-04-26,1049.26,1049.26,1049.26,1049.26,1.93,19.87,9117,34128911.0,0.0,0.01
