日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1014.46,1014.46,1014.46,1014.46,1.45,14.46,19475,61384090.0,0.0,0.07
2010-01-05,1000.64,1000.64,1000.64,1000.64,-1.36,-13.82,17889,55530477.0,0.0,0.07
2010-01-06,986.19,986.19,986.19,986.19,-1.44,-14.45,20814,64253038.0,0.0,0.08
2010-01-07,945.07,945.07,945.07,945.07,-4.17,-41.12,24357,72850982.0,0.0,0.09
2010-01-08,951.82,951.82,951.82,951.82,0.71,6.75,14022,41372697.0,0.0,0.05
2010-01-11,1005.14,1005.14,1005.14,1005.14,5.6,53.32,31572,96367853.0,0.0,0.12
2010-01-12,1044.01,1044.01,1044.01,1044.01,3.87,38.87,58468,191003284.0,0.0,0.22
2010-01-14,1095.09,1095.09,1095.09,1095.09,4.89,51.08,59676,202426785.0,0.0,0.22
2010-01-15,1064.25,1064.25,1064.25,1064.25,-2.82,-30.84,30440,101224515.0,0.0,0.11
2010-01-18,1066.17,1066.17,1066.17,1066.17,0.18,1.92,20801,68561732.0,0.0,0.08
2010-01-19,1039.83,1039.83,1039.83,1039.83,-2.47,-26.34,17621,57013613.0,0.0,0.07
2010-01-20,973.34,973.34,973.34,973.34,-6.39,-66.49,23536,73026498.0,0.0,0.09
2010-01-21,1007.39,1007.39,1007.39,1007.39,3.5,34.05,14338,44286602.0,0.0,0.05
2010-01-22,995.5,995.5,995.5,995.5,-1.18,-11.89,14735,44826897.0,0.0,0.05
2010-01-25,967.56,967.56,967.56,967.56,-2.81,-27.94,6602,20175711.0,0.0,0.02
2010-01-26,925.15,925.15,925.15,925.15,-4.38,-42.41,11149,32551801.0,0.0,0.04
2010-01-27,921.94,921.94,921.94,921.94,-0.35,-3.21,8804,25598839.0,0.0,0.03
2010-01-28,976.87,976.87,976.87,976.87,5.96,54.93,16361,48059920.0,0.0,0.06
2010-01-29,976.55,976.55,976.55,976.55,-0.03,-0.32,13965,42467000.0,0.0,0.05
2010-02-01,941.21,941.21,941.21,941.21,-3.62,-35.34,7880,23055148.0,0.0,0.03
