日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1002.59,1002.59,1002.59,1002.59,0.26,2.59,192209,196931321.0,0.0,0.24
2010-01-05,1011.18,1011.18,1011.18,1011.18,0.86,8.59,154443,154536136.0,0.0,0.2
2010-01-06,1011.74,1011.74,1011.74,1011.74,0.06,0.56,146899,163349652.0,0.0,0.19
2010-01-07,981.32,981.32,981.32,981.32,-3.01,-30.42,128538,129626366.0,0.0,0.16
2010-01-08,965.86,965.86,965.86,965.86,-1.58,-15.46,74617,66755467.0,0.0,0.09
2010-01-11,953.8,953.8,953.8,953.8,-1.25,-12.06,223232,210706913.0,0.0,0.28
2010-01-12,965.26,965.26,965.26,965.26,1.2,11.46,173037,159110505.0,0.0,0.22
2010-01-13,967.89,967.89,967.89,967.89,0.27,2.63,212574,176496436.0,0.0,0.27
2010-01-14,980.71,980.71,980.71,980.71,1.32,12.82,150521,145038786.0,0.0,0.19
2010-01-15,977.89,977.89,977.89,977.89,-0.29,-2.82,123231,120475290.0,0.0,0.16
2010-01-18,983.12,983.12,983.12,983.12,0.53,5.23,120044,112770470.0,0.0,0.15
2010-01-19,1006.41,1006.41,1006.41,1006.41,2.37,23.29,198614,194742911.0,0.0,0.25
2010-01-20,955.42,955.42,955.42,955.42,-5.07,-50.99,166780,160308959.0,0.0,0.21
2010-01-21,957.84,957.84,957.84,957.84,0.25,2.42,106582,99581889.0,0.0,0.14
2010-01-22,922.15,922.15,922.15,922.15,-3.73,-35.69,102543,91236114.0,0.0,0.13
2010-01-25,922.94,922.94,922.94,922.94,0.09,0.79,67028,57168901.0,0.0,0.09
2010-01-26,900.29,900.29,900.29,900.29,-2.45,-22.65,117445,96133205.0,0.0,0.15
2010-01-27,885.42,885.42,885.42,885.42,-1.65,-14.87,82466,65918446.0,0.0,0.1
2010-01-28,892.81,892.81,892.81,892.81,0.83,7.39,51047,41750812.0,0.0,0.06
2010-01-29,897.23,897.23,897.23,897.23,0.5,4.42,30555,31011144.0,0.0,0.04
2010-02-01,877.99,877.99,877.99,877.99,-2.14,-19.24,72945,55409480.0,0.0,0.09
2010-02-02,878.01,878.01,878.01,878.01,0.0,0.02,62743,49397633.0,0.0,0.08
2010-02-03,893.58,893.58,893.58,893.58,1.77,15.57,58659,47361982.0,0.0,0.07
2010-02-04,901.9,901.9,901.9,901.9,0.93,8.32,60235,48963010.0,0.0,0.08
2010-02-05,881.57,881.57,881.57,881.57,-2.25,-20.33,192832,192052885.0,0.0,0.25
2010-02-08,868.27,868.27,868.27,868.27,-1.51,-13.3,100082,90076837.0,0.0,0.13
2010-02-09,860.98,860.98,860.98,860.98,-0.84,-7.29,69835,60448976.0,0.0,0.09
2010-02-10,869.68,869.68,869.68,869.68,1.01,8.7,66307,55452887.0,0.0,0.08
2010-02-11,869.27,869.27,869.27,869.27,-0.05,-0.41,52716,46855063.0,0.0,0.07
2010-02-12,878.94,878.94,878.94,878.94,1.11,9.67,57917,49723697.0,0.0,0.07
2010-02-22,886.76,886.76,886.76,886.76,0.89,7.82,103935,93630678.0,0.0,0.13
2010-02-23,895.64,895.64,895.64,895.64,1.0,8.88,89899,78488242.0,0.0,0.11
2010-02-24,914.23,914.23,914.23,914.23,2.08,18.59,132705,121414125.0,0.0,0.17
2010-02-25,930.29,930.29,930.29,930.29,1.76,16.06,156923,147825006.0,0.0,0.2
2010-02-26,928.22,928.22,928.22,928.22,-0.22,-2.07,82302,69416992.0,0.0,0.1
2010-03-01,942.3,942.3,942.3,942.3,1.52,14.08,147631,135223556.0,0.0,0.19
2010-03-02,940.8,940.8,940.8,940.8,-0.16,-1.5,125501,118760511.0,0.0,0.16
2010-03-03,949.48,949.48,949.48,949.48,0.92,8.68,126316,118961017.0,0.0,0.16
2010-03-04,909.47,909.47,909.47,909.47,-4.21,-40.01,176199,153766505.0,0.0,0.22
2010-03-05,909.14,909.14,909.14,909.14,-0.04,-0.33,99986,86189232.0,0.0,0.13
2010-03-08,931.86,931.86,931.86,931.86,2.5,22.72,130963,115855783.0,0.0,0.17
2010-03-09,939.51,939.51,939.51,939.51,0.82,7.65,123108,109114877.0,0.0,0.16
2010-03-10,935.16,935.16,935.16,935.16,-0.46,-4.35,118321,120712803.0,0.0,0.15
2010-03-11,925.94,925.94,925.94,925.94,-0.99,-9.22,103871,106725919.0,0.0,0.13
2010-03-12,918.35,918.35,918.35,918.35,-0.82,-7.59,130537,146246452.0,0.0,0.17
2010-03-15,895.54,895.54,895.54,895.54,-2.48,-22.81,91091,85051844.0,0.0,0.12
2010-03-16,903.38,903.38,903.38,903.38,0.88,7.84,92734,77196080.0,0.0,0.12
2010-03-17,924.16,924.16,924.16,924.16,2.3,20.78,106218,92490098.0,0.0,0.14
2010-03-18,927.46,927.46,927.46,927.46,0.36,3.3,94450,86129093.0,0.0,0.12
2010-03-19,934.99,934.99,934.99,934.99,0.81,7.53,90593,82635316.0,0.0,0.12
2010-03-22,959.63,959.63,959.63,959.63,2.64,24.64,234055,228444307.0,0.0,0.3
2010-03-23,964.72,964.72,964.72,964.72,0.53,5.09,217216,234061004.0,0.0,0.28
2010-03-24,967.09,967.09,967.09,967.09,0.25,2.37,200429,193084076.0,0.0,0.26
2010-03-25,949.89,949.89,949.89,949.89,-1.78,-17.2,177351,168276073.0,0.0,0.23
2010-03-26,965.32,965.32,965.32,965.32,1.62,15.43,158391,152703379.0,0.0,0.2
2010-03-29,965.58,965.58,965.58,965.58,0.03,0.26,138629,133465713.0,0.0,0.18
2010-03-30,964.09,964.09,964.09,964.09,-0.15,-1.49,149815,145268459.0,0.0,0.19
2010-03-31,979.41,979.41,979.41,979.41,1.59,15.32,121493,138698069.0,0.0,0.15
2010-04-01,992.79,992.79,992.79,992.79,1.37,13.38,181603,218098267.0,0.0,0.23
2010-04-02,1003.34,1003.34,1003.34,1003.34,1.06,10.55,150774,171315314.0,0.0,0.19
2010-04-06,1004.04,1004.04,1004.04,1004.04,0.07,0.7,217051,246065807.0,0.0,0.28
2010-04-07,1007.38,1007.38,1007.38,1007.38,0.33,3.34,169716,193414882.0,0.0,0.22
2010-04-08,1009.83,1009.83,1009.83,1009.83,0.24,2.45,140869,166938129.0,0.0,0.18
2010-04-09,1017.72,1017.72,1017.72,1017.72,0.78,7.89,121051,137187051.0,0.0,0.15
2010-04-12,1024.43,1024.43,1024.43,1024.43,0.66,6.71,330694,391795952.0,0.0,0.42
2010-04-13,978.13,978.13,978.13,978.13,-4.52,-46.3,241567,263966242.0,0.0,0.31
2010-04-14,1002.24,1002.24,1002.24,1002.24,2.46,24.11,715100,675197191.0,0.0,0.91
2010-04-15,1008.31,1008.31,1008.31,1008.31,0.61,6.07,605667,645381540.0,0.0,0.77
2010-04-16,1020.06,1020.06,1020.06,1020.06,1.17,11.75,320558,378059753.0,0.0,0.41
2010-04-19,968.42,968.42,968.42,968.42,-5.06,-51.64,474209,464703932.0,0.0,0.6
2010-04-20,991.78,991.78,991.78,991.78,2.41,23.36,373275,346278287.0,0.0,0.48
2010-04-21,1017.47,1017.47,1017.47,1017.47,2.59,25.69,329167,326866908.0,0.0,0.42
2010-04-22,1013.78,1013.78,1013.78,1013.78,-0.36,-3.69,290177,283710805.0,0.0,0.37
2010-04-23,991.21,991.21,991.21,991.21,-2.23,-22.57,233392,226005667.0,0.0,0.3
2010-04-26,983.57,983.57,983.57,983.57,-0.77,-7.64,203735,199258264.0,0.0,0.26
2010-04-27,961.31,961.31,961.31,961.31,-2.26,-22.26,284346,234296378.0,0.0,0.36
2010-04-28,962.45,962.45,962.45,962.45,0.12,1.14,196457,164183889.0,0.0,0.25
2010-04-29,940.53,940.53,940.53,940.53,-2.28,-21.92,276714,174953510.0,0.0,0.35
2010-04-30,898.89,898.89,898.89,898.89,-4.43,-41.64,116272,128677936.0,0.0,0.15
2010-05-04,912.35,912.35,912.35,912.35,1.5,13.46,87785,94053478.0,0.0,0.11
2010-05-05,943.64,943.64,943.64,943.64,3.43,31.29,114250,129852937.0,0.0,0.15
2010-05-06,894.35,894.35,894.35,894.35,-5.22,-49.29,87260,98403514.0,0.0,0.11
2010-05-07,903.23,903.23,903.23,903.23,0.99,8.88,85904,90613009.0,0.0,0.11
2010-05-10,911.76,911.76,911.76,911.76,0.94,8.53,31653,30775950.0,0.0,0.04
2010-05-11,900.64,900.64,900.64,900.64,-1.22,-11.12,91869,98747871.0,0.0,0.12
2010-05-12,892.45,892.45,892.45,892.45,-0.91,-8.19,114941,119126729.0,0.0,0.15
2010-05-13,904.09,904.09,904.09,904.09,1.3,11.64,114061,119079811.0,0.0,0.15
2010-05-14,917.35,917.35,917.35,917.35,1.47,13.26,153340,165593100.0,0.0,0.2
2010-05-17,850.29,850.29,850.29,850.29,-7.31,-67.06,113480,117403253.0,0.0,0.14
2010-05-18,831.69,831.69,831.69,831.69,-2.19,-18.6,115188,109708001.0,0.0,0.15
2010-05-19,813.21,813.21,813.21,813.21,-2.22,-18.48,82052,76641180.0,0.0,0.1
2010-05-20,791.56,791.56,791.56,791.56,-2.66,-21.65,40554,41767103.0,0.0,0.05
2010-05-21,795.73,795.73,795.73,795.73,0.53,4.17,84007,77386274.0,0.0,0.11
2010-05-24,825.94,825.94,825.94,825.94,3.8,30.21,97008,96593217.0,0.0,0.12
2010-05-25,814.12,814.12,814.12,814.12,-1.43,-11.82,63074,62959092.0,0.0,0.08
2010-05-26,835.61,835.61,835.61,835.61,2.64,21.49,61990,60343348.0,0.0,0.08
2010-05-27,858.59,858.59,858.59,858.59,2.75,22.98,109295,110313234.0,0.0,0.14
2010-05-28,864.74,864.74,864.74,864.74,0.72,6.15,88789,91820339.0,0.0,0.11
2010-05-31,835.8,835.8,835.8,835.8,-3.35,-28.94,70411,73331989.0,0.0,0.09
2010-06-01,803.67,803.67,803.67,803.67,-3.84,-32.13,71117,68545065.0,0.0,0.09
2010-06-02,823.55,823.55,823.55,823.55,2.47,19.88,39769,39085367.0,0.0,0.05
2010-06-03,811.05,811.05,811.05,811.05,-1.52,-12.5,54673,54318348.0,0.0,0.07
2010-06-04,818.26,818.26,818.26,818.26,0.89,7.21,51533,49541139.0,0.0,0.07
2010-06-07,823.35,823.35,823.35,823.35,0.62,5.09,79801,74724624.0,0.0,0.1
2010-06-08,863.47,863.47,863.47,863.47,4.87,40.12,65591,70155581.0,0.0,0.08
2010-06-09,862.66,862.66,862.66,862.66,-0.09,-0.81,174380,179722984.0,0.0,0.22
2010-06-10,858.4,858.4,858.4,858.4,-0.49,-4.26,80450,81511662.0,0.0,0.1
2010-06-11,861.94,861.94,861.94,861.94,0.41,3.54,74371,77337376.0,0.0,0.09
2010-06-17,847.04,847.04,847.04,847.04,-1.73,-14.9,45949,43515664.0,0.0,0.06
2010-06-18,807.66,807.66,807.66,807.66,-4.65,-39.38,49982,45283232.0,0.0,0.06
2010-06-21,829.91,829.91,829.91,829.91,2.75,22.25,39442,35850146.0,0.0,0.05
2010-06-22,837.02,837.02,837.02,837.02,0.86,7.11,34585,32136429.0,0.0,0.04
2010-06-23,844.5,844.5,844.5,844.5,0.89,7.48,41403,38641826.0,0.0,0.05
2010-06-24,848.34,848.34,848.34,848.34,0.45,3.84,57830,65504183.0,0.0,0.07
2010-06-25,819.66,819.66,819.66,819.66,-3.38,-28.68,30318,33669922.0,0.0,0.04
2010-06-28,814.89,814.89,814.89,814.89,-0.58,-4.77,42866,43669219.0,0.0,0.05
2010-06-29,794.07,794.07,794.07,794.07,-2.55,-20.82,99269,115112177.0,0.0,0.13
2010-06-30,772.93,772.93,772.93,772.93,-2.66,-21.14,62759,64624528.0,0.0,0.08
2010-07-01,776.73,776.73,776.73,776.73,0.49,3.8,80598,97720835.0,0.0,0.1
2010-07-02,777.61,777.61,777.61,777.61,0.11,0.88,108339,125864663.0,0.0,0.14
2010-07-05,755.75,755.75,755.75,755.75,-2.81,-21.86,82352,97660134.0,0.0,0.1
2010-07-06,765.24,765.24,765.24,765.24,1.26,9.49,74853,84773350.0,0.0,0.1
2010-07-07,778.08,778.08,778.08,778.08,1.68,12.84,79574,92336237.0,0.0,0.1
2010-07-08,764.12,764.12,764.12,764.12,-1.79,-13.96,64093,69368249.0,0.0,0.08
2010-07-09,784.96,784.96,784.96,784.96,2.73,20.84,117947,125373782.0,0.0,0.15
2010-07-12,801.59,801.59,801.59,801.59,2.12,16.63,113251,126467173.0,0.0,0.14
2010-07-13,787.11,787.11,787.11,787.11,-1.81,-14.48,81724,82457873.0,0.0,0.1
2010-07-14,781.6,781.6,781.6,781.6,-0.7,-5.51,59072,64635179.0,0.0,0.08
2010-07-15,757.42,757.42,757.42,757.42,-3.09,-24.18,51966,56489550.0,0.0,0.07
2010-07-16,761.42,761.42,761.42,761.42,0.53,4.0,53229,55685927.0,0.0,0.07
2010-07-19,774.39,774.39,774.39,774.39,1.7,12.97,54841,56441919.0,0.0,0.07
2010-07-20,803.29,803.29,803.29,803.29,3.73,28.9,96873,102329668.0,0.0,0.12
2010-07-21,797.42,797.42,797.42,797.42,-0.73,-5.87,97958,108412142.0,0.0,0.12
2010-07-22,808.95,808.95,808.95,808.95,1.45,11.53,88469,97519136.0,0.0,0.11
2010-07-23,812.73,812.73,812.73,812.73,0.47,3.78,123433,125149513.0,0.0,0.16
2010-07-26,829.75,829.75,829.75,829.75,2.09,17.02,85564,85338355.0,0.0,0.11
2010-07-27,828.57,828.57,828.57,828.57,-0.14,-1.18,109743,107044651.0,0.0,0.14
2010-07-28,838.3,838.3,838.3,838.3,1.17,9.73,100297,107836678.0,0.0,0.13
2010-07-29,852.95,852.95,852.95,852.95,1.75,14.65,122595,124061219.0,0.0,0.16
2010-07-30,850.84,850.84,850.84,850.84,-0.25,-2.11,95394,102220788.0,0.0,0.12
