日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,997.13,997.13,997.13,997.13,-0.29,-2.87,94977,154759183.0,0.0,0.09
2010-01-05,1009.46,1009.46,1009.46,1009.46,1.24,12.33,98511,131240064.0,0.0,0.09
2010-01-06,1024.75,1024.75,1024.75,1024.75,1.51,15.29,166003,180106450.0,0.0,0.16
2010-01-07,992.5,992.5,992.5,992.5,-3.15,-32.25,108134,137378186.0,0.0,0.1
2010-01-08,1002.02,1002.02,1002.02,1002.02,0.96,9.52,84502,119674971.0,0.0,0.08
2010-01-11,992.29,992.29,992.29,992.29,-0.97,-9.73,115709,194233560.0,0.0,0.11
2010-01-12,999.74,999.74,999.74,999.74,0.75,7.45,102083,154505312.0,0.0,0.1
2010-01-13,999.49,999.49,999.49,999.49,-0.03,-0.25,146413,229256711.0,0.0,0.14
2010-01-14,1027.14,1027.14,1027.14,1027.14,2.77,27.65,126761,209739683.0,0.0,0.12
2010-01-15,1039.45,1039.45,1039.45,1039.45,1.2,12.31,112462,157404179.0,0.0,0.11
2010-01-18,1088.77,1088.77,1088.77,1088.77,4.74,49.32,194133,268267128.0,0.0,0.19
2010-01-19,1111.67,1111.67,1111.67,1111.67,2.1,22.9,245612,489695859.0,0.0,0.24
2010-01-20,1097.79,1097.79,1097.79,1097.79,-1.25,-13.88,297119,746192472.0,0.0,0.29
2010-01-21,1129.53,1129.53,1129.53,1129.53,2.89,31.74,190037,502506337.0,0.0,0.18
2010-01-22,1071.93,1071.93,1071.93,1071.93,-5.1,-57.6,237054,541312138.0,0.0,0.23
2010-01-25,1061.87,1061.87,1061.87,1061.87,-0.94,-10.06,110306,256673640.0,0.0,0.11
2010-01-26,1029.65,1029.65,1029.65,1029.65,-3.03,-32.22,149119,298493743.0,0.0,0.14
2010-01-27,1038.6,1038.6,1038.6,1038.6,0.87,8.95,174141,442848646.0,0.0,0.17
2010-01-28,1046.89,1046.89,1046.89,1046.89,0.8,8.29,127832,301137749.0,0.0,0.12
2010-01-29,1069.8,1069.8,1069.8,1069.8,2.19,22.91,321064,1023474650.0,0.0,0.31
2010-02-01,1044.49,1044.49,1044.49,1044.49,-2.37,-25.31,267455,866618632.0,0.0,0.26
2010-02-02,1036.64,1036.64,1036.64,1036.64,-0.75,-7.85,206554,671428237.0,0.0,0.2
2010-02-03,1030.49,1030.49,1030.49,1030.49,-0.59,-6.15,212967,616135548.0,0.0,0.2
2010-02-04,1046.79,1046.79,1046.79,1046.79,1.58,16.3,210862,641672541.0,0.0,0.2
2010-02-05,1004.84,1004.84,1004.84,1004.84,-4.01,-41.95,160352,484844169.0,0.0,0.15
2010-02-08,1013.91,1013.91,1013.91,1013.91,0.9,9.07,109752,283274127.0,0.0,0.11
2010-02-09,1021.91,1021.91,1021.91,1021.91,0.79,8.0,87574,220086265.0,0.0,0.08
2010-02-10,1028.3,1028.3,1028.3,1028.3,0.63,6.39,66545,172386306.0,0.0,0.06
2010-02-11,1024.64,1024.64,1024.64,1024.64,-0.36,-3.66,83239,215506345.0,0.0,0.08
2010-02-12,1056.27,1056.27,1056.27,1056.27,3.09,31.63,114392,271081255.0,0.0,0.11
2010-02-22,1057.2,1057.2,1057.2,1057.2,0.09,0.93,113960,239827952.0,0.0,0.11
2010-02-23,1057.63,1057.63,1057.63,1057.63,0.04,0.43,98003,232733740.0,0.0,0.09
2010-02-24,1079.0,1079.0,1079.0,1079.0,2.02,21.37,136366,299819047.0,0.0,0.13
2010-02-25,1097.12,1097.12,1097.12,1097.12,1.68,18.12,163480,436324643.0,0.0,0.16
2010-02-26,1086.46,1086.46,1086.46,1086.46,-0.97,-10.66,90366,187575792.0,0.0,0.09
2010-03-01,1095.48,1095.48,1095.48,1095.48,0.83,9.02,105331,289302542.0,0.0,0.1
2010-03-02,1105.16,1105.16,1105.16,1105.16,0.88,9.68,138173,294955888.0,0.0,0.13
2010-03-03,1120.33,1120.33,1120.33,1120.33,1.37,15.17,118735,298719331.0,0.0,0.11
2010-03-04,1093.1,1093.1,1093.1,1093.1,-2.43,-27.23,149123,376795459.0,0.0,0.14
