日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,991.82,991.82,991.82,991.82,-0.82,-8.18,291167,307982773.0,0.0,0.31
2010-01-05,1011.35,1011.35,1011.35,1011.35,1.97,19.53,206958,225522308.0,0.0,0.22
2010-01-06,1008.16,1008.16,1008.16,1008.16,-0.32,-3.19,241712,266615916.0,0.0,0.26
2010-01-07,978.51,978.51,978.51,978.51,-2.94,-29.65,193344,209726736.0,0.0,0.21
2010-01-08,988.13,988.13,988.13,988.13,0.98,9.62,137094,145862917.0,0.0,0.15
2010-01-11,1009.85,1009.85,1009.85,1009.85,2.2,21.72,267003,299611617.0,0.0,0.29
2010-01-12,1039.57,1039.57,1039.57,1039.57,2.94,29.72,315580,378965097.0,0.0,0.34
2010-01-13,1029.43,1029.43,1029.43,1029.43,-0.98,-10.14,354307,432528383.0,0.0,0.38
2010-01-14,1065.96,1065.96,1065.96,1065.96,3.55,36.53,193971,261215678.0,0.0,0.21
2010-01-15,1109.71,1109.71,1109.71,1109.71,4.1,43.75,311976,386246531.0,0.0,0.34
2010-01-18,1129.95,1129.95,1129.95,1129.95,1.82,20.24,537220,619301277.0,0.0,0.58
2010-01-19,1125.92,1125.92,1125.92,1125.92,-0.36,-4.03,346030,417900669.0,0.0,0.37
2010-01-20,1084.07,1084.07,1084.07,1084.07,-3.72,-41.85,311216,364354363.0,0.0,0.33
2010-01-21,1093.65,1093.65,1093.65,1093.65,0.88,9.58,176662,206816686.0,0.0,0.19
2010-01-22,1049.9,1049.9,1049.9,1049.9,-4.0,-43.75,181368,209116258.0,0.0,0.19
2010-01-25,1018.42,1018.42,1018.42,1018.42,-3.0,-31.48,143742,169221981.0,0.0,0.15
2010-01-26,965.03,965.03,965.03,965.03,-5.24,-53.39,179339,197422953.0,0.0,0.19
2010-01-27,962.82,962.82,962.82,962.82,-0.23,-2.21,165617,183085698.0,0.0,0.18
2010-01-28,980.08,980.08,980.08,980.08,1.79,17.26,132595,148366508.0,0.0,0.14
2010-01-29,993.46,993.46,993.46,993.46,1.37,13.38,146486,159138479.0,0.0,0.16
2010-02-01,1000.1,1000.1,1000.1,1000.1,0.67,6.64,120068,129992744.0,0.0,0.13
2010-02-02,980.26,980.26,980.26,980.26,-1.98,-19.84,134502,148425770.0,0.0,0.14
2010-02-03,994.03,994.03,994.03,994.03,1.4,13.77,147991,157334846.0,0.0,0.16
