日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,993.56,993.56,993.56,993.56,-0.64,-6.44,182215,224554944.0,0.0,0.31
2010-01-05,1016.09,1016.09,1016.09,1016.09,2.27,22.53,229490,286705632.0,0.0,0.39
2010-01-06,1020.92,1020.92,1020.92,1020.92,0.48,4.83,251157,320199904.0,0.0,0.42
2010-01-07,1003.22,1003.22,1003.22,1003.22,-1.73,-17.7,209728,266586448.0,0.0,0.35
2010-01-08,1074.82,1074.82,1074.82,1074.82,7.14,71.6,602700,786685696.0,0.0,1.02
2010-01-11,1069.19,1069.19,1069.19,1069.19,-0.52,-5.63,525486,712296640.0,0.0,0.89
2010-01-13,1071.6,1071.6,1071.6,1071.6,0.23,2.41,392496,527188896.0,0.0,0.66
2010-01-14,1101.37,1101.37,1101.37,1101.37,2.78,29.77,387409,519940896.0,0.0,0.65
2010-01-15,1118.26,1118.26,1118.26,1118.26,1.53,16.89,394862,544320960.0,0.0,0.67
2010-01-18,1112.63,1112.63,1112.63,1112.63,-0.5,-5.63,266899,368637568.0,0.0,0.45
2010-01-19,1113.44,1113.44,1113.44,1113.44,0.07,0.81,295522,408987904.0,0.0,0.5
2010-01-20,1056.32,1056.32,1056.32,1056.32,-5.13,-57.12,353916,473237408.0,0.0,0.6
2010-01-21,1053.9,1053.9,1053.9,1053.9,-0.23,-2.42,175542,229349872.0,0.0,0.3
2010-01-22,1032.18,1032.18,1032.18,1032.18,-2.06,-21.72,173644,222761584.0,0.0,0.29
2010-01-25,1009.65,1009.65,1009.65,1009.65,-2.18,-22.53,127870,162577264.0,0.0,0.22
2010-01-26,989.54,989.54,989.54,989.54,-1.99,-20.11,157410,195603072.0,0.0,0.27
2010-01-27,976.67,976.67,976.67,976.67,-1.3,-12.87,130678,159445776.0,0.0,0.22
2010-01-28,991.15,991.15,991.15,991.15,1.48,14.48,211324,256577520.0,0.0,0.36
2010-01-29,981.5,981.5,981.5,981.5,-0.97,-9.65,140259,172620368.0,0.0,0.24
2010-02-01,951.73,951.73,951.73,951.73,-3.03,-29.77,137133,164169552.0,0.0,0.23
2010-02-02,937.25,937.25,937.25,937.25,-1.52,-14.48,143893,171393024.0,0.0,0.24
2010-02-03,939.66,939.66,939.66,939.66,0.26,2.41,226797,260588992.0,0.0,0.38
2010-02-04,950.93,950.93,950.93,950.93,1.2,11.27,192088,227847488.0,0.0,0.32
2010-02-05,942.08,942.08,942.08,942.08,-0.93,-8.85,104360,122100576.0,0.0,0.18
2010-02-08,934.84,934.84,934.84,934.84,-0.77,-7.24,83393,96976584.0,0.0,0.14
2010-02-09,940.47,940.47,940.47,940.47,0.6,5.63,71422,83020272.0,0.0,0.12
2010-02-10,966.21,966.21,966.21,966.21,2.74,25.74,93150,110811864.0,0.0,0.16
2010-02-11,968.62,968.62,968.62,968.62,0.25,2.41,85955,103612768.0,0.0,0.15
2010-02-12,975.87,975.87,975.87,975.87,0.75,7.25,68538,83027944.0,0.0,0.12
2010-02-22,983.11,983.11,983.11,983.11,0.74,7.24,113696,139184384.0,0.0,0.19
2010-02-23,975.06,975.06,975.06,975.06,-0.82,-8.05,94602,114100744.0,0.0,0.16
2010-02-24,987.13,987.13,987.13,987.13,1.24,12.07,94218,115027624.0,0.0,0.16
2010-02-26,984.71,984.71,984.71,984.71,-0.25,-2.42,153075,189229632.0,0.0,0.26
2010-03-01,986.32,986.32,986.32,986.32,0.16,1.61,161429,197835120.0,0.0,0.27
2010-03-02,971.84,971.84,971.84,971.84,-1.47,-14.48,150254,182680848.0,0.0,0.25
2010-03-03,983.91,983.91,983.91,983.91,1.24,12.07,172554,207572832.0,0.0,0.29
2010-03-04,961.38,961.38,961.38,961.38,-2.29,-22.53,137668,166840128.0,0.0,0.23
2010-03-05,966.21,966.21,966.21,966.21,0.5,4.83,76407,91980032.0,0.0,0.13
2010-03-08,982.3,982.3,982.3,982.3,1.67,16.09,101196,122697376.0,0.0,0.17
2010-03-09,989.54,989.54,989.54,989.54,0.74,7.24,133718,163918688.0,0.0,0.23
2010-03-10,981.5,981.5,981.5,981.5,-0.81,-8.04,97609,119960680.0,0.0,0.16
2010-03-11,985.52,985.52,985.52,985.52,0.41,4.02,93580,114612320.0,0.0,0.16
2010-03-12,967.02,967.02,967.02,967.02,-1.88,-18.5,89260,108631032.0,0.0,0.15
2010-03-15,930.01,930.01,930.01,930.01,-3.83,-37.01,129788,151679584.0,0.0,0.22
2010-03-16,923.57,923.57,923.57,923.57,-0.69,-6.44,101015,115867712.0,0.0,0.17
2010-03-17,943.69,943.69,943.69,943.69,2.18,20.12,83030,96603752.0,0.0,0.14
2010-03-18,941.27,941.27,941.27,941.27,-0.26,-2.42,78730,92610208.0,0.0,0.13
2010-03-19,954.95,954.95,954.95,954.95,1.45,13.68,78722,92870616.0,0.0,0.13
2010-03-22,954.14,954.14,954.14,954.14,-0.08,-0.81,89929,106477456.0,0.0,0.15
2010-03-23,962.99,962.99,962.99,962.99,0.93,8.85,159167,190637936.0,0.0,0.27
2010-03-24,957.36,957.36,957.36,957.36,-0.58,-5.63,118884,141982832.0,0.0,0.2
2010-03-25,938.05,938.05,938.05,938.05,-2.02,-19.31,120909,141404048.0,0.0,0.2
2010-03-26,945.29,945.29,945.29,945.29,0.77,7.24,73065,85522824.0,0.0,0.12
2010-03-29,971.84,971.84,971.84,971.84,2.81,26.55,148886,179082768.0,0.0,0.25
2010-03-30,969.43,969.43,969.43,969.43,-0.25,-2.41,79642,95956040.0,0.0,0.13
2010-03-31,960.58,960.58,960.58,960.58,-0.91,-8.85,91507,109717832.0,0.0,0.15
2010-04-01,969.43,969.43,969.43,969.43,0.92,8.85,111569,134250976.0,0.0,0.19
2010-04-02,983.91,983.91,983.91,983.91,1.49,14.48,163633,197931600.0,0.0,0.28
2010-04-06,977.47,977.47,977.47,977.47,-0.65,-6.44,113711,138747936.0,0.0,0.19
2010-04-07,969.43,969.43,969.43,969.43,-0.82,-8.04,97619,117571328.0,0.0,0.16
2010-04-08,956.56,956.56,956.56,956.56,-1.33,-12.87,141139,168004208.0,0.0,0.24
2010-04-09,962.99,962.99,962.99,962.99,0.67,6.43,79532,94707984.0,0.0,0.13
2010-04-12,948.51,948.51,948.51,948.51,-1.5,-14.48,144152,170137168.0,0.0,0.24
2010-04-13,1005.63,1005.63,1005.63,1005.63,6.02,57.12,411415,504671104.0,0.0,0.69
2010-04-14,1003.22,1003.22,1003.22,1003.22,-0.24,-2.41,233829,291089504.0,0.0,0.39
2010-04-15,1012.87,1012.87,1012.87,1012.87,0.96,9.65,210723,263088368.0,0.0,0.36
2010-04-16,1004.02,1004.02,1004.02,1004.02,-0.87,-8.85,133194,166853536.0,0.0,0.22
2010-04-19,954.14,954.14,954.14,954.14,-4.97,-49.88,185959,224328352.0,0.0,0.31
2010-04-20,958.97,958.97,958.97,958.97,0.51,4.83,118544,140788336.0,0.0,0.2
2010-04-21,971.04,971.04,971.04,971.04,1.26,12.07,121252,144611440.0,0.0,0.2
2010-04-22,971.04,971.04,971.04,971.04,0.0,0.0,123122,147553968.0,0.0,0.21
2010-04-26,950.12,950.12,950.12,950.12,-2.15,-20.92,106898,128143664.0,0.0,0.18
2010-04-27,933.23,933.23,933.23,933.23,-1.78,-16.89,129367,150426080.0,0.0,0.22
2010-04-28,943.69,943.69,943.69,943.69,1.12,10.46,77114,89492192.0,0.0,0.13
2010-04-29,918.75,918.75,918.75,918.75,-2.64,-24.94,76686,89249280.0,0.0,0.13
2010-04-30,918.75,918.75,918.75,918.75,0.0,0.0,73324,83561960.0,0.0,0.12
2010-05-04,910.7,910.7,910.7,910.7,-0.88,-8.05,45163,51265192.0,0.0,0.08
2010-05-05,929.2,929.2,929.2,929.2,2.03,18.5,70709,80181392.0,0.0,0.12
2010-05-06,876.11,876.11,876.11,876.11,-5.71,-53.09,103113,115242728.0,0.0,0.17
2010-05-07,845.54,845.54,845.54,845.54,-3.49,-30.57,106961,113798584.0,0.0,0.18
2010-05-10,864.84,864.84,864.84,864.84,2.28,19.3,64477,68636168.0,0.0,0.11
2010-05-11,847.95,847.95,847.95,847.95,-1.95,-16.89,83689,90141840.0,0.0,0.14
2010-05-12,856.8,856.8,856.8,856.8,1.04,8.85,123338,130869296.0,0.0,0.21
2010-05-13,867.26,867.26,867.26,867.26,1.22,10.46,90706,96646976.0,0.0,0.15
2010-05-14,846.67,846.67,846.67,846.67,-2.37,-20.59,100942,81133032.0,0.0,0.17
2010-05-17,762.22,762.22,762.22,762.22,-9.97,-84.45,158351,118537976.0,0.0,0.27
2010-05-18,761.16,761.16,761.16,761.16,-0.14,-1.06,161773,114514784.0,0.0,0.27
2010-05-19,750.6,750.6,750.6,750.6,-1.39,-10.56,94159,67009356.0,0.0,0.16
2010-05-20,749.55,749.55,749.55,749.55,-0.14,-1.05,99936,71513800.0,0.0,0.17
2010-05-21,802.33,802.33,802.33,802.33,7.04,52.78,227263,167685776.0,0.0,0.38
2010-05-24,828.72,828.72,828.72,828.72,3.29,26.39,177641,139477376.0,0.0,0.3
2010-05-25,804.44,804.44,804.44,804.44,-2.93,-24.28,116572,89279072.0,0.0,0.2
2010-05-26,801.28,801.28,801.28,801.28,-0.39,-3.16,61294,46622512.0,0.0,0.1
2010-05-27,810.78,810.78,810.78,810.78,1.19,9.5,96357,73406072.0,0.0,0.16
2010-05-28,801.28,801.28,801.28,801.28,-1.17,-9.5,82033,62802580.0,0.0,0.14
2010-05-31,765.38,765.38,765.38,765.38,-4.48,-35.9,102228,75821264.0,0.0,0.17
2010-06-01,749.55,749.55,749.55,749.55,-2.07,-15.83,89725,63924024.0,0.0,0.15
2010-06-02,759.05,759.05,759.05,759.05,1.27,9.5,58468,41503272.0,0.0,0.1
2010-06-03,761.16,761.16,761.16,761.16,0.28,2.11,102921,75071312.0,0.0,0.17
2010-06-04,761.16,761.16,761.16,761.16,0.0,0.0,43791,31476446.0,0.0,0.07
2010-06-07,734.77,734.77,734.77,734.77,-3.47,-26.39,108586,75900864.0,0.0,0.18
2010-06-08,733.71,733.71,733.71,733.71,-0.14,-1.06,82241,57196460.0,0.0,0.14
2010-06-09,747.44,747.44,747.44,747.44,1.87,13.73,151010,105694952.0,0.0,0.25
2010-06-10,738.99,738.99,738.99,738.99,-1.13,-8.45,81153,56917480.0,0.0,0.14
2010-06-11,753.77,753.77,753.77,753.77,2.0,14.78,143306,101842104.0,0.0,0.24
2010-06-17,746.38,746.38,746.38,746.38,-0.98,-7.39,60374,42924836.0,0.0,0.1
2010-06-18,733.71,733.71,733.71,733.71,-1.7,-12.67,76419,53496620.0,0.0,0.13
2010-06-21,747.44,747.44,747.44,747.44,1.87,13.73,95287,66986672.0,0.0,0.16
2010-06-22,749.55,749.55,749.55,749.55,0.28,2.11,101257,72058248.0,0.0,0.17
2010-06-23,733.71,733.71,733.71,733.71,-2.11,-15.84,105783,73574584.0,0.0,0.18
2010-06-24,732.66,732.66,732.66,732.66,-0.14,-1.05,47653,33021340.0,0.0,0.08
2010-06-25,725.27,725.27,725.27,725.27,-1.01,-7.39,56184,38577932.0,0.0,0.09
2010-06-28,721.04,721.04,721.04,721.04,-0.58,-4.23,39063,26809852.0,0.0,0.07
2010-06-29,681.98,681.98,681.98,681.98,-5.42,-39.06,83558,55427840.0,0.0,0.14
2010-06-30,658.76,658.76,658.76,658.76,-3.4,-23.22,75352,47195104.0,0.0,0.13
2010-07-01,649.26,649.26,649.26,649.26,-1.44,-9.5,86470,53269648.0,0.0,0.15
2010-07-02,650.31,650.31,650.31,650.31,0.16,1.05,90156,54733468.0,0.0,0.15
2010-07-05,662.98,662.98,662.98,662.98,1.95,12.67,111398,69415392.0,0.0,0.19
2010-07-06,670.37,670.37,670.37,670.37,1.11,7.39,61551,38927708.0,0.0,0.1
2010-07-07,665.09,665.09,665.09,665.09,-0.79,-5.28,60541,38114084.0,0.0,0.1
2010-07-08,661.92,661.92,661.92,661.92,-0.48,-3.17,60185,37734260.0,0.0,0.1
2010-07-09,717.88,717.88,717.88,717.88,8.45,55.96,209408,137563696.0,0.0,0.35
2010-07-12,714.71,714.71,714.71,714.71,-0.44,-3.17,134270,90708424.0,0.0,0.23
2010-07-13,696.76,696.76,696.76,696.76,-2.51,-17.95,87128,57600104.0,0.0,0.15
2010-07-14,704.15,704.15,704.15,704.15,1.06,7.39,60927,40648152.0,0.0,0.1
2010-07-15,700.98,700.98,700.98,700.98,-0.45,-3.17,117808,79507584.0,0.0,0.2
2010-07-16,717.88,717.88,717.88,717.88,2.41,16.9,85192,57089372.0,0.0,0.14
2010-07-19,741.1,741.1,741.1,741.1,3.23,23.22,147345,101946072.0,0.0,0.25
2010-07-20,751.66,751.66,751.66,751.66,1.42,10.56,134720,95396472.0,0.0,0.23
2010-07-21,756.94,756.94,756.94,756.94,0.7,5.28,184681,133225688.0,0.0,0.31
2010-07-22,759.05,759.05,759.05,759.05,0.28,2.11,111216,79780088.0,0.0,0.19
2010-07-23,754.83,754.83,754.83,754.83,-0.56,-4.22,131267,93982520.0,0.0,0.22
2010-07-26,765.38,765.38,765.38,765.38,1.4,10.55,119613,85885552.0,0.0,0.2
2010-07-27,755.88,755.88,755.88,755.88,-1.24,-9.5,78302,56161864.0,0.0,0.13
2010-07-28,771.72,771.72,771.72,771.72,2.1,15.84,186130,135014080.0,0.0,0.31
2010-07-29,788.61,788.61,788.61,788.61,2.19,16.89,201188,150303200.0,0.0,0.34
2010-07-30,781.22,781.22,781.22,781.22,-0.94,-7.39,126929,94014152.0,0.0,0.21
2010-08-02,792.83,792.83,792.83,792.83,1.49,11.61,127671,95269408.0,0.0,0.22
2010-08-03,776.99,776.99,776.99,776.99,-2.0,-15.84,141498,105441072.0,0.0,0.24
2010-08-04,778.05,778.05,778.05,778.05,0.14,1.06,134815,98886440.0,0.0,0.23
2010-08-05,768.55,768.55,768.55,768.55,-1.22,-9.5,93781,68647280.0,0.0,0.16
2010-08-06,785.44,785.44,785.44,785.44,2.2,16.89,108954,80094936.0,0.0,0.18
2010-08-09,787.55,787.55,787.55,787.55,0.27,2.11,126376,94459512.0,0.0,0.21
2010-08-10,780.16,780.16,780.16,780.16,-0.94,-7.39,236012,177998176.0,0.0,0.4
2010-08-11,788.61,788.61,788.61,788.61,1.08,8.45,113576,83873936.0,0.0,0.19
2010-08-12,769.6,769.6,769.6,769.6,-2.41,-19.01,116386,85587032.0,0.0,0.2
