日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1037.01,1037.01,1037.01,1037.01,3.7,37.01,98148,485189816.0,0.0,0.11
2010-01-05,1072.61,1072.61,1072.61,1072.61,3.43,35.6,97820,476155536.0,0.0,0.11
2010-01-06,1068.19,1068.19,1068.19,1068.19,-0.41,-4.42,65275,329067912.0,0.0,0.07
2010-01-07,1070.49,1070.49,1070.49,1070.49,0.22,2.3,147232,822397752.0,0.0,0.17
2010-01-08,1070.02,1070.02,1070.02,1070.02,-0.04,-0.47,82787,433137056.0,0.0,0.09
2010-01-11,1059.32,1059.32,1059.32,1059.32,-1.0,-10.7,86254,466737756.0,0.0,0.1
2010-01-12,1065.65,1065.65,1065.65,1065.65,0.6,6.33,42739,219525348.0,0.0,0.05
2010-01-13,1028.43,1028.43,1028.43,1028.43,-3.49,-37.22,93607,444876248.0,0.0,0.11
2010-01-14,1052.05,1052.05,1052.05,1052.05,2.3,23.62,60691,285049056.0,0.0,0.07
2010-01-15,1035.45,1035.45,1035.45,1035.45,-1.58,-16.6,49884,246904620.0,0.0,0.06
2010-01-18,1077.01,1077.01,1077.01,1077.01,4.01,41.56,141026,827647744.0,0.0,0.16
2010-01-19,1063.52,1063.52,1063.52,1063.52,-1.25,-13.49,68925,371159552.0,0.0,0.08
2010-01-20,1038.85,1038.85,1038.85,1038.85,-2.32,-24.67,84065,437188672.0,0.0,0.1
2010-01-21,1034.96,1034.96,1034.96,1034.96,-0.37,-3.89,61119,332204614.0,0.0,0.07
2010-01-22,994.69,994.69,994.69,994.69,-3.89,-40.27,83693,433393940.0,0.0,0.1
2010-01-25,984.62,984.62,984.62,984.62,-1.01,-10.07,44561,204908620.0,0.0,0.05
2010-01-26,990.63,990.63,990.63,990.63,0.61,6.01,8362,23413388.0,0.0,0.01
2010-01-27,962.48,962.48,962.48,962.48,-2.84,-28.15,118048,614135954.0,0.0,0.13
2010-01-28,945.39,945.39,945.39,945.39,-1.78,-17.09,70539,357088990.0,0.0,0.08
2010-01-29,954.24,954.24,954.24,954.24,0.94,8.85,50447,243375856.0,0.0,0.06
2010-02-01,938.12,938.12,938.12,938.12,-1.69,-16.12,45846,223827334.0,0.0,0.05
2010-02-02,941.45,941.45,941.45,941.45,0.35,3.33,38808,182537026.0,0.0,0.04
2010-02-03,966.79,966.79,966.79,966.79,2.69,25.34,74416,325318312.0,0.0,0.08
2010-02-04,951.59,951.59,951.59,951.59,-1.57,-15.2,50481,223007820.0,0.0,0.06
2010-02-05,946.54,946.54,946.54,946.54,-0.53,-5.05,81424,361340856.0,0.0,0.09
2010-02-08,954.26,954.26,954.26,954.26,0.82,7.72,37895,150327632.0,0.0,0.04
2010-02-09,956.19,956.19,956.19,956.19,0.2,1.93,23027,102493170.0,0.0,0.03
2010-02-10,963.04,963.04,963.04,963.04,0.72,6.85,21568,88998610.0,0.0,0.02
2010-02-11,961.02,961.02,961.02,961.02,-0.21,-2.02,28300,123803794.0,0.0,0.03
2010-02-12,972.58,972.58,972.58,972.58,1.2,11.56,27525,110529028.0,0.0,0.03
2010-02-22,973.2,973.2,973.2,973.2,0.06,0.62,22010,101518300.0,0.0,0.03
2010-02-23,999.44,999.44,999.44,999.44,2.7,26.24,54295,196496792.0,0.0,0.06
2010-02-24,996.57,996.57,996.57,996.57,-0.29,-2.87,60260,249586088.0,0.0,0.07
2010-02-25,1004.25,1004.25,1004.25,1004.25,0.77,7.68,62492,278399104.0,0.0,0.07
2010-02-26,995.11,995.11,995.11,995.11,-0.91,-9.14,53085,239018308.0,0.0,0.06
2010-03-01,993.57,993.57,993.57,993.57,-0.15,-1.54,65431,277841808.0,0.0,0.07
2010-03-02,994.99,994.99,994.99,994.99,0.14,1.42,52292,209472800.0,0.0,0.06
2010-03-03,1012.97,1012.97,1012.97,1012.97,1.81,17.98,69338,327816160.0,0.0,0.08
2010-03-04,1018.46,1018.46,1018.46,1018.46,0.54,5.49,27601,81640816.0,0.0,0.03
2010-03-05,1006.75,1006.75,1006.75,1006.75,-1.15,-11.71,73743,295008152.0,0.0,0.08
2010-03-08,1017.11,1017.11,1017.11,1017.11,1.03,10.36,72013,302285984.0,0.0,0.08
2010-03-09,1011.26,1011.26,1011.26,1011.26,-0.58,-5.85,37163,161486348.0,0.0,0.04
2010-03-10,989.41,989.41,989.41,989.41,-2.16,-21.85,47329,210888524.0,0.0,0.05
2010-03-11,965.63,965.63,965.63,965.63,-2.4,-23.78,69966,330533832.0,0.0,0.08
2010-03-12,960.88,960.88,960.88,960.88,-0.49,-4.75,49721,228790540.0,0.0,0.06
2010-03-15,947.9,947.9,947.9,947.9,-1.35,-12.98,55056,251546260.0,0.0,0.06
2010-03-16,944.31,944.31,944.31,944.31,-0.38,-3.59,29545,140157118.0,0.0,0.03
2010-03-17,960.42,960.42,960.42,960.42,1.71,16.11,40399,192593402.0,0.0,0.05
2010-03-18,972.43,972.43,972.43,972.43,1.25,12.01,60035,291386000.0,0.0,0.07
2010-03-19,961.44,961.44,961.44,961.44,-1.13,-10.99,55018,264365338.0,0.0,0.06
2010-03-22,959.05,959.05,959.05,959.05,-0.25,-2.39,86496,432764470.0,0.0,0.1
2010-03-23,955.94,955.94,955.94,955.94,-0.32,-3.11,55911,259946632.0,0.0,0.06
2010-03-24,948.64,948.64,948.64,948.64,-0.76,-7.3,71354,336465564.0,0.0,0.08
2010-03-25,943.31,943.31,943.31,943.31,-0.56,-5.33,48193,215470216.0,0.0,0.05
2010-03-26,950.63,950.63,950.63,950.63,0.78,7.32,45400,205621082.0,0.0,0.05
2010-03-29,955.69,955.69,955.69,955.69,0.53,5.06,59564,282192482.0,0.0,0.07
2010-03-30,970.22,970.22,970.22,970.22,1.52,14.53,88941,368908856.0,0.0,0.1
2010-03-31,953.74,953.74,953.74,953.74,-1.7,-16.48,68545,276629400.0,0.0,0.08
2010-04-01,955.03,955.03,955.03,955.03,0.14,1.29,60951,259255732.0,0.0,0.07
2010-04-02,953.02,953.02,953.02,953.02,-0.21,-2.01,47913,221010162.0,0.0,0.05
2010-04-06,951.4,951.4,951.4,951.4,-0.17,-1.62,59992,260739136.0,0.0,0.07
2010-04-07,948.99,948.99,948.99,948.99,-0.25,-2.41,62083,271978208.0,0.0,0.07
2010-04-08,950.88,950.88,950.88,950.88,0.2,1.89,62181,296376248.0,0.0,0.07
2010-04-09,953.14,953.14,953.14,953.14,0.24,2.26,78156,366826728.0,0.0,0.09
2010-04-12,946.83,946.83,946.83,946.83,-0.66,-6.31,182285,833764136.0,0.0,0.21
2010-04-13,941.75,941.75,941.75,941.75,-0.54,-5.08,101967,437669624.0,0.0,0.12
2010-04-14,957.86,957.86,957.86,957.86,1.71,16.11,98668,459734140.0,0.0,0.11
2010-04-15,943.87,943.87,943.87,943.87,-1.46,-13.99,62896,284878896.0,0.0,0.07
2010-04-16,930.08,930.08,930.08,930.08,-1.46,-13.79,53278,228398424.0,0.0,0.06
2010-04-19,898.57,898.57,898.57,898.57,-3.39,-31.51,77364,335549280.0,0.0,0.09
2010-04-20,904.21,904.21,904.21,904.21,0.63,5.64,96553,413201752.0,0.0,0.11
2010-04-21,893.45,893.45,893.45,893.45,-1.19,-10.76,108474,399849296.0,0.0,0.12
2010-04-22,907.78,907.78,907.78,907.78,1.6,14.33,108325,456636896.0,0.0,0.12
2010-04-23,911.3,911.3,911.3,911.3,0.39,3.52,122385,543977680.0,0.0,0.14
2010-04-26,911.04,911.04,911.04,911.04,-0.03,-0.26,58233,244701760.0,0.0,0.07
2010-04-27,888.94,888.94,888.94,888.94,-2.43,-22.1,62376,252735816.0,0.0,0.07
2010-04-28,871.7,871.7,871.7,871.7,-1.94,-17.24,82782,362576502.0,0.0,0.09
2010-04-29,865.26,865.26,865.26,865.26,-0.74,-6.44,66908,271332648.0,0.0,0.08
2010-04-30,828.74,828.74,828.74,828.74,-4.22,-36.52,60009,217848240.0,0.0,0.07
2010-05-04,815.83,815.83,815.83,815.83,-1.56,-12.91,42362,174102256.0,0.0,0.05
2010-05-05,816.44,816.44,816.44,816.44,0.07,0.61,67249,275449770.0,0.0,0.08
2010-05-06,789.51,789.51,789.51,789.51,-3.3,-26.93,67070,266831824.0,0.0,0.08
2010-05-07,757.13,757.13,757.13,757.13,-4.1,-32.38,63239,234338496.0,0.0,0.07
2010-05-10,757.04,757.04,757.04,757.04,-0.01,-0.09,51753,193917524.0,0.0,0.06
2010-05-11,771.49,771.49,771.49,771.49,1.91,14.45,106096,432602600.0,0.0,0.12
2010-05-12,782.34,782.34,782.34,782.34,1.41,10.85,76415,302583458.0,0.0,0.09
2010-05-13,794.47,794.47,794.47,794.47,1.55,12.13,52069,204300500.0,0.0,0.06
2010-05-14,795.97,795.97,795.97,795.97,0.19,1.5,48897,192531818.0,0.0,0.06
2010-05-17,765.84,765.84,765.84,765.84,-3.79,-30.13,57605,214243492.0,0.0,0.07
2010-05-18,770.73,770.73,770.73,770.73,0.64,4.89,41802,158359084.0,0.0,0.05
2010-05-19,773.88,773.88,773.88,773.88,0.41,3.15,31566,116368208.0,0.0,0.04
2010-05-20,767.27,767.27,767.27,767.27,-0.85,-6.61,42081,165873621.0,0.0,0.05
2010-05-21,772.08,772.08,772.08,772.08,0.63,4.81,48240,177675974.0,0.0,0.05
