日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,982.03,982.03,982.03,982.03,-1.8,-17.97,268345,284976892.0,0.0,0.67
2010-01-05,998.52,998.52,998.52,998.52,1.68,16.49,305331,340479161.0,0.0,0.76
2010-01-06,1020.29,1020.29,1020.29,1020.29,2.18,21.77,397434,436328014.0,0.0,0.99
2010-01-07,990.37,990.37,990.37,990.37,-2.93,-29.92,350191,406935360.0,0.0,0.87
2010-01-08,980.35,980.35,980.35,980.35,-1.01,-10.02,193306,205340712.0,0.0,0.48
2010-01-11,990.69,990.69,990.69,990.69,1.05,10.34,255744,273403791.0,0.0,0.64
2010-01-12,1009.64,1009.64,1009.64,1009.64,1.91,18.95,320388,345536014.0,0.0,0.8
2010-01-13,974.65,974.65,974.65,974.65,-3.47,-34.99,287083,318747010.0,0.0,0.71
2010-01-14,1006.22,1006.22,1006.22,1006.22,3.24,31.57,251058,286913459.0,0.0,0.62
2010-01-15,1015.97,1015.97,1015.97,1015.97,0.97,9.75,287218,310831286.0,0.0,0.71
2010-01-18,1038.06,1038.06,1038.06,1038.06,2.17,22.09,274362,310695449.0,0.0,0.68
2010-01-19,1050.17,1050.17,1050.17,1050.17,1.17,12.11,294892,375898133.0,0.0,0.73
2010-01-20,1003.6,1003.6,1003.6,1003.6,-4.43,-46.57,355108,415516283.0,0.0,0.88
2010-01-21,1019.72,1019.72,1019.72,1019.72,1.61,16.12,199976,211710757.0,0.0,0.5
2010-01-22,988.87,988.87,988.87,988.87,-3.03,-30.85,222066,243840256.0,0.0,0.55
2010-01-25,965.25,965.25,965.25,965.25,-2.39,-23.62,179788,179785516.0,0.0,0.45
2010-01-26,911.26,911.26,911.26,911.26,-5.59,-53.99,162203,184233267.0,0.0,0.4
2010-01-27,904.74,904.74,904.74,904.74,-0.72,-6.52,104825,108116869.0,0.0,0.26
2010-01-28,914.1,914.1,914.1,914.1,1.03,9.36,94293,100716793.0,0.0,0.23
2010-01-29,911.69,911.69,911.69,911.69,-0.26,-2.41,102801,101096785.0,0.0,0.26
