日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2000-01-04,1007.8,1036.61,1046.58,996.68,3.66,36.61,127120,261271000.0,4.99,0.0
2000-01-05,1037.39,1024.55,1056.73,1019.72,-1.16,-12.06,146521,307940000.0,3.57,0.0
2000-01-06,1020.91,1056.12,1069.33,1013.32,3.08,31.57,182518,381251000.0,5.47,0.0
2000-01-07,1068.67,1094.44,1116.17,1061.75,3.63,38.32,442899,1019343000.0,5.15,0.0
2000-01-10,1100.81,1113.16,1136.33,1091.48,1.71,18.72,350607,822747000.0,4.1,0.0
2000-01-11,1113.29,1065.61,1115.5,1060.54,-4.27,-47.55,220570,496922000.0,4.94,0.0
2000-01-12,1059.36,1021.99,1061.96,1010.56,-4.09,-43.62,444501,1059285000.0,4.82,0.0
2000-01-13,1017.72,1013.81,1028.13,1007.57,-0.8,-8.18,129814,289967000.0,2.01,0.0
2000-01-14,1013.19,988.55,1020.18,977.79,-2.49,-25.26,234590,534473000.0,4.18,0.0
2000-01-17,985.04,997.38,998.9,969.56,0.89,8.83,115516,256310000.0,2.97,0.0
2000-01-18,999.5,984.24,1002.72,974.66,-1.32,-13.14,123496,267909000.0,2.81,0.0
2000-01-19,981.79,985.21,991.0,976.77,0.1,0.97,84395,179332000.0,1.45,0.0
2000-01-20,985.03,995.19,1002.94,981.19,1.01,9.98,109581,228176000.0,2.21,0.0
2000-01-21,997.25,991.82,1006.96,981.99,-0.34,-3.37,167648,351590000.0,2.51,0.0
2000-01-24,988.98,983.11,991.06,972.05,-0.88,-8.71,205018,418647000.0,1.92,0.0
2000-01-25,983.11,998.78,1024.0,983.11,1.59,15.67,161140,340442000.0,4.16,0.0
2000-01-26,999.09,992.12,1007.42,987.17,-0.67,-6.66,75100,150899000.0,2.03,0.0
2000-01-27,994.12,1000.99,1010.57,984.38,0.89,8.87,136919,286002000.0,2.64,0.0
2000-01-28,1002.73,1023.36,1025.89,997.07,2.23,22.37,290993,613152000.0,2.88,0.0
2000-02-14,1062.08,1114.73,1123.65,1039.98,8.93,91.37,471100,1088744000.0,8.18,0.0
2000-02-15,1116.38,1055.08,1131.66,1049.82,-5.35,-59.65,613408,1397124000.0,7.34,0.0
2000-02-16,1047.63,1032.25,1049.21,1019.71,-2.16,-22.83,406082,883683000.0,2.8,0.0
2000-02-17,1033.83,1022.43,1080.94,994.11,-0.95,-9.82,589288,1257286000.0,8.41,0.0
2000-02-18,1022.3,1010.58,1025.46,995.31,-1.16,-11.85,236227,492746000.0,2.95,0.0
2000-02-21,1012.78,1052.17,1075.41,990.26,4.12,41.59,493021,1097091000.0,8.43,0.0
2000-02-22,1055.84,1010.76,1062.82,1005.42,-3.94,-41.41,230063,496123000.0,5.46,0.0
2000-02-23,1005.42,1004.13,1030.69,999.71,-0.66,-6.63,157321,331038000.0,3.07,0.0
2000-02-24,1003.49,1012.06,1019.25,999.71,0.79,7.93,109819,229522000.0,1.95,0.0
2000-02-25,1014.57,1004.01,1017.02,999.71,-0.8,-8.05,155772,319186000.0,1.71,0.0
2000-02-28,1004.14,1025.1,1033.26,992.44,2.1,21.09,248092,511072000.0,4.07,0.0
2000-02-29,1029.7,1024.86,1046.93,1009.79,-0.02,-0.24,253454,540670000.0,3.62,0.0
2000-03-01,1026.83,1051.55,1100.53,1022.66,2.6,26.69,719465,1667855000.0,7.6,0.01
2000-03-02,1048.87,1033.2,1056.53,1021.12,-1.75,-18.35,248858,549461000.0,3.37,0.0
2000-03-03,1039.47,1054.18,1080.22,1038.33,2.03,20.98,281825,645546000.0,4.05,0.0
2000-03-06,1072.03,1037.25,1093.0,1035.17,-1.61,-16.93,386258,881778000.0,5.49,0.0
2000-03-07,1021.64,1053.88,1073.01,1015.72,1.6,16.63,388883,806133000.0,5.52,0.0
2000-03-08,1060.68,1046.46,1067.86,1035.6,-0.7,-7.42,166068,350984000.0,3.06,0.0
2000-03-09,1047.42,1086.16,1127.01,1033.39,3.79,39.7,1045499,2249148000.0,8.95,0.01
2000-03-10,1085.03,1048.59,1088.19,1044.48,-3.46,-37.57,393132,833748000.0,4.02,0.0
2000-03-13,1047.45,1046.91,1067.05,1038.63,-0.16,-1.68,167997,358101000.0,2.71,0.0
2000-03-14,1027.16,1036.6,1041.54,1013.38,-0.98,-10.31,285950,603666000.0,2.69,0.0
2000-03-15,1034.81,1025.88,1040.6,1019.69,-1.03,-10.72,115209,240901000.0,2.02,0.0
2000-03-16,1020.46,999.12,1022.97,991.06,-2.61,-26.76,243759,490610000.0,3.11,0.0
2000-03-17,997.57,1013.63,1026.22,994.18,1.45,14.51,131374,266171000.0,3.21,0.0
2000-03-20,998.86,1019.28,1026.86,996.02,0.56,5.65,119520,246557000.0,3.04,0.0
2000-03-21,1024.29,1019.18,1027.12,1010.17,-0.01,-0.1,113772,236579000.0,1.66,0.0
2000-03-22,1021.68,1032.67,1046.46,1014.0,1.32,13.49,119049,249605000.0,3.18,0.0
2000-03-23,1033.24,1039.68,1046.42,1025.44,0.68,7.01,141172,302010000.0,2.03,0.0
2000-03-24,1061.8,1038.25,1099.16,1037.74,-0.14,-1.43,336190,798438000.0,5.91,0.0
2000-03-27,1044.51,1054.22,1066.13,1033.51,1.54,15.97,160328,342225000.0,3.14,0.0
2000-03-28,1059.59,1040.41,1069.46,1031.42,-1.31,-13.81,163896,355671000.0,3.61,0.0
2000-03-29,1043.4,1027.8,1049.13,1021.97,-1.21,-12.61,151366,330710000.0,2.61,0.0
2000-03-30,1029.48,1035.1,1047.44,1028.58,0.71,7.3,117114,247041000.0,1.83,0.0
2000-03-31,1037.3,1027.51,1041.76,1022.97,-0.73,-7.59,114990,241079000.0,1.82,0.0
2000-04-03,1027.01,1026.97,1037.96,1021.55,-0.05,-0.54,96339,200862000.0,1.6,0.0
2000-04-04,1025.72,1014.12,1026.5,1012.09,-1.25,-12.85,106633,222962000.0,1.4,0.0
2000-04-05,1013.99,1025.06,1039.85,1012.72,1.08,10.94,93248,193817000.0,2.68,0.0
2000-04-06,1025.71,1031.75,1034.52,1020.95,0.65,6.69,81719,170079000.0,1.32,0.0
2000-04-07,1036.49,1049.09,1059.54,1033.04,1.68,17.34,281129,572518000.0,2.57,0.0
2000-04-10,1051.44,1043.35,1060.82,1038.36,-0.55,-5.74,138336,284641000.0,2.14,0.0
2000-04-11,1045.62,1045.01,1066.47,1037.42,0.16,1.66,162471,350785000.0,2.78,0.0
2000-04-12,1048.17,1044.11,1066.51,1038.41,-0.09,-0.9,203993,421808000.0,2.69,0.0
2000-04-13,1044.74,1049.22,1059.57,1040.0,0.49,5.11,137764,289979000.0,1.87,0.0
2000-04-14,1051.99,1061.04,1079.17,1049.47,1.13,11.82,430134,914013000.0,2.83,0.0
2000-04-17,1066.78,1040.78,1079.4,1033.71,-1.91,-20.26,292579,620418000.0,4.31,0.0
2000-04-18,1041.47,1039.9,1048.53,1028.6,-0.08,-0.88,114904,243293000.0,1.91,0.0
2000-04-19,1049.3,1040.03,1061.86,1035.93,0.01,0.13,96334,202990000.0,2.49,0.0
2000-04-20,1040.41,1039.03,1048.61,1033.41,-0.1,-1.0,129226,268489000.0,1.46,0.0
2000-04-21,1028.94,1031.01,1045.4,1025.9,-0.77,-8.02,119602,250767000.0,1.88,0.0
2000-04-24,1031.01,1017.57,1034.23,1014.47,-1.3,-13.44,120858,262347000.0,1.92,0.0
2000-04-25,1017.38,1019.72,1030.51,1016.31,0.21,2.15,63391,132765000.0,1.4,0.0
2000-04-26,1022.37,1030.33,1056.77,1017.95,1.04,10.61,137825,285436000.0,3.81,0.0
2000-04-27,1032.45,1017.48,1040.03,1014.95,-1.25,-12.85,81003,172878000.0,2.43,0.0
2000-04-28,1017.23,1029.34,1031.22,1013.25,1.17,11.86,101232,210349000.0,1.77,0.0
2000-05-08,1033.12,1015.83,1036.36,1012.59,-1.31,-13.51,43998,82869000.0,2.31,0.0
2000-05-09,1012.71,992.65,1013.96,988.03,-2.28,-23.18,84190,171013000.0,2.55,0.0
2000-05-10,991.21,976.35,995.52,974.35,-1.64,-16.3,110554,235312000.0,2.13,0.0
2000-05-11,975.97,971.35,987.9,967.73,-0.51,-5.0,85983,175668000.0,2.07,0.0
2000-05-12,972.41,972.98,979.85,967.66,0.17,1.63,76078,154548000.0,1.25,0.0
2000-05-15,973.16,938.99,975.22,937.18,-3.49,-33.99,83582,170762000.0,3.91,0.0
2000-05-16,939.3,946.35,955.42,938.99,0.78,7.36,49485,98933000.0,1.75,0.0
2000-05-17,947.8,943.67,953.53,939.0,-0.28,-2.68,52555,104442000.0,1.54,0.0
2000-05-18,943.67,949.04,950.85,937.12,0.57,5.37,61438,124599000.0,1.45,0.0
2000-05-19,951.22,957.86,967.4,948.67,0.93,8.82,69304,139692000.0,1.97,0.0
2000-05-22,958.36,965.92,974.47,951.6,0.84,8.06,92811,187290000.0,2.39,0.0
2000-05-23,970.93,960.02,975.86,948.75,-0.61,-5.9,83200,165354000.0,2.81,0.0
2000-05-24,960.96,963.94,971.49,952.22,0.41,3.92,91470,184132000.0,2.01,0.0
2000-05-25,966.51,991.67,1002.58,964.94,2.88,27.73,198321,411693000.0,3.9,0.0
2000-05-26,994.9,975.5,999.77,973.68,-1.63,-16.17,94681,194857000.0,2.63,0.0
2000-05-29,975.5,969.86,980.23,962.14,-0.58,-5.64,127125,247889000.0,1.85,0.0
2000-05-30,971.09,956.48,978.91,954.3,-1.38,-13.38,82578,165762000.0,2.54,0.0
2000-05-31,956.36,957.44,974.01,951.5,0.1,0.96,90142,181957000.0,2.35,0.0
2000-06-01,959.13,957.87,968.35,954.0,0.04,0.43,66704,132665000.0,1.5,0.0
2000-06-02,959.75,967.75,979.91,955.87,1.03,9.88,102152,202615000.0,2.51,0.0
2000-06-05,970.89,964.95,979.3,962.45,-0.29,-2.8,111630,222914000.0,1.74,0.0
2000-06-06,965.88,972.88,978.01,963.71,0.82,7.93,84894,169008000.0,1.48,0.0
2000-06-07,975.26,978.35,988.36,969.12,0.56,5.47,131798,262423000.0,1.98,0.0
2000-06-08,981.78,980.49,1000.49,976.12,0.22,2.14,282543,556314000.0,2.49,0.0
2000-06-09,985.63,964.89,994.36,962.78,-1.59,-15.6,94960,188770000.0,3.22,0.0
2000-06-12,962.71,968.68,973.29,957.79,0.39,3.79,63784,127124000.0,1.61,0.0
2000-06-13,970.94,976.95,983.33,968.97,0.85,8.27,62966,126174000.0,1.48,0.0
2000-06-14,983.33,988.75,1008.7,980.41,1.21,11.8,183054,397555000.0,2.9,0.0
2000-06-15,992.64,995.75,1005.4,985.6,0.71,7.0,106504,216892000.0,2.0,0.0
2000-06-16,998.58,979.82,1002.36,975.65,-1.6,-15.93,72497,149050000.0,2.68,0.0
2000-06-19,980.89,971.91,986.09,967.15,-0.81,-7.91,68775,135885000.0,1.93,0.0
2000-06-20,971.91,966.09,974.32,963.36,-0.6,-5.82,62086,120714000.0,1.13,0.0
2000-06-21,965.01,968.15,971.2,960.03,0.21,2.06,47357,94566000.0,1.16,0.0
2000-06-22,970.19,961.62,972.24,960.39,-0.67,-6.53,17817,42017000.0,1.22,0.0
2000-06-23,964.91,962.12,969.0,955.63,0.05,0.5,66986,135004000.0,1.39,0.0
2000-06-26,962.44,962.19,967.42,957.83,0.01,0.07,88762,174327000.0,1.0,0.0
2000-06-27,963.13,956.63,966.55,954.39,-0.58,-5.56,101716,199152000.0,1.26,0.0
2000-06-28,956.94,956.56,967.49,954.07,-0.01,-0.07,72709,144902000.0,1.4,0.0
2000-06-29,957.82,952.13,963.14,949.08,-0.46,-4.43,96331,192252000.0,1.47,0.0
2000-06-30,952.25,960.71,967.01,948.48,0.9,8.58,95513,184240000.0,1.95,0.0
2000-07-03,957.55,945.89,957.92,944.46,-1.54,-14.82,75504,145529000.0,1.4,0.0
2000-07-04,944.21,947.75,951.17,940.6,0.2,1.86,65494,124576000.0,1.12,0.0
2000-07-05,947.88,944.72,954.89,941.67,-0.32,-3.03,51046,98240000.0,1.39,0.0
2000-07-06,947.22,945.66,953.2,942.72,0.1,0.94,37570,73677000.0,1.11,0.0
2000-07-07,946.03,953.69,957.24,944.47,0.85,8.03,36827,72693000.0,1.35,0.0
2000-07-10,956.0,946.48,960.36,944.79,-0.76,-7.21,62951,122412000.0,1.63,0.0
2000-07-11,946.85,961.38,966.43,946.41,1.57,14.9,68477,135789000.0,2.12,0.0
2000-07-12,962.63,967.98,983.13,960.76,0.69,6.6,102864,205421000.0,2.33,0.0
2000-07-13,973.62,960.39,976.59,957.27,-0.78,-7.59,74901,148251000.0,2.0,0.0
2000-07-14,960.7,964.9,966.38,953.22,0.47,4.51,58746,116369000.0,1.37,0.0
2000-07-17,966.71,956.91,968.21,954.17,-0.83,-7.99,55559,108334000.0,1.46,0.0
2000-07-18,957.29,955.6,961.34,951.73,-0.14,-1.31,31634,65175000.0,1.0,0.0
2000-07-19,958.53,969.33,975.24,955.91,1.44,13.73,64239,131312000.0,2.02,0.0
2000-07-20,972.64,959.47,976.01,957.29,-1.02,-9.86,45481,92109000.0,1.93,0.0
2000-07-21,970.41,961.54,972.27,957.67,0.22,2.07,55063,109788000.0,1.52,0.0
2000-07-24,962.04,952.87,964.84,951.56,-0.9,-8.67,50188,96768000.0,1.38,0.0
2000-07-25,952.93,960.17,961.41,949.06,0.77,7.3,55409,106804000.0,1.3,0.0
2000-07-26,957.04,955.12,962.54,950.5,-0.53,-5.05,44545,86690000.0,1.25,0.0
2000-07-27,957.68,1006.65,1049.26,957.3,5.4,51.53,881897,1815520000.0,9.63,0.01
2000-07-28,1000.37,983.47,1011.86,982.91,-2.3,-23.18,217078,427326000.0,2.88,0.0
2000-07-31,985.21,985.84,1001.23,982.91,0.24,2.37,111695,224475000.0,1.86,0.0
2000-08-01,986.64,986.58,999.42,984.52,0.08,0.74,64877,130042000.0,1.51,0.0
2000-08-02,989.07,976.5,993.11,974.19,-1.02,-10.08,74984,148844000.0,1.92,0.0
2000-08-03,978.56,977.81,990.84,968.7,0.13,1.31,96654,189806000.0,2.27,0.0
2000-08-04,978.25,977.31,984.86,968.34,-0.05,-0.5,120026,229549000.0,1.69,0.0
2000-08-07,978.68,977.31,985.4,973.57,0.0,0.0,46562,93941000.0,1.21,0.0
2000-08-08,982.3,977.45,983.86,972.96,0.01,0.14,58497,114005000.0,1.12,0.0
2000-08-09,977.32,984.49,994.54,975.76,0.72,7.04,64520,129944000.0,1.92,0.0
2000-08-10,988.56,977.57,989.55,975.76,-0.7,-6.92,65380,130882000.0,1.4,0.0
2000-08-11,977.69,978.44,985.11,974.2,0.09,0.87,68401,137472000.0,1.12,0.0
2000-08-14,979.18,988.04,1001.63,978.81,0.98,9.6,91927,183985000.0,2.33,0.0
2000-08-15,987.92,983.88,990.91,981.45,-0.42,-4.16,41798,84360000.0,0.96,0.0
2000-08-16,985.13,987.25,992.49,976.89,0.34,3.37,65704,131723000.0,1.59,0.0
2000-08-17,986.62,990.8,1005.39,982.94,0.36,3.55,111891,225344000.0,2.27,0.0
2000-08-18,991.98,985.49,998.54,984.19,-0.54,-5.31,45251,89801000.0,1.45,0.0
2000-08-21,987.93,982.0,991.03,980.19,-0.35,-3.49,69588,138643000.0,1.1,0.0
