日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,997.56,997.56,997.56,997.56,-0.24,-2.44,116449,190040326.0,0.0,0.19
2010-01-05,998.71,998.71,998.71,998.71,0.12,1.15,139558,239995643.0,0.0,0.23
2010-01-06,1021.54,1021.54,1021.54,1021.54,2.29,22.83,215644,340343891.0,0.0,0.36
2010-01-07,1012.63,1012.63,1012.63,1012.63,-0.87,-8.91,275818,443754318.0,0.0,0.46
2010-01-08,1028.46,1028.46,1028.46,1028.46,1.56,15.83,237313,308801800.0,0.0,0.4
2010-01-11,1053.32,1053.32,1053.32,1053.32,2.42,24.86,373916,740709744.0,0.0,0.62
2010-01-12,1054.6,1054.6,1054.6,1054.6,0.12,1.28,306195,635014191.0,0.0,0.51
2010-01-13,1043.37,1043.37,1043.37,1043.37,-1.06,-11.23,215686,390281350.0,0.0,0.36
2010-01-14,1056.73,1056.73,1056.73,1056.73,1.28,13.36,209816,400773186.0,0.0,0.35
2010-01-15,1072.64,1072.64,1072.64,1072.64,1.51,15.91,276448,470300045.0,0.0,0.46
2010-01-18,1078.84,1078.84,1078.84,1078.84,0.58,6.2,236181,413236431.0,0.0,0.39
2010-01-19,1079.64,1079.64,1079.64,1079.64,0.07,0.8,209109,384479021.0,0.0,0.35
2010-01-20,1029.09,1029.09,1029.09,1029.09,-4.68,-50.55,237949,413040756.0,0.0,0.4
2010-01-21,1030.8,1030.8,1030.8,1030.8,0.17,1.71,161034,275930405.0,0.0,0.27
2010-01-22,990.47,990.47,990.47,990.47,-3.91,-40.33,181462,290622482.0,0.0,0.3
2010-01-25,979.1,979.1,979.1,979.1,-1.15,-11.37,142312,258832792.0,0.0,0.24
2010-01-26,950.36,950.36,950.36,950.36,-2.94,-28.74,146439,225512111.0,0.0,0.24
2010-01-27,937.47,937.47,937.47,937.47,-1.36,-12.89,156040,223410474.0,0.0,0.26
2010-01-28,939.68,939.68,939.68,939.68,0.24,2.21,143614,192959235.0,0.0,0.24
2010-01-29,946.53,946.53,946.53,946.53,0.73,6.85,149732,200649072.0,0.0,0.25
2010-02-01,927.65,927.65,927.65,927.65,-1.99,-18.88,131563,206245760.0,0.0,0.22
2010-02-02,933.25,933.25,933.25,933.25,0.6,5.6,171653,263036623.0,0.0,0.29
2010-02-03,952.19,952.19,952.19,952.19,2.03,18.94,272060,430093739.0,0.0,0.45
2010-02-04,949.46,949.46,949.46,949.46,-0.29,-2.73,338636,597468586.0,0.0,0.57
2010-02-05,893.53,893.53,893.53,893.53,-5.89,-55.93,235454,383845020.0,0.0,0.39
2010-02-08,879.77,879.77,879.77,879.77,-1.54,-13.76,175246,251559249.0,0.0,0.29
2010-02-09,878.33,878.33,878.33,878.33,-0.16,-1.44,113794,162692356.0,0.0,0.19
