日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-10-14,944.8,944.8,944.8,944.8,-5.52,-55.2,51640,184930277.0,0.0,0.08
2010-10-15,954.18,954.18,954.18,954.18,0.99,9.38,28183,100077075.0,0.0,0.04
2010-10-18,1011.52,1011.52,1011.52,1011.52,6.01,57.34,39908,146181870.0,0.0,0.06
2010-10-19,1090.57,1090.57,1090.57,1090.57,7.81,79.05,63989,256000131.0,0.0,0.1
2010-10-20,1128.35,1128.35,1128.35,1128.35,3.46,37.78,46665,194851357.0,0.0,0.07
2010-10-21,1241.16,1241.16,1241.16,1241.16,10.0,112.81,43505,193560467.0,0.0,0.07
2010-10-22,1311.09,1311.09,1311.09,1311.09,5.63,69.93,36903,179944713.0,0.0,0.06
2010-10-25,1340.57,1340.57,1340.57,1340.57,2.25,29.48,26831,132816982.0,0.0,0.04
2010-10-26,1353.16,1353.16,1353.16,1353.16,0.94,12.59,22574,112624432.0,0.0,0.03
2010-10-27,1340.03,1340.03,1340.03,1340.03,-0.97,-13.13,20318,100762434.0,0.0,0.03
2010-10-28,1330.92,1330.92,1330.92,1330.92,-0.68,-9.11,13155,66891833.0,0.0,0.02
2010-10-29,1382.91,1382.91,1382.91,1382.91,3.91,51.99,15830,80761644.0,0.0,0.02
2010-11-01,1521.17,1521.17,1521.17,1521.17,10.0,138.26,16911,94438155.0,0.0,0.03
2010-11-02,1417.47,1417.47,1417.47,1417.47,-6.82,-103.7,15382,84369600.0,0.0,0.02
2010-11-03,1353.43,1353.43,1353.43,1353.43,-4.52,-64.04,12481,63372245.0,0.0,0.02
2010-11-04,1401.93,1401.93,1401.93,1401.93,3.58,48.5,10302,53387743.0,0.0,0.02
2010-11-05,1377.28,1377.28,1377.28,1377.28,-1.76,-24.65,10637,55026993.0,0.0,0.02
2010-11-08,1454.98,1454.98,1454.98,1454.98,5.64,77.7,11931,63320436.0,0.0,0.02
2010-11-09,1420.15,1420.15,1420.15,1420.15,-2.39,-34.83,10005,53202955.0,0.0,0.02
2010-11-10,1413.45,1413.45,1413.45,1413.45,-0.47,-6.7,12519,65487003.0,0.0,0.02
2010-11-11,1409.16,1409.16,1409.16,1409.16,-0.3,-4.29,12994,69348436.0,0.0,0.02
2010-11-12,1299.84,1299.84,1299.84,1299.84,-7.76,-109.32,12657,63508571.0,0.0,0.02
2010-11-15,1356.11,1356.11,1356.11,1356.11,4.33,56.27,7317,36416385.0,0.0,0.01
2010-11-16,1406.75,1406.75,1406.75,1406.75,3.73,50.64,17737,92486876.0,0.0,0.03
2010-11-17,1291.0,1291.0,1291.0,1291.0,-8.23,-115.75,8671,43588430.0,0.0,0.01
2010-11-18,1312.43,1312.43,1312.43,1312.43,1.66,21.43,8350,40995957.0,0.0,0.01
2010-11-19,1419.61,1419.61,1419.61,1419.61,8.17,107.18,12548,65132775.0,0.0,0.02
2010-11-22,1409.43,1409.43,1409.43,1409.43,-0.72,-10.18,20010,109821120.0,0.0,0.03
2010-11-23,1449.63,1449.63,1449.63,1449.63,2.85,40.2,16682,86731279.0,0.0,0.03
2010-11-24,1483.39,1483.39,1483.39,1483.39,2.33,33.76,11608,64053458.0,0.0,0.02
2010-11-25,1442.66,1442.66,1442.66,1442.66,-2.75,-40.73,11513,62980715.0,0.0,0.02
2010-11-26,1442.66,1442.66,1442.66,1442.66,0.0,0.0,5882,31786086.0,0.0,0.01
2010-11-29,1468.38,1468.38,1468.38,1468.38,1.78,25.72,12605,67935262.0,0.0,0.02
2010-11-30,1412.11,1412.11,1412.11,1412.11,-3.83,-56.27,9278,48822570.0,0.0,0.01
2010-12-01,1366.56,1366.56,1366.56,1366.56,-3.23,-45.55,4704,24332374.0,0.0,0.01
2010-12-02,1382.64,1382.64,1382.64,1382.64,1.18,16.08,9654,50190138.0,0.0,0.01
2010-12-03,1331.73,1331.73,1331.73,1331.73,-3.68,-50.91,7354,36826994.0,0.0,0.01
2010-12-06,1250.54,1250.54,1250.54,1250.54,-6.1,-81.19,11667,55364483.0,0.0,0.02
2010-12-07,1265.54,1265.54,1265.54,1265.54,1.2,15.0,11963,56209966.0,0.0,0.02
