日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1012.25,1012.25,1012.25,1012.25,1.23,12.25,131204,124678272.0,0.0,0.42
2010-01-05,1043.83,1043.83,1043.83,1043.83,3.12,31.58,206680,228854447.0,0.0,0.66
2010-01-06,1050.59,1050.59,1050.59,1050.59,0.65,6.76,240840,275996262.0,0.0,0.77
2010-01-07,1056.2,1056.2,1056.2,1056.2,0.53,5.61,265537,248138257.0,0.0,0.84
2010-01-08,1109.14,1109.14,1109.14,1109.14,5.01,52.94,405142,326973191.0,0.0,1.29
2010-01-11,1115.52,1115.52,1115.52,1115.52,0.58,6.38,285619,248417918.0,0.0,0.91
2010-01-12,1137.39,1137.39,1137.39,1137.39,1.96,21.87,297317,270404867.0,0.0,0.95
2010-01-13,1109.33,1109.33,1109.33,1109.33,-2.47,-28.06,287332,258669423.0,0.0,0.91
2010-01-14,1118.57,1118.57,1118.57,1118.57,0.83,9.24,252170,226768061.0,0.0,0.8
2010-01-15,1124.12,1124.12,1124.12,1124.12,0.5,5.55,224170,210423493.0,0.0,0.71
2010-01-18,1128.86,1128.86,1128.86,1128.86,0.42,4.74,181335,177188571.0,0.0,0.58
2010-01-19,1106.29,1106.29,1106.29,1106.29,-2.0,-22.57,180446,175156991.0,0.0,0.57
2010-01-20,1052.83,1052.83,1052.83,1052.83,-4.83,-53.46,231933,202451888.0,0.0,0.74
2010-01-21,1072.77,1072.77,1072.77,1072.77,1.89,19.94,180879,174042018.0,0.0,0.58
2010-01-22,1040.24,1040.24,1040.24,1040.24,-3.03,-32.53,136491,130736180.0,0.0,0.43
2010-01-25,1019.5,1019.5,1019.5,1019.5,-1.99,-20.74,65533,58850640.0,0.0,0.21
2010-01-26,952.52,952.52,952.52,952.52,-6.57,-66.98,137791,119519226.0,0.0,0.44
2010-01-27,946.95,946.95,946.95,946.95,-0.58,-5.57,78703,69147530.0,0.0,0.25
2010-01-28,956.52,956.52,956.52,956.52,1.01,9.57,86991,65626763.0,0.0,0.28
2010-01-29,974.35,974.35,974.35,974.35,1.86,17.83,92325,82105255.0,0.0,0.29
2010-02-01,955.17,955.17,955.17,955.17,-1.97,-19.18,76350,59822712.0,0.0,0.24
2010-02-02,956.2,956.2,956.2,956.2,0.11,1.03,70886,56452335.0,0.0,0.23
2010-02-03,974.01,974.01,974.01,974.01,1.86,17.81,82448,66422147.0,0.0,0.26
2010-02-04,984.37,984.37,984.37,984.37,1.06,10.36,91579,72910699.0,0.0,0.29
2010-02-05,957.8,957.8,957.8,957.8,-2.7,-26.57,70372,58583427.0,0.0,0.22
2010-02-08,971.23,971.23,971.23,971.23,1.4,13.43,99672,67895513.0,0.0,0.32
2010-02-09,966.04,966.04,966.04,966.04,-0.53,-5.19,49947,37798994.0,0.0,0.16
2010-02-10,1018.51,1018.51,1018.51,1018.51,5.43,52.47,221794,153142696.0,0.0,0.71
2010-02-11,1038.69,1038.69,1038.69,1038.69,1.98,20.18,356962,254652792.0,0.0,1.14
2010-02-12,1048.58,1048.58,1048.58,1048.58,0.95,9.89,151149,109917748.0,0.0,0.48
2010-02-22,1029.21,1029.21,1029.21,1029.21,-1.85,-19.37,111653,88411747.0,0.0,0.36
2010-02-23,1038.39,1038.39,1038.39,1038.39,0.89,9.18,113525,84740245.0,0.0,0.36
2010-02-24,1098.07,1098.07,1098.07,1098.07,5.75,59.68,227655,191318947.0,0.0,0.72
