日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1000.3,1000.3,1000.3,1000.3,0.03,0.3,330608,332483777.0,0.0,0.43
2010-01-05,992.68,992.68,992.68,992.68,-0.76,-7.62,292772,279504846.0,0.0,0.38
2010-01-06,993.85,993.85,993.85,993.85,0.12,1.17,435816,392728670.0,0.0,0.57
2010-01-07,961.67,961.67,961.67,961.67,-3.24,-32.18,370004,350743501.0,0.0,0.48
2010-01-08,941.59,941.59,941.59,941.59,-2.09,-20.08,337624,303240774.0,0.0,0.44
2010-01-11,917.19,917.19,917.19,917.19,-2.59,-24.4,402817,394253572.0,0.0,0.52
2010-01-12,938.73,938.73,938.73,938.73,2.35,21.54,556669,556062187.0,0.0,0.72
2010-01-13,904.11,904.11,904.11,904.11,-3.69,-34.62,517650,464156087.0,0.0,0.67
2010-01-14,919.93,919.93,919.93,919.93,1.75,15.82,603396,513356845.0,0.0,0.78
2010-01-15,915.27,915.27,915.27,915.27,-0.51,-4.66,364255,334140812.0,0.0,0.47
2010-01-18,942.31,942.31,942.31,942.31,2.95,27.04,428349,424279003.0,0.0,0.56
2010-01-19,944.01,944.01,944.01,944.01,0.18,1.7,477037,492407082.0,0.0,0.62
2010-01-20,885.88,885.88,885.88,885.88,-6.16,-58.13,678810,606792826.0,0.0,0.88
2010-01-21,855.37,855.37,855.37,855.37,-3.44,-30.51,708357,574032011.0,0.0,0.92
2010-01-22,810.39,810.39,810.39,810.39,-5.26,-44.98,700708,589140798.0,0.0,0.91
2010-01-25,799.78,799.78,799.78,799.78,-1.31,-10.61,331996,262002429.0,0.0,0.43
2010-01-26,774.59,774.59,774.59,774.59,-3.15,-25.19,359866,265740491.0,0.0,0.47
2010-01-27,768.54,768.54,768.54,768.54,-0.78,-6.05,244382,190888975.0,0.0,0.32
2010-01-28,783.77,783.77,783.77,783.77,1.98,15.23,217800,182997560.0,0.0,0.28
2010-01-29,779.7,779.7,779.7,779.7,-0.52,-4.07,307554,260890223.0,0.0,0.4
2010-02-01,746.39,746.39,746.39,746.39,-4.27,-33.31,337541,272096917.0,0.0,0.44
2010-02-02,750.38,750.38,750.38,750.38,0.53,3.99,262188,210848123.0,0.0,0.34
2010-02-03,776.88,776.88,776.88,776.88,3.53,26.5,395232,301787537.0,0.0,0.51
2010-02-04,765.33,765.33,765.33,765.33,-1.49,-11.55,371939,270274290.0,0.0,0.48
2010-02-05,738.2,738.2,738.2,738.2,-3.54,-27.13,307780,229068996.0,0.0,0.4
2010-02-08,741.94,741.94,741.94,741.94,0.51,3.74,175105,144455899.0,0.0,0.23
2010-02-09,750.83,750.83,750.83,750.83,1.2,8.89,163793,140356930.0,0.0,0.21
2010-02-10,770.56,770.56,770.56,770.56,2.63,19.73,270040,259069019.0,0.0,0.35
2010-02-11,789.86,789.86,789.86,789.86,2.5,19.3,416024,327660310.0,0.0,0.54
2010-02-12,800.45,800.45,800.45,800.45,1.34,10.59,286328,234143787.0,0.0,0.37
2010-02-22,799.36,799.36,799.36,799.36,-0.14,-1.09,268493,243791168.0,0.0,0.35
2010-02-23,788.54,788.54,788.54,788.54,-1.35,-10.82,248374,206845690.0,0.0,0.32
2010-02-24,813.47,813.47,813.47,813.47,3.16,24.93,310990,267458620.0,0.0,0.4
2010-02-25,818.17,818.17,818.17,818.17,0.58,4.7,356637,310062257.0,0.0,0.46
2010-02-26,820.28,820.28,820.28,820.28,0.26,2.11,305829,269316516.0,0.0,0.4
2010-03-01,823.05,823.05,823.05,823.05,0.34,2.77,370988,279494956.0,0.0,0.48
2010-03-02,808.19,808.19,808.19,808.19,-1.81,-14.86,317096,272404807.0,0.0,0.41
2010-03-03,822.96,822.96,822.96,822.96,1.83,14.77,382196,323760575.0,0.0,0.5
2010-03-04,797.49,797.49,797.49,797.49,-3.09,-25.47,353218,279040461.0,0.0,0.46
2010-03-05,802.45,802.45,802.45,802.45,0.62,4.96,125970,85007835.0,0.0,0.16
2010-03-08,835.4,835.4,835.4,835.4,4.11,32.95,300556,303340147.0,0.0,0.39
2010-03-09,842.8,842.8,842.8,842.8,0.89,7.4,408126,372584172.0,0.0,0.53
2010-03-10,840.02,840.02,840.02,840.02,-0.33,-2.78,441666,415955412.0,0.0,0.57
2010-03-11,851.82,851.82,851.82,851.82,1.4,11.8,635563,470966770.0,0.0,0.83
2010-03-12,838.74,838.74,838.74,838.74,-1.54,-13.08,453436,411211388.0,0.0,0.59
2010-03-15,812.14,812.14,812.14,812.14,-3.17,-26.6,253609,209633813.0,0.0,0.33
2010-03-16,820.06,820.06,820.06,820.06,0.98,7.92,200081,164572516.0,0.0,0.26
2010-03-17,846.26,846.26,846.26,846.26,3.19,26.2,360012,349920592.0,0.0,0.47
2010-03-18,847.77,847.77,847.77,847.77,0.18,1.51,270960,249063998.0,0.0,0.35
2010-03-19,862.02,862.02,862.02,862.02,1.68,14.25,343400,319245711.0,0.0,0.45
2010-03-22,862.77,862.77,862.77,862.77,0.09,0.75,284571,268719390.0,0.0,0.37
2010-03-23,848.84,848.84,848.84,848.84,-1.61,-13.93,325804,277695559.0,0.0,0.42
2010-03-24,835.47,835.47,835.47,835.47,-1.58,-13.37,319057,269382288.0,0.0,0.41
2010-03-25,827.59,827.59,827.59,827.59,-0.94,-7.88,346618,319111051.0,0.0,0.45
2010-03-26,841.98,841.98,841.98,841.98,1.74,14.39,295899,295367610.0,0.0,0.38
2010-03-29,849.82,849.82,849.82,849.82,0.93,7.84,386736,354189531.0,0.0,0.5
2010-03-30,852.44,852.44,852.44,852.44,0.31,2.62,234917,226214668.0,0.0,0.31
2010-03-31,837.84,837.84,837.84,837.84,-1.71,-14.6,259526,249366034.0,0.0,0.34
2010-04-01,846.29,846.29,846.29,846.29,1.01,8.45,335819,284139602.0,0.0,0.44
2010-04-02,845.25,845.25,845.25,845.25,-0.12,-1.04,313396,266275034.0,0.0,0.41
2010-04-06,838.98,838.98,838.98,838.98,-0.74,-6.27,335555,295919939.0,0.0,0.44
2010-04-07,844.99,844.99,844.99,844.99,0.72,6.01,436469,344861493.0,0.0,0.57
2010-04-08,837.16,837.16,837.16,837.16,-0.93,-7.83,438819,357366336.0,0.0,0.57
2010-04-09,846.06,846.06,846.06,846.06,1.06,8.9,383755,339812383.0,0.0,0.5
2010-04-12,833.91,833.91,833.91,833.91,-1.44,-12.15,369004,352043663.0,0.0,0.48
2010-04-13,822.54,822.54,822.54,822.54,-1.36,-11.37,459076,405458562.0,0.0,0.6
2010-04-14,828.94,828.94,828.94,828.94,0.78,6.4,307937,263816103.0,0.0,0.4
2010-04-15,850.61,850.61,850.61,850.61,2.61,21.67,1317846,881477429.0,0.0,1.71
2010-04-16,837.01,837.01,837.01,837.01,-1.6,-13.6,198602,230809148.0,0.0,0.26
2010-04-19,766.24,766.24,766.24,766.24,-8.46,-70.77,734180,542213762.0,0.0,0.95
2010-04-20,744.66,744.66,744.66,744.66,-2.82,-21.58,517255,354124079.0,0.0,0.67
2010-04-21,756.0,756.0,756.0,756.0,1.52,11.34,471031,376822606.0,0.0,0.61
2010-04-22,732.95,732.95,732.95,732.95,-3.05,-23.05,484494,384566202.0,0.0,0.63
2010-04-23,731.98,731.98,731.98,731.98,-0.13,-0.97,282194,211820825.0,0.0,0.37
2010-04-26,708.35,708.35,708.35,708.35,-3.23,-23.63,410384,290121243.0,0.0,0.53
2010-04-27,671.07,671.07,671.07,671.07,-5.26,-37.28,395468,264415510.0,0.0,0.51
2010-04-28,674.41,674.41,674.41,674.41,0.5,3.34,222753,150420067.0,0.0,0.29
2010-04-29,661.28,661.28,661.28,661.28,-1.95,-13.13,285657,178896990.0,0.0,0.37
2010-04-30,675.67,675.67,675.67,675.67,2.18,14.39,297239,208677895.0,0.0,0.39
2010-05-04,659.55,659.55,659.55,659.55,-2.39,-16.12,187647,130358147.0,0.0,0.24
2010-05-05,656.36,656.36,656.36,656.36,-0.48,-3.19,338188,233500035.0,0.0,0.44
2010-05-06,620.19,620.19,620.19,620.19,-5.51,-36.17,277080,179801956.0,0.0,0.36
2010-05-07,583.87,583.87,583.87,583.87,-5.86,-36.32,344971,225235888.0,0.0,0.45
2010-05-10,584.66,584.66,584.66,584.66,0.14,0.79,147431,122058559.0,0.0,0.19
2010-05-11,607.11,607.11,607.11,607.11,3.84,22.45,770190,448898043.0,0.0,1.0
2010-05-12,593.26,593.26,593.26,593.26,-2.28,-13.85,542462,285767079.0,0.0,0.71
2010-05-13,604.31,604.31,604.31,604.31,1.86,11.05,344007,178206154.0,0.0,0.45
2010-05-14,597.75,597.75,597.75,597.75,-1.09,-6.56,328799,206254026.0,0.0,0.43
2010-05-17,542.22,542.22,542.22,542.22,-9.29,-55.53,420064,255186115.0,0.0,0.55
2010-05-18,556.19,556.19,556.19,556.19,2.58,13.97,342993,205064138.0,0.0,0.45
2010-05-19,547.59,547.59,547.59,547.59,-1.55,-8.6,282424,168168314.0,0.0,0.37
2010-05-20,544.98,544.98,544.98,544.98,-0.48,-2.61,389117,254531259.0,0.0,0.51
2010-05-21,567.05,567.05,567.05,567.05,4.05,22.07,449905,283006535.0,0.0,0.59
2010-05-24,594.85,594.85,594.85,594.85,4.9,27.8,647904,436419421.0,0.0,0.84
2010-05-25,575.18,575.18,575.18,575.18,-3.31,-19.67,403383,269857640.0,0.0,0.52
2010-05-26,575.36,575.36,575.36,575.36,0.03,0.18,215450,144710974.0,0.0,0.28
2010-05-27,586.0,586.0,586.0,586.0,1.85,10.64,335677,224245206.0,0.0,0.44
2010-05-28,576.28,576.28,576.28,576.28,-1.66,-9.72,363520,243492885.0,0.0,0.47
2010-05-31,548.25,548.25,548.25,548.25,-4.86,-28.03,260969,166912755.0,0.0,0.34
2010-06-01,537.11,537.11,537.11,537.11,-2.03,-11.14,292310,175802959.0,0.0,0.38
2010-06-02,551.54,551.54,551.54,551.54,2.69,14.43,216279,132970147.0,0.0,0.28
2010-06-03,540.92,540.92,540.92,540.92,-1.93,-10.62,253554,157183305.0,0.0,0.33
2010-06-04,539.08,539.08,539.08,539.08,-0.34,-1.84,242805,151959588.0,0.0,0.32
2010-06-07,521.62,521.62,521.62,521.62,-3.24,-17.46,336042,202956908.0,0.0,0.44
2010-06-08,525.03,525.03,525.03,525.03,0.65,3.41,198780,117664322.0,0.0,0.26
2010-06-09,544.05,544.05,544.05,544.05,3.62,19.02,347007,208647670.0,0.0,0.45
2010-06-10,537.86,537.86,537.86,537.86,-1.14,-6.19,299036,184230223.0,0.0,0.39
2010-06-11,548.83,548.83,548.83,548.83,2.04,10.97,439718,275626298.0,0.0,0.57
2010-06-17,539.28,539.28,539.28,539.28,-1.74,-9.55,242290,150460360.0,0.0,0.32
2010-06-18,523.5,523.5,523.5,523.5,-2.93,-15.78,258944,157500595.0,0.0,0.34
2010-06-21,553.97,553.97,553.97,553.97,5.82,30.47,397603,259541836.0,0.0,0.52
2010-06-22,557.71,557.71,557.71,557.71,0.68,3.74,416562,301781011.0,0.0,0.54
2010-06-23,547.47,547.47,547.47,547.47,-1.84,-10.24,318682,211811921.0,0.0,0.41
2010-06-24,545.16,545.16,545.16,545.16,-0.42,-2.31,194383,128752376.0,0.0,0.25
2010-06-25,532.48,532.48,532.48,532.48,-2.33,-12.68,196639,125879828.0,0.0,0.26
