日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1060.64,1060.64,1060.64,1060.64,6.06,60.64,35374,188721753.0,0.0,0.11
2010-01-05,1087.65,1087.65,1087.65,1087.65,2.55,27.01,21048,112846612.0,0.0,0.07
2010-01-06,1074.25,1074.25,1074.25,1074.25,-1.23,-13.4,13513,72381329.0,0.0,0.04
2010-01-07,1165.7,1165.7,1165.7,1165.7,8.51,91.45,30559,175797175.0,0.0,0.1
2010-01-08,1182.71,1182.71,1182.71,1182.71,1.46,17.01,20991,122390447.0,0.0,0.07
2010-01-11,1258.36,1258.36,1258.36,1258.36,6.4,75.65,24223,149972759.0,0.0,0.08
2010-01-12,1275.37,1275.37,1275.37,1275.37,1.35,17.01,21915,139499019.0,0.0,0.07
2010-01-13,1278.37,1278.37,1278.37,1278.37,0.24,3.0,21411,136081381.0,0.0,0.07
2010-01-14,1278.77,1278.77,1278.77,1278.77,0.03,0.4,23595,147854881.0,0.0,0.08
2010-01-15,1340.4,1340.4,1340.4,1340.4,4.82,61.63,23817,155676205.0,0.0,0.08
2010-01-18,1340.4,1340.4,1340.4,1340.4,0.0,0.0,20894,140005310.0,0.0,0.07
2010-01-19,1320.59,1320.59,1320.59,1320.59,-1.48,-19.81,21040,138795821.0,0.0,0.07
2010-01-20,1198.92,1198.92,1198.92,1198.92,-9.21,-121.67,28605,178194475.0,0.0,0.09
2010-01-21,1222.53,1222.53,1222.53,1222.53,1.97,23.61,19729,119742121.0,0.0,0.06
2010-01-22,1198.52,1198.52,1198.52,1198.52,-1.96,-24.01,17202,101298495.0,0.0,0.06
2010-01-25,1156.69,1156.69,1156.69,1156.69,-3.49,-41.83,20400,120504104.0,0.0,0.07
2010-01-26,1202.32,1202.32,1202.32,1202.32,3.94,45.63,26802,159168065.0,0.0,0.09
2010-01-27,1191.72,1191.72,1191.72,1191.72,-0.88,-10.6,18550,111209353.0,0.0,0.06
2010-01-28,1119.87,1119.87,1119.87,1119.87,-6.03,-71.85,28099,158283726.0,0.0,0.09
2010-01-29,1170.7,1170.7,1170.7,1170.7,4.54,50.83,27210,154052130.0,0.0,0.09
2010-02-01,1165.9,1165.9,1165.9,1165.9,-0.41,-4.8,29164,168421747.0,0.0,0.09
2010-02-02,1111.67,1111.67,1111.67,1111.67,-4.65,-54.23,18913,108139765.0,0.0,0.06
2010-02-03,1073.64,1073.64,1073.64,1073.64,-3.42,-38.03,23212,123646540.0,0.0,0.07
2010-02-04,1072.64,1072.64,1072.64,1072.64,-0.09,-1.0,13660,74422160.0,0.0,0.04
2010-02-05,1058.84,1058.84,1058.84,1058.84,-1.29,-13.8,13377,70829878.0,0.0,0.04
2010-02-08,1029.42,1029.42,1029.42,1029.42,-2.78,-29.42,10451,54297583.0,0.0,0.03
2010-02-09,1132.28,1132.28,1132.28,1132.28,9.99,102.86,29210,158869228.0,0.0,0.09
2010-02-10,1189.71,1189.71,1189.71,1189.71,5.07,57.43,39759,233248333.0,0.0,0.13
2010-02-11,1174.51,1174.51,1174.51,1174.51,-1.28,-15.2,17857,105464694.0,0.0,0.06
2010-02-12,1215.53,1215.53,1215.53,1215.53,3.49,41.02,25105,150815148.0,0.0,0.08
2010-02-22,1186.71,1186.71,1186.71,1186.71,-2.37,-28.82,13241,78909397.0,0.0,0.04
2010-02-23,1198.72,1198.72,1198.72,1198.72,1.01,12.01,19921,117874429.0,0.0,0.06
2010-02-24,1246.75,1246.75,1246.75,1246.75,4.01,48.03,25111,153680388.0,0.0,0.08
2010-02-25,1245.75,1245.75,1245.75,1245.75,-0.08,-1.0,21176,131430457.0,0.0,0.07
2010-02-26,1218.73,1218.73,1218.73,1218.73,-2.17,-27.02,18373,112521972.0,0.0,0.06
2010-03-02,1224.74,1224.74,1224.74,1224.74,0.49,6.01,22771,140822423.0,0.0,0.07
2010-03-03,1199.72,1199.72,1199.72,1199.72,-2.04,-25.02,17652,105451009.0,0.0,0.06
2010-03-04,1152.69,1152.69,1152.69,1152.69,-3.92,-47.03,17699,104502561.0,0.0,0.06
