日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1025.61,1025.61,1025.61,1025.61,2.56,25.61,696238,678191586.0,0.0,0.66
2010-01-05,1064.0,1064.0,1064.0,1064.0,3.74,38.39,899313,925584426.0,0.0,0.85
2010-01-06,1060.43,1060.43,1060.43,1060.43,-0.34,-3.57,668306,685113788.0,0.0,0.63
2010-01-07,1043.28,1043.28,1043.28,1043.28,-1.62,-17.15,588957,591822723.0,0.0,0.56
2010-01-08,1076.59,1076.59,1076.59,1076.59,3.19,33.31,557830,570316876.0,0.0,0.53
2010-01-11,1100.44,1100.44,1100.44,1100.44,2.22,23.85,659792,698994810.0,0.0,0.62
2010-01-12,1110.02,1110.02,1110.02,1110.02,0.87,9.58,550926,591070131.0,0.0,0.52
2010-01-13,1092.55,1092.55,1092.55,1092.55,-1.57,-17.47,493605,521228974.0,0.0,0.47
2010-01-14,1118.04,1118.04,1118.04,1118.04,2.33,25.49,583786,606476374.0,0.0,0.55
2010-01-15,1126.19,1126.19,1126.19,1126.19,0.73,8.15,282480,291553994.0,0.0,0.27
2010-01-18,1152.77,1152.77,1152.77,1152.77,2.36,26.58,699790,736725029.0,0.0,0.66
2010-01-19,1159.34,1159.34,1159.34,1159.34,0.57,6.57,507857,521212570.0,0.0,0.48
2010-01-20,1081.57,1081.57,1081.57,1081.57,-6.71,-77.77,1076056,1047382140.0,0.0,1.02
2010-01-21,1076.86,1076.86,1076.86,1076.86,-0.44,-4.71,686710,633605372.0,0.0,0.65
2010-01-22,1022.74,1022.74,1022.74,1022.74,-5.03,-54.12,487589,449144412.0,0.0,0.46
2010-01-25,1016.03,1016.03,1016.03,1016.03,-0.66,-6.71,323754,296275724.0,0.0,0.31
2010-01-26,991.12,991.12,991.12,991.12,-2.45,-24.91,487279,443407822.0,0.0,0.46
2010-01-27,987.14,987.14,987.14,987.14,-0.4,-3.98,365059,332122813.0,0.0,0.34
2010-01-28,1012.89,1012.89,1012.89,1012.89,2.61,25.75,333276,304668055.0,0.0,0.31
2010-01-29,1033.4,1033.4,1033.4,1033.4,2.02,20.51,463404,439771381.0,0.0,0.44
2010-02-01,991.16,991.16,991.16,991.16,-4.09,-42.24,716927,605723988.0,0.0,0.68
2010-02-02,983.78,983.78,983.78,983.78,-0.74,-7.38,530571,441876685.0,0.0,0.5
2010-02-03,983.45,983.45,983.45,983.45,-0.03,-0.33,427696,359237268.0,0.0,0.4
2010-02-04,1002.1,1002.1,1002.1,1002.1,1.9,18.65,421318,359655148.0,0.0,0.4
2010-02-05,967.79,967.79,967.79,967.79,-3.42,-34.31,312978,268367399.0,0.0,0.3
2010-02-08,959.03,959.03,959.03,959.03,-0.91,-8.76,254333,204522667.0,0.0,0.24
2010-02-09,970.13,970.13,970.13,970.13,1.16,11.1,261407,212979442.0,0.0,0.25
2010-02-10,985.88,985.88,985.88,985.88,1.62,15.75,265316,231612727.0,0.0,0.25
2010-02-11,984.49,984.49,984.49,984.49,-0.14,-1.39,206409,186182400.0,0.0,0.19
2010-02-12,1009.18,1009.18,1009.18,1009.18,2.51,24.69,340993,308918599.0,0.0,0.32
2010-02-22,1001.69,1001.69,1001.69,1001.69,-0.74,-7.49,245972,221708052.0,0.0,0.23
2010-02-23,1036.28,1036.28,1036.28,1036.28,3.45,34.59,591749,515538955.0,0.0,0.56
2010-02-24,1072.64,1072.64,1072.64,1072.64,3.51,36.36,611340,557943913.0,0.0,0.58
2010-02-25,1077.59,1077.59,1077.59,1077.59,0.46,4.95,638064,609082739.0,0.0,0.6
2010-02-26,1073.8,1073.8,1073.8,1073.8,-0.35,-3.79,373460,356794045.0,0.0,0.35
2010-03-01,1089.25,1089.25,1089.25,1089.25,1.44,15.45,417380,411101286.0,0.0,0.39
2010-03-02,1101.48,1101.48,1101.48,1101.48,1.12,12.23,582788,566489999.0,0.0,0.55
2010-03-03,1104.37,1104.37,1104.37,1104.37,0.26,2.89,607214,582110518.0,0.0,0.57
2010-03-04,1047.73,1047.73,1047.73,1047.73,-5.13,-56.64,627673,605069455.0,0.0,0.59
2010-03-05,1048.5,1048.5,1048.5,1048.5,0.07,0.77,400546,375273131.0,0.0,0.38
2010-03-08,1072.47,1072.47,1072.47,1072.47,2.29,23.97,432873,399977658.0,0.0,0.41
2010-03-09,1076.0,1076.0,1076.0,1076.0,0.33,3.53,589819,559324673.0,0.0,0.56
2010-03-10,1081.22,1081.22,1081.22,1081.22,0.49,5.22,584224,585446746.0,0.0,0.55
2010-03-11,1074.41,1074.41,1074.41,1074.41,-0.63,-6.81,425287,418721279.0,0.0,0.4
2010-03-12,1054.54,1054.54,1054.54,1054.54,-1.85,-19.87,356430,335512852.0,0.0,0.34
2010-03-15,1042.31,1042.31,1042.31,1042.31,-1.16,-12.23,309308,285654534.0,0.0,0.29
2010-03-16,1054.93,1054.93,1054.93,1054.93,1.21,12.62,303348,295053821.0,0.0,0.29
2010-03-17,1114.81,1114.81,1114.81,1114.81,5.68,59.88,1097368,1083958354.0,0.0,1.04
2010-03-18,1163.45,1163.45,1163.45,1163.45,4.36,48.64,3731532,4000874456.0,0.0,3.52
2010-03-19,1190.32,1190.32,1190.32,1190.32,2.31,26.87,2799251,3032697217.0,0.0,2.64
2010-03-22,1211.89,1211.89,1211.89,1211.89,1.81,21.57,2292254,2595472989.0,0.0,2.16
2010-03-23,1195.84,1195.84,1195.84,1195.84,-1.32,-16.05,1545428,1718398638.0,0.0,1.46
2010-03-24,1194.81,1194.81,1194.81,1194.81,-0.09,-1.03,1442355,1608507144.0,0.0,1.36
2010-03-25,1172.6,1172.6,1172.6,1172.6,-1.86,-22.21,1284271,1380679646.0,0.0,1.21
2010-03-26,1200.67,1200.67,1200.67,1200.67,2.39,28.07,1078954,1168697806.0,0.0,1.02
2010-03-29,1178.6,1178.6,1178.6,1178.6,-1.84,-22.07,213248,257413620.0,0.0,0.2
2010-03-30,1219.54,1219.54,1219.54,1219.54,3.47,40.94,1679852,1892640514.0,0.0,1.59
2010-03-31,1264.72,1264.72,1264.72,1264.72,3.7,45.18,1927985,2327460985.0,0.0,1.82
2010-04-01,1263.99,1263.99,1263.99,1263.99,-0.06,-0.73,1269806,1552751321.0,0.0,1.2
2010-04-02,1286.08,1286.08,1286.08,1286.08,1.75,22.09,1420102,1763186285.0,0.0,1.34
2010-04-06,1287.8,1287.8,1287.8,1287.8,0.13,1.72,867526,1053367367.0,0.0,0.82
2010-04-07,1294.77,1294.77,1294.77,1294.77,0.54,6.97,854558,1060748803.0,0.0,0.81
2010-04-08,1293.25,1293.25,1293.25,1293.25,-0.12,-1.52,919387,1153470882.0,0.0,0.87
2010-04-09,1332.2,1332.2,1332.2,1332.2,3.01,38.95,1544968,1984881399.0,0.0,1.46
2010-04-12,1371.91,1371.91,1371.91,1371.91,2.98,39.71,1203404,1608674051.0,0.0,1.14
2010-04-13,1301.69,1301.69,1301.69,1301.69,-5.12,-70.22,1413059,1806424994.0,0.0,1.33
2010-04-14,1308.04,1308.04,1308.04,1308.04,0.49,6.35,700021,880792220.0,0.0,0.66
2010-04-15,1291.9,1291.9,1291.9,1291.9,-1.23,-16.14,783472,992469070.0,0.0,0.74
2010-04-16,1316.41,1316.41,1316.41,1316.41,1.9,24.51,718863,903150586.0,0.0,0.68
2010-04-19,1256.65,1256.65,1256.65,1256.65,-4.54,-59.76,767451,956845613.0,0.0,0.72
2010-04-20,1310.08,1310.08,1310.08,1310.08,4.25,53.43,928023,1150978300.0,0.0,0.88
2010-04-21,1356.01,1356.01,1356.01,1356.01,3.51,45.93,1019969,1313023624.0,0.0,0.96
2010-04-22,1380.06,1380.06,1380.06,1380.06,1.77,24.05,1275292,1719741447.0,0.0,1.2
