日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1000.3,1000.3,1000.3,1000.3,0.03,0.3,801122,1035539798.0,0.0,0.24
2010-01-05,1013.93,1013.93,1013.93,1013.93,1.36,13.63,816599,1063003133.0,0.0,0.25
2010-01-06,1014.35,1014.35,1014.35,1014.35,0.04,0.42,876846,1124392649.0,0.0,0.27
2010-01-07,992.08,992.08,992.08,992.08,-2.2,-22.27,854771,1056953282.0,0.0,0.26
2010-01-08,1000.33,1000.33,1000.33,1000.33,0.83,8.25,653835,804981434.0,0.0,0.2
2010-01-11,1028.72,1028.72,1028.72,1028.72,2.84,28.39,967426,1350576218.0,0.0,0.29
2010-01-12,1058.32,1058.32,1058.32,1058.32,2.88,29.6,1074540,1375809444.0,0.0,0.33
2010-01-13,1046.34,1046.34,1046.34,1046.34,-1.13,-11.98,893138,1072394980.0,0.0,0.27
2010-01-14,1067.64,1067.64,1067.64,1067.64,2.04,21.3,1056839,1118180604.0,0.0,0.32
2010-01-15,1076.6,1076.6,1076.6,1076.6,0.84,8.96,987768,1158556569.0,0.0,0.3
2010-01-18,1090.59,1090.59,1090.59,1090.59,1.3,13.99,964522,1179670146.0,0.0,0.29
2010-01-19,1075.89,1075.89,1075.89,1075.89,-1.35,-14.7,918561,1182415399.0,0.0,0.28
2010-01-20,1043.13,1043.13,1043.13,1043.13,-3.04,-32.76,1142142,1380979796.0,0.0,0.35
2010-01-21,1066.94,1066.94,1066.94,1066.94,2.28,23.81,880149,1107791614.0,0.0,0.27
2010-01-22,1039.84,1039.84,1039.84,1039.84,-2.54,-27.1,945480,1224458142.0,0.0,0.29
2010-01-25,1009.28,1009.28,1009.28,1009.28,-2.94,-30.56,528257,666308929.0,0.0,0.16
2010-01-26,965.7,965.7,965.7,965.7,-4.32,-43.58,561008,682085069.0,0.0,0.17
2010-01-27,969.21,969.21,969.21,969.21,0.36,3.51,434185,507598004.0,0.0,0.13
2010-01-28,984.38,984.38,984.38,984.38,1.57,15.17,418361,527760595.0,0.0,0.13
2010-01-29,998.44,998.44,998.44,998.44,1.43,14.06,515398,665980078.0,0.0,0.16
2010-02-01,991.17,991.17,991.17,991.17,-0.73,-7.27,639670,804635896.0,0.0,0.2
2010-02-02,988.58,988.58,988.58,988.58,-0.26,-2.59,395323,499970903.0,0.0,0.12
2010-02-03,1002.45,1002.45,1002.45,1002.45,1.4,13.87,513466,623083804.0,0.0,0.16
2010-02-04,1005.87,1005.87,1005.87,1005.87,0.34,3.42,498758,590089535.0,0.0,0.15
2010-02-05,986.29,986.29,986.29,986.29,-1.95,-19.58,475242,564302908.0,0.0,0.14
2010-02-08,986.64,986.64,986.64,986.64,0.04,0.35,469760,566202434.0,0.0,0.14
2010-02-09,985.74,985.74,985.74,985.74,-0.09,-0.9,328898,384640391.0,0.0,0.1
2010-02-10,1001.28,1001.28,1001.28,1001.28,1.58,15.54,389942,511506486.0,0.0,0.12
2010-02-11,999.73,999.73,999.73,999.73,-0.15,-1.55,336495,407594030.0,0.0,0.1
2010-02-12,1013.87,1013.87,1013.87,1013.87,1.41,14.14,427292,567648254.0,0.0,0.13
2010-02-22,1019.05,1019.05,1019.05,1019.05,0.51,5.18,732268,860365868.0,0.0,0.22
2010-02-23,1017.69,1017.69,1017.69,1017.69,-0.13,-1.36,720354,726839373.0,0.0,0.22
2010-02-24,1032.24,1032.24,1032.24,1032.24,1.43,14.55,549461,641621556.0,0.0,0.17
2010-02-25,1054.51,1054.51,1054.51,1054.51,2.16,22.27,851977,1076320072.0,0.0,0.26
