日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1000.07,1000.07,1000.07,1000.07,0.01,0.07,696664,810334694.0,0.0,0.12
2010-01-05,999.09,999.09,999.09,999.09,-0.1,-0.98,649998,747824780.0,0.0,0.11
2010-01-06,1007.1,1007.1,1007.1,1007.1,0.8,8.01,1026461,1214093610.0,0.0,0.17
2010-01-07,991.55,991.55,991.55,991.55,-1.54,-15.55,918986,1064598315.0,0.0,0.15
2010-01-08,1001.01,1001.01,1001.01,1001.01,0.95,9.46,577225,677549916.0,0.0,0.1
2010-01-11,1014.13,1014.13,1014.13,1014.13,1.31,13.12,607194,701084813.0,0.0,0.1
2010-01-12,1023.68,1023.68,1023.68,1023.68,0.94,9.55,597114,681583919.0,0.0,0.1
2010-01-13,1009.61,1009.61,1009.61,1009.61,-1.37,-14.07,886650,998143919.0,0.0,0.15
2010-01-14,1031.89,1031.89,1031.89,1031.89,2.21,22.28,695437,758532969.0,0.0,0.12
2010-01-15,1036.31,1036.31,1036.31,1036.31,0.43,4.42,506626,453198000.0,0.0,0.08
2010-01-18,1059.63,1059.63,1059.63,1059.63,2.25,23.32,838009,1005251691.0,0.0,0.14
2010-01-19,1076.02,1076.02,1076.02,1076.02,1.55,16.39,1012011,1122931347.0,0.0,0.17
2010-01-20,1029.83,1029.83,1029.83,1029.83,-4.29,-46.19,1107803,1103320486.0,0.0,0.19
2010-01-21,1031.19,1031.19,1031.19,1031.19,0.13,1.36,550566,561663344.0,0.0,0.09
2010-01-22,992.98,992.98,992.98,992.98,-3.71,-38.21,587638,604973186.0,0.0,0.1
2010-01-25,980.13,980.13,980.13,980.13,-1.29,-12.85,372601,397674680.0,0.0,0.06
2010-01-26,936.34,936.34,936.34,936.34,-4.47,-43.79,480775,512106580.0,0.0,0.08
2010-01-27,919.55,919.55,919.55,919.55,-1.79,-16.79,379954,383029208.0,0.0,0.06
2010-01-28,929.95,929.95,929.95,929.95,1.13,10.4,447428,486303955.0,0.0,0.08
2010-01-29,931.79,931.79,931.79,931.79,0.2,1.84,395540,435713975.0,0.0,0.07
2010-02-01,915.46,915.46,915.46,915.46,-1.75,-16.33,499803,550167413.0,0.0,0.08
2010-02-02,924.25,924.25,924.25,924.25,0.96,8.79,594922,784349775.0,0.0,0.1
2010-02-03,955.05,955.05,955.05,955.05,3.33,30.8,643442,779498257.0,0.0,0.11
2010-02-04,967.61,967.61,967.61,967.61,1.32,12.56,668765,867196983.0,0.0,0.11
2010-02-05,941.09,941.09,941.09,941.09,-2.74,-26.52,721380,940741819.0,0.0,0.12
2010-02-08,943.14,943.14,943.14,943.14,0.22,2.05,326490,401059827.0,0.0,0.05
2010-02-09,935.32,935.32,935.32,935.32,-0.83,-7.82,285970,339714686.0,0.0,0.05
2010-02-10,944.65,944.65,944.65,944.65,1.0,9.33,253857,284163993.0,0.0,0.04
2010-02-11,946.56,946.56,946.56,946.56,0.2,1.91,309254,386252679.0,0.0,0.05
2010-02-12,955.19,955.19,955.19,955.19,0.91,8.63,302523,369004118.0,0.0,0.05
2010-02-22,958.61,958.61,958.61,958.61,0.36,3.42,568219,556020527.0,0.0,0.1
2010-02-23,976.74,976.74,976.74,976.74,1.89,18.13,1098445,860443926.0,0.0,0.18
2010-02-24,990.89,990.89,990.89,990.89,1.45,14.15,1132078,930192191.0,0.0,0.19
2010-02-25,1010.11,1010.11,1010.11,1010.11,1.94,19.22,905693,873742008.0,0.0,0.15
2010-02-26,1017.87,1017.87,1017.87,1017.87,0.77,7.76,1028371,863506697.0,0.0,0.17
2010-03-01,1042.57,1042.57,1042.57,1042.57,2.43,24.7,1037366,1023050985.0,0.0,0.17
2010-03-02,1039.23,1039.23,1039.23,1039.23,-0.32,-3.34,754913,692127037.0,0.0,0.13
2010-03-03,1057.23,1057.23,1057.23,1057.23,1.73,18.0,1044585,1143076723.0,0.0,0.18
2010-03-04,1025.18,1025.18,1025.18,1025.18,-3.03,-32.05,1088676,1022412446.0,0.0,0.18
2010-03-05,1039.2,1039.2,1039.2,1039.2,1.37,14.02,812507,801925097.0,0.0,0.14
2010-03-08,1052.69,1052.69,1052.69,1052.69,1.3,13.49,782307,830067321.0,0.0,0.13
2010-03-09,1051.4,1051.4,1051.4,1051.4,-0.12,-1.29,850310,867734598.0,0.0,0.14
