日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,997.56,997.56,997.56,997.56,-0.24,-2.44,130034,376768605.0,0.0,0.14
2010-01-05,989.18,989.18,989.18,989.18,-0.84,-8.38,116470,329241705.0,0.0,0.13
2010-01-06,1011.86,1011.86,1011.86,1011.86,2.29,22.68,170408,489439131.0,0.0,0.19
2010-01-07,976.27,976.27,976.27,976.27,-3.52,-35.59,116992,332231976.0,0.0,0.13
2010-01-08,975.93,975.93,975.93,975.93,-0.03,-0.34,94466,261886688.0,0.0,0.1
2010-01-11,964.76,964.76,964.76,964.76,-1.14,-11.17,157875,437678047.0,0.0,0.17
2010-01-12,982.9,982.9,982.9,982.9,1.88,18.14,121671,339444389.0,0.0,0.13
2010-01-13,954.64,954.64,954.64,954.64,-2.88,-28.26,128074,353579259.0,0.0,0.14
2010-01-14,976.62,976.62,976.62,976.62,2.3,21.98,115663,320819562.0,0.0,0.13
2010-01-15,990.58,990.58,990.58,990.58,1.43,13.96,154191,436980819.0,0.0,0.17
2010-01-18,995.46,995.46,995.46,995.46,0.49,4.88,119802,339277551.0,0.0,0.13
2010-01-19,987.44,987.44,987.44,987.44,-0.81,-8.02,102584,290952573.0,0.0,0.11
2010-01-20,1015.35,1015.35,1015.35,1015.35,2.83,27.91,387759,1121376137.0,0.0,0.42
2010-01-21,1050.94,1050.94,1050.94,1050.94,3.51,35.59,524115,1563386889.0,0.0,0.57
2010-01-22,1025.82,1025.82,1025.82,1025.82,-2.39,-25.12,278375,819676247.0,0.0,0.3
2010-01-25,1020.24,1020.24,1020.24,1020.24,-0.54,-5.58,185522,551964607.0,0.0,0.2
2010-01-26,1055.83,1055.83,1055.83,1055.83,3.49,35.59,496511,1506785074.0,0.0,0.54
2010-01-27,1046.76,1046.76,1046.76,1046.76,-0.86,-9.07,325657,977103823.0,0.0,0.35
2010-01-28,1075.37,1075.37,1075.37,1075.37,2.73,28.61,339229,1038801317.0,0.0,0.37
2010-01-29,1095.6,1095.6,1095.6,1095.6,1.88,20.23,423711,1331909199.0,0.0,0.46
2010-02-01,1077.11,1077.11,1077.11,1077.11,-1.69,-18.49,236756,734636886.0,0.0,0.26
2010-02-02,1043.62,1043.62,1043.62,1043.62,-3.11,-33.49,314387,957826708.0,0.0,0.34
2010-02-03,1085.14,1085.14,1085.14,1085.14,3.98,41.52,310647,949791550.0,0.0,0.34
2010-02-04,1071.88,1071.88,1071.88,1071.88,-1.22,-13.26,236968,731585963.0,0.0,0.26
2010-02-05,1102.23,1102.23,1102.23,1102.23,2.83,30.35,400832,1263389249.0,0.0,0.44
2010-02-08,1089.67,1089.67,1089.67,1089.67,-1.14,-12.56,171221,533732066.0,0.0,0.19
2010-02-09,1084.09,1084.09,1084.09,1084.09,-0.51,-5.58,130115,404560778.0,0.0,0.14
2010-02-10,1080.95,1080.95,1080.95,1080.95,-0.29,-3.14,122727,379481527.0,0.0,0.13
2010-02-11,1047.8,1047.8,1047.8,1047.8,-3.07,-33.15,168836,513546732.0,0.0,0.18
2010-02-12,1056.53,1056.53,1056.53,1056.53,0.83,8.73,145546,440757864.0,0.0,0.16
2010-02-22,1078.86,1078.86,1078.86,1078.86,2.11,22.33,187980,584876834.0,0.0,0.2
2010-02-23,1104.68,1104.68,1104.68,1104.68,2.39,25.82,258399,813603019.0,0.0,0.28
