日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1014.43,1014.43,1014.43,1014.43,1.44,14.43,205000,470351683.0,0.0,0.13
2010-01-05,1012.49,1012.49,1012.49,1012.49,-0.19,-1.94,186308,457543017.0,0.0,0.12
2010-01-06,1017.68,1017.68,1017.68,1017.68,0.51,5.19,166638,407815945.0,0.0,0.1
2010-01-07,994.44,994.44,994.44,994.44,-2.28,-23.24,186861,400209272.0,0.0,0.12
2010-01-08,1004.11,1004.11,1004.11,1004.11,0.97,9.67,144010,339224850.0,0.0,0.09
2010-01-11,1017.92,1017.92,1017.92,1017.92,1.38,13.81,793511,1274427166.0,0.0,0.5
2010-01-12,1035.64,1035.64,1035.64,1035.64,1.74,17.72,503413,893573747.0,0.0,0.32
2010-01-13,1029.24,1029.24,1029.24,1029.24,-0.62,-6.4,412779,841006062.0,0.0,0.26
2010-01-14,1045.63,1045.63,1045.63,1045.63,1.59,16.39,317081,616677256.0,0.0,0.2
2010-01-15,1062.87,1062.87,1062.87,1062.87,1.65,17.24,580358,953479041.0,0.0,0.37
2010-01-18,1079.37,1079.37,1079.37,1079.37,1.55,16.5,437969,761954788.0,0.0,0.28
2010-01-19,1068.45,1068.45,1068.45,1068.45,-1.01,-10.92,291813,552610921.0,0.0,0.18
2010-01-20,1026.29,1026.29,1026.29,1026.29,-3.95,-42.16,340052,609999509.0,0.0,0.21
2010-01-21,1026.55,1026.55,1026.55,1026.55,0.03,0.26,194624,360884852.0,0.0,0.12
2010-01-22,998.21,998.21,998.21,998.21,-2.76,-28.34,246692,453708414.0,0.0,0.16
2010-01-25,982.36,982.36,982.36,982.36,-1.59,-15.85,63352,161820659.0,0.0,0.04
2010-01-26,947.37,947.37,947.37,947.37,-3.56,-34.99,228403,404906187.0,0.0,0.14
2010-01-27,919.89,919.89,919.89,919.89,-2.9,-27.48,197686,308170154.0,0.0,0.12
2010-01-28,928.01,928.01,928.01,928.01,0.88,8.12,218893,330812078.0,0.0,0.14
2010-01-29,944.18,944.18,944.18,944.18,1.74,16.17,203000,354802145.0,0.0,0.13
2010-02-01,937.8,937.8,937.8,937.8,-0.68,-6.38,189740,310925910.0,0.0,0.12
2010-02-02,921.73,921.73,921.73,921.73,-1.71,-16.07,200227,360187325.0,0.0,0.13
2010-02-03,930.31,930.31,930.31,930.31,0.93,8.58,368303,680848861.0,0.0,0.23
2010-02-04,946.11,946.11,946.11,946.11,1.7,15.8,270499,535407281.0,0.0,0.17
2010-02-05,917.16,917.16,917.16,917.16,-3.06,-28.95,191811,342574913.0,0.0,0.12
2010-02-08,911.4,911.4,911.4,911.4,-0.63,-5.76,116918,209873089.0,0.0,0.07
2010-02-09,910.72,910.72,910.72,910.72,-0.07,-0.68,103786,209371089.0,0.0,0.07
2010-02-10,929.5,929.5,929.5,929.5,2.06,18.78,137187,231902200.0,0.0,0.09
2010-02-11,921.35,921.35,921.35,921.35,-0.88,-8.15,126148,216934615.0,0.0,0.08
2010-02-12,934.84,934.84,934.84,934.84,1.46,13.49,134034,237485177.0,0.0,0.08
2010-02-22,938.85,938.85,938.85,938.85,0.43,4.01,140338,247411983.0,0.0,0.09
2010-02-23,939.44,939.44,939.44,939.44,0.06,0.59,169056,338220568.0,0.0,0.11
2010-02-24,959.95,959.95,959.95,959.95,2.18,20.51,202233,380600246.0,0.0,0.13
2010-02-25,972.97,972.97,972.97,972.97,1.36,13.02,218609,397128361.0,0.0,0.14
2010-02-26,993.74,993.74,993.74,993.74,2.13,20.77,218337,505113219.0,0.0,0.14
2010-03-01,999.99,999.99,999.99,999.99,0.63,6.25,284594,678554247.0,0.0,0.18
2010-03-02,995.03,995.03,995.03,995.03,-0.5,-4.96,276025,510888965.0,0.0,0.17
2010-03-03,1006.62,1006.62,1006.62,1006.62,1.16,11.59,262289,477633055.0,0.0,0.17
2010-03-04,982.98,982.98,982.98,982.98,-2.35,-23.64,278264,546771546.0,0.0,0.18
2010-03-05,991.92,991.92,991.92,991.92,0.91,8.94,234047,430691694.0,0.0,0.15
2010-03-08,995.9,995.9,995.9,995.9,0.4,3.98,232703,421112944.0,0.0,0.15
2010-03-09,985.17,985.17,985.17,985.17,-1.08,-10.73,183500,329095637.0,0.0,0.12
2010-03-10,958.19,958.19,958.19,958.19,-2.74,-26.98,214201,373621749.0,0.0,0.13
2010-03-11,941.52,941.52,941.52,941.52,-1.74,-16.67,153663,297409219.0,0.0,0.1
2010-03-12,927.0,927.0,927.0,927.0,-1.54,-14.52,143687,298990705.0,0.0,0.09
2010-03-15,913.4,913.4,913.4,913.4,-1.47,-13.6,123321,178595403.0,0.0,0.08
2010-03-16,919.23,919.23,919.23,919.23,0.64,5.83,94923,171633113.0,0.0,0.06
2010-03-17,942.58,942.58,942.58,942.58,2.54,23.35,155927,275666068.0,0.0,0.1
2010-03-18,946.02,946.02,946.02,946.02,0.36,3.44,151767,254876657.0,0.0,0.1
2010-03-19,950.14,950.14,950.14,950.14,0.44,4.12,181568,305944076.0,0.0,0.11
2010-03-22,947.55,947.55,947.55,947.55,-0.27,-2.59,241129,390298153.0,0.0,0.15
2010-03-23,939.21,939.21,939.21,939.21,-0.88,-8.34,212876,383858351.0,0.0,0.13
2010-03-24,934.34,934.34,934.34,934.34,-0.52,-4.87,163738,287597013.0,0.0,0.1
2010-03-25,916.36,916.36,916.36,916.36,-1.92,-17.98,206542,316826749.0,0.0,0.13
2010-03-26,938.16,938.16,938.16,938.16,2.38,21.8,72051,162206666.0,0.0,0.05
2010-03-29,959.49,959.49,959.49,959.49,2.27,21.33,256240,487935813.0,0.0,0.16
2010-03-30,956.31,956.31,956.31,956.31,-0.33,-3.18,207908,397280686.0,0.0,0.13
2010-03-31,949.06,949.06,949.06,949.06,-0.76,-7.25,248608,478399554.0,0.0,0.16
2010-04-01,963.1,963.1,963.1,963.1,1.48,14.04,311157,524287977.0,0.0,0.2
2010-04-02,964.55,964.55,964.55,964.55,0.15,1.45,300732,526165126.0,0.0,0.19
2010-04-06,984.78,984.78,984.78,984.78,2.1,20.23,411434,643328081.0,0.0,0.26
2010-04-07,994.77,994.77,994.77,994.77,1.01,9.99,636671,1105915989.0,0.0,0.4
2010-04-08,1006.9,1006.9,1006.9,1006.9,1.22,12.13,468692,871312262.0,0.0,0.29
2010-04-09,1020.87,1020.87,1020.87,1020.87,1.39,13.97,385763,713909288.0,0.0,0.24
2010-04-12,1035.85,1035.85,1035.85,1035.85,1.47,14.98,518356,940798524.0,0.0,0.33
