日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,999.46,999.46,999.46,999.46,-0.05,-0.54,670123,777703197.0,0.0,0.31
2010-01-05,1008.89,1008.89,1008.89,1008.89,0.94,9.43,655935,832918666.0,0.0,0.3
2010-01-06,1005.59,1005.59,1005.59,1005.59,-0.33,-3.3,756875,873579807.0,0.0,0.35
2010-01-07,983.02,983.02,983.02,983.02,-2.24,-22.57,939967,1328264975.0,0.0,0.43
2010-01-08,984.03,984.03,984.03,984.03,0.1,1.01,659541,931194169.0,0.0,0.3
2010-01-11,993.3,993.3,993.3,993.3,0.94,9.27,795086,1298479507.0,0.0,0.37
2010-01-12,1020.7,1020.7,1020.7,1020.7,2.76,27.4,901462,1478797678.0,0.0,0.42
2010-01-13,1023.15,1023.15,1023.15,1023.15,0.24,2.45,898225,1326091945.0,0.0,0.41
2010-01-14,1049.1,1049.1,1049.1,1049.1,2.54,25.95,1005069,1361113654.0,0.0,0.46
2010-01-15,1055.12,1055.12,1055.12,1055.12,0.57,6.02,923747,1081864018.0,0.0,0.43
2010-01-18,1081.94,1081.94,1081.94,1081.94,2.54,26.82,1381042,1577472915.0,0.0,0.64
2010-01-19,1075.66,1075.66,1075.66,1075.66,-0.58,-6.28,771727,922156847.0,0.0,0.36
2010-01-20,1027.57,1027.57,1027.57,1027.57,-4.47,-48.09,885268,1096145641.0,0.0,0.41
2010-01-21,1044.57,1044.57,1044.57,1044.57,1.65,17.0,1032769,1118216800.0,0.0,0.48
2010-01-22,1005.1,1005.1,1005.1,1005.1,-3.78,-39.47,824796,949336417.0,0.0,0.38
2010-01-25,990.86,990.86,990.86,990.86,-1.42,-14.24,537735,601285530.0,0.0,0.25
2010-01-26,946.87,946.87,946.87,946.87,-4.44,-43.99,579108,648351313.0,0.0,0.27
2010-01-27,932.06,932.06,932.06,932.06,-1.56,-14.81,442307,506178008.0,0.0,0.2
2010-01-28,947.1,947.1,947.1,947.1,1.61,15.04,375571,458874090.0,0.0,0.17
2010-01-29,955.35,955.35,955.35,955.35,0.87,8.25,493764,591336710.0,0.0,0.23
2010-02-01,941.52,941.52,941.52,941.52,-1.45,-13.83,534985,559244478.0,0.0,0.25
2010-02-02,930.84,930.84,930.84,930.84,-1.13,-10.68,426058,479441789.0,0.0,0.2
2010-02-03,936.51,936.51,936.51,936.51,0.61,5.67,501962,581774960.0,0.0,0.23
2010-02-04,945.14,945.14,945.14,945.14,0.92,8.63,469450,522333578.0,0.0,0.22
2010-02-05,930.04,930.04,930.04,930.04,-1.6,-15.1,527224,549726058.0,0.0,0.24
2010-02-08,934.54,934.54,934.54,934.54,0.48,4.5,310720,340827777.0,0.0,0.14
2010-02-09,930.15,930.15,930.15,930.15,-0.47,-4.39,234665,260033567.0,0.0,0.11
2010-02-10,943.37,943.37,943.37,943.37,1.42,13.22,228711,236041917.0,0.0,0.11
2010-02-11,937.21,937.21,937.21,937.21,-0.65,-6.16,233045,277006823.0,0.0,0.11
2010-02-12,947.39,947.39,947.39,947.39,1.09,10.18,238669,301637288.0,0.0,0.11
2010-02-22,949.03,949.03,949.03,949.03,0.17,1.64,335527,368328621.0,0.0,0.15
2010-02-23,955.0,955.0,955.0,955.0,0.63,5.97,359807,425346774.0,0.0,0.17
2010-02-24,981.99,981.99,981.99,981.99,2.83,26.99,520712,667447767.0,0.0,0.24
2010-02-25,1004.74,1004.74,1004.74,1004.74,2.32,22.75,829786,975227466.0,0.0,0.38
2010-02-26,1011.21,1011.21,1011.21,1011.21,0.64,6.47,533257,656489560.0,0.0,0.25
2010-03-01,1022.81,1022.81,1022.81,1022.81,1.15,11.6,833587,919729661.0,0.0,0.38
2010-03-02,1024.37,1024.37,1024.37,1024.37,0.15,1.56,713942,796931772.0,0.0,0.33
2010-03-03,1036.99,1036.99,1036.99,1036.99,1.23,12.62,890746,910643881.0,0.0,0.41
2010-03-04,993.71,993.71,993.71,993.71,-4.17,-43.28,734212,769754143.0,0.0,0.34
2010-03-05,1005.73,1005.73,1005.73,1005.73,1.21,12.02,684794,715428185.0,0.0,0.32
2010-03-08,1012.21,1012.21,1012.21,1012.21,0.64,6.48,560442,620576492.0,0.0,0.26
2010-03-09,1006.72,1006.72,1006.72,1006.72,-0.54,-5.49,615796,622437064.0,0.0,0.28
2010-03-10,997.24,997.24,997.24,997.24,-0.94,-9.48,579036,604386883.0,0.0,0.27
2010-03-11,997.63,997.63,997.63,997.63,0.04,0.39,482996,491215130.0,0.0,0.22
2010-03-12,984.41,984.41,984.41,984.41,-1.33,-13.22,363830,397626103.0,0.0,0.17
2010-03-15,969.67,969.67,969.67,969.67,-1.5,-14.74,400152,433642185.0,0.0,0.18
