日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,999.56,999.56,999.56,999.56,-0.04,-0.44,2833719,2369892089.0,0.0,0.66
2010-01-05,1013.07,1013.07,1013.07,1013.07,1.35,13.51,4063992,3178302813.0,0.0,0.95
2010-01-06,1011.46,1011.46,1011.46,1011.46,-0.16,-1.61,3957125,3228547751.0,0.0,0.93
2010-01-07,996.63,996.63,996.63,996.63,-1.47,-14.83,3994436,3086757079.0,0.0,0.94
2010-01-08,1008.47,1008.47,1008.47,1008.47,1.19,11.84,3558505,2784299159.0,0.0,0.83
2010-01-11,1016.91,1016.91,1016.91,1016.91,0.84,8.44,4180318,3685637238.0,0.0,0.98
2010-01-12,1035.55,1035.55,1035.55,1035.55,1.83,18.64,3763774,3042462676.0,0.0,0.88
2010-01-13,1024.6,1024.6,1024.6,1024.6,-1.06,-10.95,4337503,3446965281.0,0.0,1.02
2010-01-14,1042.89,1042.89,1042.89,1042.89,1.79,18.29,3556288,2895701970.0,0.0,0.83
2010-01-15,1045.6,1045.6,1045.6,1045.6,0.26,2.71,2884123,2453609989.0,0.0,0.68
2010-01-18,1077.54,1077.54,1077.54,1077.54,3.05,31.94,5678980,4644781033.0,0.0,1.33
2010-01-19,1094.1,1094.1,1094.1,1094.1,1.54,16.56,5792385,4721325547.0,0.0,1.36
2010-01-20,1099.46,1099.46,1099.46,1099.46,0.49,5.36,8892252,7249461025.0,0.0,2.08
2010-01-21,1085.3,1085.3,1085.3,1085.3,-1.29,-14.16,4643345,3919839832.0,0.0,1.09
2010-01-22,1060.7,1060.7,1060.7,1060.7,-2.27,-24.6,4706065,3847822195.0,0.0,1.1
2010-01-25,1040.46,1040.46,1040.46,1040.46,-1.91,-20.24,2594839,2042863517.0,0.0,0.61
2010-01-26,1003.26,1003.26,1003.26,1003.26,-3.58,-37.2,2978803,2295820008.0,0.0,0.7
2010-01-27,1002.86,1002.86,1002.86,1002.86,-0.04,-0.4,2990713,2182925284.0,0.0,0.7
2010-01-28,1025.7,1025.7,1025.7,1025.7,2.28,22.84,3178675,2355095958.0,0.0,0.74
2010-01-29,1029.19,1029.19,1029.19,1029.19,0.34,3.49,3846497,3009780368.0,0.0,0.9
2010-02-01,1023.22,1023.22,1023.22,1023.22,-0.58,-5.97,4231981,3367547080.0,0.0,0.99
2010-02-02,1037.72,1037.72,1037.72,1037.72,1.42,14.5,5314831,4249951481.0,0.0,1.24
2010-02-03,1075.71,1075.71,1075.71,1075.71,3.66,37.99,6830875,5574964627.0,0.0,1.6
