日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,990.35,990.35,990.35,990.35,-0.97,-9.65,365200,1412973442.0,0.0,0.2
2010-01-05,996.06,996.06,996.06,996.06,0.58,5.71,578257,2486904638.0,0.0,0.32
2010-01-06,987.14,987.14,987.14,987.14,-0.9,-8.92,396801,1747901380.0,0.0,0.22
2010-01-07,967.21,967.21,967.21,967.21,-2.02,-19.93,394165,1804020337.0,0.0,0.22
2010-01-08,960.07,960.07,960.07,960.07,-0.74,-7.14,319390,1226891177.0,0.0,0.18
2010-01-11,962.03,962.03,962.03,962.03,0.2,1.96,328843,1405743536.0,0.0,0.18
2010-01-12,967.31,967.31,967.31,967.31,0.55,5.28,368101,1407545672.0,0.0,0.21
2010-01-13,943.94,943.94,943.94,943.94,-2.42,-23.37,427789,1636150919.0,0.0,0.24
2010-01-14,968.29,968.29,968.29,968.29,2.58,24.35,549677,1388971397.0,0.0,0.31
2010-01-15,974.69,974.69,974.69,974.69,0.66,6.4,528852,1284377520.0,0.0,0.3
2010-01-18,981.64,981.64,981.64,981.64,0.71,6.95,396612,1214835524.0,0.0,0.22
2010-01-19,987.36,987.36,987.36,987.36,0.58,5.72,519132,1676305166.0,0.0,0.29
2010-01-20,948.46,948.46,948.46,948.46,-3.94,-38.9,470280,1526421076.0,0.0,0.26
2010-01-21,942.55,942.55,942.55,942.55,-0.62,-5.91,514086,2139142276.0,0.0,0.29
2010-01-22,920.92,920.92,920.92,920.92,-2.29,-21.63,479515,1608907286.0,0.0,0.27
2010-01-25,919.27,919.27,919.27,919.27,-0.18,-1.65,275711,1039987809.0,0.0,0.15
2010-01-26,888.48,888.48,888.48,888.48,-3.35,-30.79,323006,1045215825.0,0.0,0.18
2010-01-27,870.81,870.81,870.81,870.81,-1.99,-17.67,241509,825655556.0,0.0,0.14
2010-01-28,865.67,865.67,865.67,865.67,-0.59,-5.14,299071,1131033916.0,0.0,0.17
2010-01-29,862.05,862.05,862.05,862.05,-0.42,-3.62,256603,861885196.0,0.0,0.14
2010-02-01,844.03,844.03,844.03,844.03,-2.09,-18.02,271356,945510584.0,0.0,0.15
2010-02-02,867.81,867.81,867.81,867.81,2.82,23.78,537529,1988538873.0,0.0,0.3
2010-02-03,883.07,883.07,883.07,883.07,1.76,15.26,417304,1453879553.0,0.0,0.23
2010-02-04,878.71,878.71,878.71,878.71,-0.49,-4.36,310382,908267738.0,0.0,0.17
2010-02-05,848.47,848.47,848.47,848.47,-3.44,-30.24,334365,1116789579.0,0.0,0.19
2010-02-08,857.36,857.36,857.36,857.36,1.05,8.89,199251,676026751.0,0.0,0.11
2010-02-09,868.98,868.98,868.98,868.98,1.36,11.62,238951,825738674.0,0.0,0.13
2010-02-10,872.82,872.82,872.82,872.82,0.44,3.84,228825,736397594.0,0.0,0.13
2010-02-11,881.9,881.9,881.9,881.9,1.04,9.08,192320,867749191.0,0.0,0.11
2010-02-12,900.87,900.87,900.87,900.87,2.15,18.97,388304,1607059678.0,0.0,0.22
